timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	6805	1.689650e+03	1091	2.967487e-01	2.967487e-01	-1.352864e-02	2.188151e-02	NaN	NaN	7.801165e-01	7.826220e-01
2.000000e-01	2	1117	1.589810e+03	1112	NaN	NaN	NaN	NaN	4.115759e-01	4.140759e-01	NaN	NaN
3.000000e-01	3	6890	1.304700e+03	1191	2.249158e-01	2.249158e-01	6.719745e-02	2.188151e-02	NaN	NaN	7.619141e-01	7.826220e-01
4.000000e-01	4	1116	1.913880e+03	1019	NaN	NaN	NaN	NaN	3.474401e-01	4.140759e-01	NaN	NaN
5.000000e-01	5	6728	1.334040e+03	1116	2.489904e-01	2.489904e-01	3.158474e-02	2.188151e-02	NaN	NaN	7.981397e-01	7.826220e-01
6.000000e-01	6	1125	1.388250e+03	933	NaN	NaN	NaN	NaN	4.019386e-01	4.140759e-01	NaN	NaN
7.000000e-01	7	6602	1.218860e+03	997	2.371845e-01	2.371845e-01	2.410621e-02	2.188151e-02	NaN	NaN	7.758363e-01	7.826220e-01
8.000000e-01	8	1032	1.512760e+03	1035	NaN	NaN	NaN	NaN	4.062392e-01	4.140759e-01	NaN	NaN
9.000000e-01	9	6263	1.119590e+03	1019	2.377531e-01	2.377531e-01	2.870497e-02	2.188151e-02	NaN	NaN	7.621914e-01	7.826220e-01
1	10	1195	1.502350e+03	1119	NaN	NaN	NaN	NaN	4.268793e-01	4.140759e-01	NaN	NaN
1.100000e+00	11	7497	1.182210e+03	1152	2.076475e-01	2.076475e-01	4.697286e-02	2.188151e-02	NaN	NaN	7.957530e-01	7.826220e-01
1.200000e+00	12	1123	1.518390e+03	1005	NaN	NaN	NaN	NaN	3.982738e-01	4.140759e-01	NaN	NaN
1.300000e+00	13	6974	1.384820e+03	1019	2.629218e-01	2.629218e-01	-1.217132e-02	2.188151e-02	NaN	NaN	7.776099e-01	7.826220e-01
1.400000e+00	14	1186	1.492980e+03	1189	NaN	NaN	NaN	NaN	4.433292e-01	4.140759e-01	NaN	NaN
1.500000e+00	15	7425	1.313250e+03	1069	2.413837e-01	2.413837e-01	2.645354e-03	2.188151e-02	NaN	NaN	8.017595e-01	7.826220e-01
1.600000e+00	16	1187	1.347910e+03	1077	NaN	NaN	NaN	NaN	4.441402e-01	4.140759e-01	NaN	NaN
1.700000e+00	17	6507	1.057510e+03	973	2.183557e-01	2.183557e-01	3.166062e-02	2.188151e-02	NaN	NaN	7.737653e-01	7.826220e-01
1.800000e+00	18	997	1.452210e+03	1044	NaN	NaN	NaN	NaN	4.182340e-01	4.140759e-01	NaN	NaN
1.900000e+00	19	8210	1.240300e+03	1082	2.132689e-01	2.132689e-01	1.164289e-02	2.188151e-02	NaN	NaN	7.991341e-01	7.826220e-01
2	20	1138	1.475340e+03	1172	NaN	NaN	NaN	NaN	4.427085e-01	4.140759e-01	NaN	NaN
