time at 500nm	frame at 500nm	I_1 at 500nm(counts)	I_2 at 500nm(counts)	time at 600nm	frame at 600nm	I_1 at 600nm(counts)	I_2 at 600nm(counts)	time at 500nm	frame at 500nm	FRET_1>2	discr.FRET_1>2	time at 500nm	frame at 500nm	S_1>2	discr.S_1>2	
1.000000e-01	1	7.940000e+01	29	2.000000e-01	2	-4	49	1.000000e-01	1	2.675277e-01	5.060313e-01	1.000000e-01	1	6.886912e-01	6.089340e-01	
3.000000e-01	3	7.940000e+01	29	4.000000e-01	4	-4	49	3.000000e-01	3	2.675277e-01	5.060313e-01	3.000000e-01	3	6.886912e-01	6.089340e-01	
5.000000e-01	5	5.360000e+01	1.106000e+02	6.000000e-01	6	2.400000e+00	1.382000e+02	5.000000e-01	5	6.735688e-01	5.060313e-01	5.000000e-01	5	5.429894e-01	6.089340e-01	
7.000000e-01	7	5.140000e+01	1.066000e+02	8.000000e-01	8	6	139	7.000000e-01	7	6.746835e-01	5.060313e-01	7.000000e-01	7	5.319865e-01	6.089340e-01	
9.000000e-01	9	5.140000e+01	1.224000e+02	1	10	6.000000e-01	1.298000e+02	9.000000e-01	9	7.042578e-01	5.060313e-01	9.000000e-01	9	5.724638e-01	6.089340e-01	
1.100000e+00	11	6.160000e+01	97	1.200000e+00	12	5.400000e+00	1.514000e+02	1.100000e+00	11	6.116015e-01	5.060313e-01	1.100000e+00	11	5.116129e-01	6.089340e-01	
1.300000e+00	13	35	1.104000e+02	1.400000e+00	14	5	129	1.300000e+00	13	7.592847e-01	5.060313e-01	1.300000e+00	13	5.298834e-01	6.089340e-01	
1.500000e+00	15	4.920000e+01	9.880000e+01	1.600000e+00	16	-2.400000e+00	1.292000e+02	1.500000e+00	15	6.675676e-01	5.060313e-01	1.500000e+00	15	5.339105e-01	6.089340e-01	
1.700000e+00	17	4.780000e+01	9.820000e+01	1.800000e+00	18	6.800000e+00	1.244000e+02	1.700000e+00	17	6.726027e-01	5.060313e-01	1.700000e+00	17	5.399408e-01	6.089340e-01	
1.900000e+00	19	3.580000e+01	1.092000e+02	2	20	1.800000e+00	1.558000e+02	1.900000e+00	19	7.531034e-01	5.060313e-01	1.900000e+00	19	4.820479e-01	6.089340e-01	
2.100000e+00	21	3.180000e+01	153	2.200000e+00	22	-3.800000e+00	124	2.100000e+00	21	8.279221e-01	5.060313e-01	2.100000e+00	21	5.984456e-01	6.089340e-01	
