time at 500nm	frame at 500nm	I_1 at 500nm(counts)	I_2 at 500nm(counts)	time at 600nm	frame at 600nm	I_1 at 600nm(counts)	I_2 at 600nm(counts)	time at 500nm	frame at 500nm	FRET_1>2	discr.FRET_1>2	time at 500nm	frame at 500nm	S_1>2	discr.S_1>2	
1.000000e-01	1	6.600000e+00	1.928000e+02	2.000000e-01	2	-3	1.484000e+02	1.000000e-01	1	9.669007e-01	9.542694e-01	1.000000e-01	1	5.733180e-01	5.456731e-01	
3.000000e-01	3	6.600000e+00	1.928000e+02	4.000000e-01	4	-3	1.484000e+02	3.000000e-01	3	9.669007e-01	9.542694e-01	3.000000e-01	3	5.733180e-01	5.456731e-01	
5.000000e-01	5	-4.000000e-01	1.732000e+02	6.000000e-01	6	4.200000e+00	173	5.000000e-01	5	1.002315e+00	9.542694e-01	5.000000e-01	5	4.997108e-01	5.456731e-01	
7.000000e-01	7	-3.200000e+00	1.646000e+02	8.000000e-01	8	4.400000e+00	1.718000e+02	7.000000e-01	7	1.019827e+00	9.542694e-01	7.000000e-01	7	4.843938e-01	5.456731e-01	
9.000000e-01	9	1.880000e+01	187	1	10	8.000000e-01	1.558000e+02	9.000000e-01	9	9.086492e-01	9.542694e-01	9.000000e-01	9	5.691372e-01	5.456731e-01	
1.100000e+00	11	9.800000e+00	1.646000e+02	1.200000e+00	12	4.600000e+00	118	1.100000e+00	11	9.438073e-01	9.542694e-01	1.100000e+00	11	5.964432e-01	5.456731e-01	
1.300000e+00	13	1.800000e+00	1.436000e+02	1.400000e+00	14	7.200000e+00	1.366000e+02	1.300000e+00	13	9.876204e-01	9.542694e-01	1.300000e+00	13	5.156028e-01	5.456731e-01	
1.500000e+00	15	1.740000e+01	5.560000e+01	1.600000e+00	16	-2.200000e+00	1.404000e+02	1.500000e+00	15	7.616438e-01	9.542694e-01	1.500000e+00	15	3.420806e-01	1.074887e-01	
1.700000e+00	17	7.200000e+00	1.440000e+01	1.800000e+00	18	-1.600000e+00	1.532000e+02	1.700000e+00	17	6.666667e-01	9.542694e-01	1.700000e+00	17	1.235698e-01	1.074887e-01	
1.900000e+00	19	6	1.638000e+02	2	20	5.200000e+00	1.324000e+02	1.900000e+00	19	9.646643e-01	9.542694e-01	1.900000e+00	19	5.618795e-01	5.456731e-01	
2.100000e+00	21	4.000000e-01	1.040000e+01	2.200000e+00	22	-2	1.396000e+02	2.100000e+00	21	9.629630e-01	9.542694e-01	2.100000e+00	21	7.180851e-02	1.074887e-01	
2.300000e+00	23	-2	175	2.400000e+00	24	2.200000e+00	1.462000e+02	2.300000e+00	23	1.011561e+00	9.542694e-01	2.300000e+00	23	5.419799e-01	5.456731e-01	
2.500000e+00	25	-8.000000e-01	1.804000e+02	2.600000e+00	26	-1.800000e+00	1.562000e+02	2.500000e+00	25	1.004454e+00	9.542694e-01	2.500000e+00	25	5.348422e-01	5.456731e-01	
2.700000e+00	27	7	1.874000e+02	2.800000e+00	28	5	1.514000e+02	2.700000e+00	27	9.639918e-01	9.542694e-01	2.700000e+00	27	5.621747e-01	5.456731e-01	
2.900000e+00	29	2.000000e-01	1.882000e+02	3	30	4.400000e+00	1.348000e+02	2.900000e+00	29	9.989384e-01	9.542694e-01	2.900000e+00	29	5.829208e-01	5.456731e-01	
3.100000e+00	31	-1.160000e+01	2.114000e+02	3.200000e+00	32	3.400000e+00	1.468000e+02	3.100000e+00	31	1.058058e+00	9.542694e-01	3.100000e+00	31	5.764570e-01	5.456731e-01	
3.300000e+00	33	0	1.582000e+02	3.400000e+00	34	3.600000e+00	1.512000e+02	3.300000e+00	33	1	9.542694e-01	3.300000e+00	33	5.113122e-01	5.456731e-01	
3.500000e+00	35	1.800000e+00	1.888000e+02	3.600000e+00	36	4.600000e+00	1.396000e+02	3.500000e+00	35	9.905561e-01	9.542694e-01	3.500000e+00	35	5.772259e-01	5.456731e-01	
3.700000e+00	37	8.800000e+00	1.734000e+02	3.800000e+00	38	-1.200000e+00	152	3.700000e+00	37	9.517014e-01	9.542694e-01	3.700000e+00	37	5.451825e-01	5.456731e-01	
3.900000e+00	39	1.480000e+01	1.898000e+02	4	40	4.000000e-01	1.504000e+02	3.900000e+00	39	9.276637e-01	9.542694e-01	3.900000e+00	39	5.763380e-01	5.456731e-01	
4.100000e+00	41	1.040000e+01	1.776000e+02	4.200000e+00	42	2.600000e+00	1.594000e+02	4.100000e+00	41	9.446809e-01	9.542694e-01	4.100000e+00	41	5.411629e-01	5.456731e-01	
4.300000e+00	43	-1.600000e+00	1.736000e+02	4.400000e+00	44	1.400000e+00	151	4.300000e+00	43	1.009302e+00	9.542694e-01	4.300000e+00	43	5.325077e-01	5.456731e-01	
