time at 500nm	frame at 500nm	I_1 at 500nm(counts)	I_2 at 500nm(counts)	time at 600nm	frame at 600nm	I_1 at 600nm(counts)	I_2 at 600nm(counts)	time at 500nm	frame at 500nm	FRET_1>2	discr.FRET_1>2	time at 500nm	frame at 500nm	S_1>2	discr.S_1>2	
1.000000e-01	1	4.380000e+01	4.960000e+01	2.000000e-01	2	-3.600000e+00	1.308000e+02	1.000000e-01	1	5.310493e-01	8.090679e-01	1.000000e-01	1	4.165923e-01	5.170666e-01	
3.000000e-01	3	4.380000e+01	4.960000e+01	4.000000e-01	4	-3.600000e+00	1.308000e+02	3.000000e-01	3	5.310493e-01	8.090679e-01	3.000000e-01	3	4.165923e-01	5.170666e-01	
5.000000e-01	5	40	9.080000e+01	6.000000e-01	6	4.000000e-01	1.406000e+02	5.000000e-01	5	6.941896e-01	8.090679e-01	5.000000e-01	5	4.819455e-01	5.170666e-01	
7.000000e-01	7	4.480000e+01	8.860000e+01	8.000000e-01	8	2.400000e+00	148	7.000000e-01	7	6.641679e-01	8.090679e-01	7.000000e-01	7	4.740583e-01	5.170666e-01	
9.000000e-01	9	4.640000e+01	105	1	10	-4.000000e-01	1.378000e+02	9.000000e-01	9	6.935271e-01	8.090679e-01	9.000000e-01	9	5.235131e-01	5.170666e-01	
1.100000e+00	11	37	9.620000e+01	1.200000e+00	12	7	1.556000e+02	1.100000e+00	11	7.222222e-01	8.090679e-01	1.100000e+00	11	4.612188e-01	5.170666e-01	
1.300000e+00	13	4.360000e+01	1.198000e+02	1.400000e+00	14	3	1.186000e+02	1.300000e+00	13	7.331701e-01	8.090679e-01	1.300000e+00	13	5.794326e-01	5.170666e-01	
1.500000e+00	15	3.580000e+01	8.720000e+01	1.600000e+00	16	3.200000e+00	1.318000e+02	1.500000e+00	15	7.089431e-01	8.090679e-01	1.500000e+00	15	4.827316e-01	5.170666e-01	
1.700000e+00	17	62	1.018000e+02	1.800000e+00	18	-3	128	1.700000e+00	17	6.214896e-01	8.090679e-01	1.700000e+00	17	5.613434e-01	5.170666e-01	
1.900000e+00	19	4.640000e+01	8.820000e+01	2	20	3.800000e+00	1.274000e+02	1.900000e+00	19	6.552749e-01	8.090679e-01	1.900000e+00	19	5.137405e-01	5.170666e-01	
2.100000e+00	21	5.040000e+01	1.166000e+02	2.200000e+00	22	4.400000e+00	1.624000e+02	2.100000e+00	21	6.982036e-01	8.090679e-01	2.100000e+00	21	5.069824e-01	5.170666e-01	
2.300000e+00	23	5.060000e+01	8.640000e+01	2.400000e+00	24	4.800000e+00	1.482000e+02	2.300000e+00	23	6.306569e-01	8.090679e-01	2.300000e+00	23	4.803647e-01	5.170666e-01	
