coordinates:	46.5,49.5	46.5,49.5
timeat133nm	I_1at133nm	I_2at133nm	timeat649nm	I_1at649nm	I_2at649nm
1.000000e-01	197	191	2.000000e-01	121	535
3.000000e-01	169	286	4.000000e-01	118	578
5.000000e-01	212	135	6.000000e-01	124	574
7.000000e-01	153	284	8.000000e-01	117	580
9.000000e-01	167	286	1	116	550
1.100000e+00	234	133	1.200000e+00	119	529
1.300000e+00	233	136	1.400000e+00	115	543
1.500000e+00	211	130	1.600000e+00	124	560
1.700000e+00	213	126	1.800000e+00	118	544
1.900000e+00	192	136	2	120	574
2.100000e+00	118	128	2.200000e+00	120	566
2.300000e+00	179	127	2.400000e+00	117	541
2.500000e+00	117	127	2.600000e+00	126	547
2.700000e+00	117	122	2.800000e+00	119	577
2.900000e+00	116	128	3	124	548
3.100000e+00	116	129	3.200000e+00	123	545
3.300000e+00	116	133	3.400000e+00	117	566
3.500000e+00	114	129	3.600000e+00	122	542
3.700000e+00	117	117	3.800000e+00	123	120
3.900000e+00	116	125	4	119	123
4.100000e+00	114	120	4.200000e+00	118	121
4.300000e+00	115	124	4.400000e+00	127	116
4.500000e+00	121	117	4.600000e+00	119	119
4.700000e+00	119	122	4.800000e+00	119	117
4.900000e+00	116	123	5	120	128
5.100000e+00	117	119	5.200000e+00	117	118
5.300000e+00	118	123	5.400000e+00	121	119
5.500000e+00	119	119	5.600000e+00	122	122
5.700000e+00	119	120	5.800000e+00	117	122
5.900000e+00	120	126	6	123	124
6.100000e+00	116	127	6.200000e+00	117	125
6.300000e+00	117	124	6.400000e+00	118	118
6.500000e+00	119	122	6.600000e+00	116	120
6.700000e+00	119	124	6.800000e+00	120	120
6.900000e+00	117	118	7	119	118
7.100000e+00	116	123	7.200000e+00	121	118
7.300000e+00	115	118	7.400000e+00	120	120
7.500000e+00	117	124	7.600000e+00	118	119
7.700000e+00	116	127	7.800000e+00	119	123
7.900000e+00	120	122	8	118	121
8.100000e+00	114	123	8.200000e+00	124	122
8.300000e+00	118	126	8.400000e+00	118	121
8.500000e+00	117	122	8.600000e+00	118	118
8.700000e+00	119	124	8.800000e+00	121	122
8.900000e+00	116	123	9	117	123
9.100000e+00	119	120	9.200000e+00	116	124
9.300000e+00	116	121	9.400000e+00	126	122
9.500000e+00	115	121	9.600000e+00	118	121
9.700000e+00	114	124	9.800000e+00	122	126
9.900000e+00	114	121	10	123	122
1.010000e+01	118	127	1.020000e+01	121	118
1.030000e+01	116	121	1.040000e+01	119	119
1.050000e+01	116	123	1.060000e+01	122	117
1.070000e+01	115	126	1.080000e+01	119	121
1.090000e+01	118	131	11	119	119
1.110000e+01	120	127	1.120000e+01	116	121
1.130000e+01	116	120	1.140000e+01	120	119
1.150000e+01	117	125	1.160000e+01	125	117
1.170000e+01	115	121	1.180000e+01	121	124
1.190000e+01	119	129	12	117	119
1.210000e+01	119	123	1.220000e+01	116	120
1.230000e+01	116	124	1.240000e+01	118	118
1.250000e+01	114	118	1.260000e+01	119	127
1.270000e+01	116	119	1.280000e+01	116	119
1.290000e+01	118	119	13	124	122
1.310000e+01	115	120	1.320000e+01	118	119
1.330000e+01	117	119	1.340000e+01	123	120
1.350000e+01	119	125	1.360000e+01	122	122
1.370000e+01	119	119	1.380000e+01	125	119
1.390000e+01	116	121	14	118	120
1.410000e+01	116	122	1.420000e+01	122	123
1.430000e+01	114	123	1.440000e+01	118	118
1.450000e+01	118	119	1.460000e+01	119	116
1.470000e+01	118	122	1.480000e+01	120	119
1.490000e+01	118	121	15	124	119
1.510000e+01	117	124	1.520000e+01	119	125
1.530000e+01	118	125	1.540000e+01	117	118
1.550000e+01	117	122	1.560000e+01	118	120
1.570000e+01	116	120	1.580000e+01	119	121
1.590000e+01	117	123	16	118	119
1.610000e+01	118	128	1.620000e+01	121	117
1.630000e+01	121	122	1.640000e+01	120	117
1.650000e+01	116	123	1.660000e+01	117	119
1.670000e+01	119	125	1.680000e+01	121	124
1.690000e+01	120	122	17	125	123
1.710000e+01	117	124	1.720000e+01	120	122
1.730000e+01	117	119	1.740000e+01	119	119
1.750000e+01	113	122	1.760000e+01	119	120
1.770000e+01	115	122	1.780000e+01	121	119
1.790000e+01	116	117	18	119	116
1.810000e+01	119	122	1.820000e+01	121	120
1.830000e+01	117	133	1.840000e+01	116	121
1.850000e+01	115	122	1.860000e+01	124	121
1.870000e+01	116	127	1.880000e+01	119	122
1.890000e+01	114	120	19	119	125
1.910000e+01	121	124	1.920000e+01	122	121
1.930000e+01	117	120	1.940000e+01	121	120
1.950000e+01	116	125	1.960000e+01	119	118
1.970000e+01	115	123	1.980000e+01	123	119
1.990000e+01	117	120	20	123	120
