coordinates:	2.6,17.2	2.6,17.2
timeat133nm	I_1at133nm	I_2at133nm	timeat649nm	I_1at649nm	I_2at649nm
1.000000e-01	221	133	2.000000e-01	120	540
3.000000e-01	208	133	4.000000e-01	117	528
5.000000e-01	206	133	6.000000e-01	117	589
7.000000e-01	231	132	8.000000e-01	118	566
9.000000e-01	204	130	1	124	559
1.100000e+00	214	132	1.200000e+00	118	549
1.300000e+00	214	132	1.400000e+00	118	118
1.500000e+00	223	127	1.600000e+00	119	117
1.700000e+00	204	123	1.800000e+00	118	116
1.900000e+00	225	122	2	123	119
2.100000e+00	221	122	2.200000e+00	120	120
2.300000e+00	220	124	2.400000e+00	119	119
2.500000e+00	239	120	2.600000e+00	119	119
2.700000e+00	222	120	2.800000e+00	122	119
2.900000e+00	217	119	3	119	124
3.100000e+00	226	129	3.200000e+00	118	121
3.300000e+00	214	120	3.400000e+00	127	123
3.500000e+00	219	126	3.600000e+00	118	116
3.700000e+00	131	119	3.800000e+00	120	122
3.900000e+00	120	129	4	124	118
4.100000e+00	224	126	4.200000e+00	116	116
4.300000e+00	179	122	4.400000e+00	116	122
4.500000e+00	214	126	4.600000e+00	121	118
4.700000e+00	221	120	4.800000e+00	120	119
4.900000e+00	232	122	5	117	119
5.100000e+00	205	121	5.200000e+00	124	119
5.300000e+00	215	126	5.400000e+00	123	120
5.500000e+00	225	126	5.600000e+00	117	119
5.700000e+00	222	125	5.800000e+00	120	119
5.900000e+00	210	123	6	121	120
6.100000e+00	207	119	6.200000e+00	122	119
6.300000e+00	215	120	6.400000e+00	122	114
6.500000e+00	119	125	6.600000e+00	123	120
6.700000e+00	117	125	6.800000e+00	123	118
6.900000e+00	115	121	7	121	121
7.100000e+00	119	127	7.200000e+00	124	119
7.300000e+00	117	121	7.400000e+00	124	116
7.500000e+00	116	124	7.600000e+00	118	118
7.700000e+00	115	128	7.800000e+00	120	119
7.900000e+00	118	125	8	119	124
8.100000e+00	122	121	8.200000e+00	117	118
8.300000e+00	113	118	8.400000e+00	119	118
8.500000e+00	115	115	8.600000e+00	120	119
8.700000e+00	114	124	8.800000e+00	121	118
8.900000e+00	115	123	9	117	125
9.100000e+00	120	118	9.200000e+00	123	120
9.300000e+00	116	129	9.400000e+00	115	122
9.500000e+00	120	127	9.600000e+00	122	121
9.700000e+00	117	121	9.800000e+00	121	117
9.900000e+00	118	125	10	118	117
1.010000e+01	119	119	1.020000e+01	117	119
1.030000e+01	115	121	1.040000e+01	121	117
1.050000e+01	113	127	1.060000e+01	119	124
1.070000e+01	118	129	1.080000e+01	122	119
1.090000e+01	116	127	11	121	119
1.110000e+01	118	121	1.120000e+01	120	122
1.130000e+01	114	122	1.140000e+01	117	120
1.150000e+01	115	119	1.160000e+01	122	120
1.170000e+01	117	123	1.180000e+01	119	118
1.190000e+01	115	120	12	121	119
1.210000e+01	119	119	1.220000e+01	118	120
1.230000e+01	116	121	1.240000e+01	117	117
1.250000e+01	113	122	1.260000e+01	119	118
1.270000e+01	118	121	1.280000e+01	120	120
1.290000e+01	117	122	13	126	122
1.310000e+01	116	121	1.320000e+01	124	117
1.330000e+01	121	120	1.340000e+01	116	122
1.350000e+01	119	130	1.360000e+01	117	125
1.370000e+01	118	123	1.380000e+01	121	115
1.390000e+01	118	121	14	118	120
1.410000e+01	118	119	1.420000e+01	121	120
1.430000e+01	118	124	1.440000e+01	121	122
1.450000e+01	116	128	1.460000e+01	122	116
1.470000e+01	118	124	1.480000e+01	123	123
1.490000e+01	117	123	15	122	119
1.510000e+01	117	124	1.520000e+01	119	120
1.530000e+01	117	122	1.540000e+01	119	125
1.550000e+01	117	121	1.560000e+01	120	121
1.570000e+01	116	131	1.580000e+01	124	123
1.590000e+01	116	132	16	119	117
1.610000e+01	119	123	1.620000e+01	117	117
1.630000e+01	116	123	1.640000e+01	119	120
1.650000e+01	114	120	1.660000e+01	122	117
1.670000e+01	116	125	1.680000e+01	117	127
1.690000e+01	117	130	17	119	122
1.710000e+01	119	120	1.720000e+01	117	120
1.730000e+01	115	121	1.740000e+01	120	118
1.750000e+01	115	119	1.760000e+01	122	117
1.770000e+01	118	122	1.780000e+01	120	124
1.790000e+01	118	117	18	119	117
1.810000e+01	120	120	1.820000e+01	118	119
1.830000e+01	116	124	1.840000e+01	121	118
1.850000e+01	116	122	1.860000e+01	123	120
1.870000e+01	116	126	1.880000e+01	118	124
1.890000e+01	117	123	19	123	121
1.910000e+01	118	119	1.920000e+01	116	116
1.930000e+01	116	123	1.940000e+01	120	118
1.950000e+01	118	119	1.960000e+01	123	118
1.970000e+01	116	121	1.980000e+01	119	120
1.990000e+01	118	125	20	117	119
