time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
5.000000e-02	1	2.878000e+02	7.286919e+02	7578	7.084775e+03	1.000000e-01	2	0	0	8461	7.895220e+03	5.000000e-02	1	9.634112e-01	9.067390e-01	5.000000e-02	1	4.817723e-01	4.973978e-01	
1.500000e-01	3	1643	7.286919e+02	7575	7.084775e+03	2.000000e-01	4	0	0	7510	7.895220e+03	1.500000e-01	3	8.217618e-01	9.067390e-01	1.500000e-01	3	5.510521e-01	4.973978e-01	
2.500000e-01	5	1432	7.286919e+02	7979	7.084775e+03	3.000000e-01	6	0	0	6476	7.895220e+03	2.500000e-01	5	8.478376e-01	9.067390e-01	2.500000e-01	5	5.923711e-01	4.973978e-01	
3.500000e-01	7	1395	7.286919e+02	8968	7.084775e+03	4.000000e-01	8	0	0	8013	7.895220e+03	3.500000e-01	7	8.653865e-01	9.067390e-01	3.500000e-01	7	5.639421e-01	4.973978e-01	
4.500000e-01	9	1286	7.286919e+02	6990	7.084775e+03	5.000000e-01	10	0	0	9176	7.895220e+03	4.500000e-01	9	8.446109e-01	9.067390e-01	4.500000e-01	9	4.742150e-01	4.973978e-01	
5.500000e-01	11	2.475000e+02	7.286919e+02	5617	7.084775e+03	6.000000e-01	12	0	0	8653	7.895220e+03	5.500000e-01	11	9.577969e-01	9.067390e-01	5.500000e-01	11	4.039607e-01	4.973978e-01	
6.500000e-01	13	1030	7.286919e+02	8159	7.084775e+03	7.000000e-01	14	0	0	6748	7.895220e+03	6.500000e-01	13	8.879095e-01	9.067390e-01	6.500000e-01	13	5.765828e-01	4.973978e-01	
7.500000e-01	15	1233	7.286919e+02	5872	7.084775e+03	8.000000e-01	16	0	0	6821	7.895220e+03	7.500000e-01	15	8.264602e-01	9.067390e-01	7.500000e-01	15	5.101968e-01	4.973978e-01	
8.500000e-01	17	1192	7.286919e+02	6798	7.084775e+03	9.000000e-01	18	0	0	8714	7.895220e+03	8.500000e-01	17	8.508135e-01	9.067390e-01	8.500000e-01	17	4.783285e-01	4.973978e-01	
9.500000e-01	19	1262	7.286919e+02	6810	7.084775e+03	1	20	0	0	6314	7.895220e+03	9.500000e-01	19	8.436571e-01	9.067390e-01	9.500000e-01	19	5.611011e-01	4.973978e-01	
