coordinates:		57.50,58.50	185.50,58.50	20.50,50.50	148.50,50.50	4.50,135.50	132.50,135.50	46.50,175.50	174.50,175.50	16.50,40.50	144.50,40.50	35.50,92.50	163.50,92.50	46.50,50.50	174.50,50.50	37.50,202.50	165.50,202.50	80.50,239.50	208.50,239.50	40.50,80.50	168.50,80.50	15.50,224.50	143.50,224.50	10.50,173.50	138.50,173.50	17.50,219.50	145.50,219.50	30.50,99.50	158.50,99.50	15.50,91.50	143.50,91.50	75.50,40.50	203.50,40.50	115.50,97.50	243.50,97.50	105.50,129.50	233.50,129.50	21.50,131.50	149.50,131.50	79.50,13.50	207.50,13.50	37.50,196.50	165.50,196.50	13.50,81.50	141.50,81.50	38.50,148.50	166.50,148.50	39.50,10.50	167.50,10.50	16.50,246.50	144.50,246.50	4.50,215.50	132.50,215.50	35.50,74.50	163.50,74.50	8.50,7.50	136.50,7.50	32.50,38.50	160.50,38.50	24.50,200.50	152.50,200.50	32.50,92.50	160.50,92.50	21.50,93.50	149.50,93.50	25.50,60.50	153.50,60.50	26.50,224.50	154.50,224.50	28.50,238.50	156.50,238.50	9.50,215.50	137.50,215.50	21.50,24.50	149.50,24.50	28.50,70.50	156.50,70.50	21.50,236.50	149.50,236.50	10.50,242.50	138.50,242.50
time(s)	frames	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)	I_1(a.u.)	I_2(a.u.)
1	10	1302	1030	1169	1614	1228	1954	1215	1107	1145	1575	1270	2321	1258	1181	1087	1559	1064	963	1323	1276	1219	1405	1151	1613	1195	1514	1283	1690	1183	1998	1105	1124	30801	1150	23595	986	1193	1545	1146	1057	1120	4480	1128	4908	1163	5654	1224	4476	1035	3978	1098	4750	1165	4294	1383	5223	1285	5253	1215	3868	1194	7008	1191	4268	1212	6346	1241	5721	1157	3866	1074	4285	1155	4584	1214	5044	1049	4901	1084	8435
1.100000e+00	11	5565	1088	5194	1442	5341	1313	4717	1088	8130	1642	6129	1210	7154	1096	8011	1351	7407	1048	6469	1087	8465	1276	6617	1432	7497	1181	10409	1589	8385	1297	11455	1074	3545	1025	6279	1066	32966	1571	11261	1212	2489	1511	2530	1772	2722	1483	6226	1586	2620	1360	2576	1650	2755	1346	2385	1506	2134	2528	2544	1402	5995	1305	4163	1422	2539	1453	2831	1521	2394	1535	2445	2242	2763	1635	2695	1650	2504	2207	2292	2864
1.200000e+00	12	1114	1141	1048	1526	1236	1949	1184	1074	1185	1565	1081	2284	1082	968	1162	1711	1128	1068	1109	1178	994	1545	1116	1483	1123	1612	1350	1912	1183	2037	1136	1077	33327	1173	25238	935	1123	1605	1238	1079	1052	4346	1102	4189	1097	4698	1345	4117	1178	4823	1020	3887	1136	4100	1191	5235	1188	5473	1235	5053	1118	6066	1132	5161	1068	5689	1235	6133	1047	4500	1174	4168	1274	6307	1197	4442	1170	5188	1201	8029
1.300000e+00	13	6595	1034	5139	1302	6465	1261	5378	1193	6351	1503	6067	1310	7005	1118	8058	1117	7024	1050	5899	1298	6918	1165	7761	1515	6974	1079	9856	1428	9789	1380	10129	1111	4207	1084	5612	1027	28195	1465	13427	1072	2968	1270	2585	1705	2946	1540	6214	1518	2593	1331	2185	1839	2819	1497	2077	1451	2637	2891	2490	1380	5056	1449	5300	1759	2793	1453	2601	1425	2296	1435	2378	2646	3056	1720	2722	1752	2582	2017	2118	3756
1.400000e+00	14	1095	1181	1272	1881	1013	2051	1125	991	1328	1711	1109	2076	1304	1147	1175	1574	1205	1082	1065	1245	1293	1459	1219	1736	1186	1442	1136	1668	1093	1840	1015	1039	29560	1055	22217	1107	1236	1514	1295	1042	1195	4378	1234	4394	1152	5116	1284	4264	1197	4171	1237	4968	1066	5031	1310	4830	1193	5638	1379	4714	1022	5658	1082	4990	1141	5672	1123	5004	1127	3594	1116	4746	1241	5880	1213	5469	1071	6284	1137	8021
1.500000e+00	15	5514	1013	5257	1524	6903	1436	6136	1097	6349	2014	6699	1355	6966	1138	7678	1193	7515	1017	6894	1105	7828	1391	5848	1358	7425	1263	11153	1398	8161	1343	10332	1172	4045	1065	4082	1074	28911	1394	12492	1070	3014	1739	2552	1687	3201	1440	5216	1328	2152	1370	4005	1703	3143	1260	2711	1762	2458	2389	2497	1559	6199	1428	5289	1343	2738	1435	2846	1450	2177	1638	2897	2865	2692	1935	2954	1583	2625	1730	2326	3614
1.600000e+00	16	1164	1101	1159	1491	1188	1954	1157	1141	1212	1482	1210	2051	1258	1016	1137	1649	1093	1178	1233	1219	1143	1694	1293	1547	1187	1805	1152	1613	1182	1938	1293	1113	31478	1044	21468	1218	1239	1516	1010	1107	1280	5065	1178	4749	1241	4346	1260	4248	1393	4153	1148	4855	1166	5466	1227	6252	1204	6573	1225	5677	1146	5114	1221	4942	1139	5900	1123	5406	1160	3637	1353	4758	1255	6516	1368	5417	1093	7066	1032	8688
1.700000e+00	17	4963	1300	4543	1287	6661	1421	4767	1072	7008	1951	5389	1389	7224	1116	7453	1173	8152	977	6997	1129	7297	1246	7138	1542	6507	1198	11830	1495	9777	1270	13336	1057	4165	1166	4555	1112	18973	1535	11784	1049	2977	1352	2297	1741	3094	1422	7523	1393	2574	1346	2370	1461	2623	1443	2586	1756	2546	2412	1964	1415	5403	1698	6185	1266	2708	1831	2430	1374	2733	1474	3095	2770	3038	1961	2785	1243	2614	1782	2349	2984
1.800000e+00	18	1150	1209	1270	1611	1025	2031	1178	1041	1402	1613	1228	2442	1258	1077	970	1545	1213	1073	1148	1287	1097	1807	1158	1663	997	1608	1211	1768	1243	2171	1133	1154	27950	994	22341	1004	1332	1659	1409	1101	1156	4887	1095	4472	1227	5420	1229	4173	1024	3852	1252	4577	1191	4866	1149	6538	1329	5497	1135	4580	1238	6669	1274	4545	1228	6056	1044	5246	1128	3606	1082	4942	1114	5612	1249	5135	1125	6251	1122	7096
1.900000e+00	19	6074	1189	4451	1385	6033	1263	6107	1080	7043	1783	6388	1351	8499	1214	8517	1347	7281	1033	7320	1168	7951	1299	6017	1212	8210	1385	10710	1508	8841	1295	10514	1086	3928	1016	4759	1060	28197	1423	12799	1124	2660	1432	2408	1974	2819	1413	6116	1537	2576	1444	2402	1504	3249	1278	2681	1889	2291	2700	2574	1306	5974	1626	5998	1497	2943	1599	3051	1662	2522	1536	2679	2921	3254	1882	2865	1261	2667	2137	2325	2990
2	20	1218	954	1320	1596	1106	1891	1219	1205	1236	1874	1351	2421	1070	1110	1106	1863	1256	1024	1163	1322	1135	1699	1159	1379	1138	1728	1302	1915	1357	2013	1207	1090	31435	1053	23374	1067	1187	1467	1045	1095	1173	4771	1298	4257	1182	5887	1149	4013	1128	4535	1249	4497	1325	4870	1172	4626	1225	4633	1195	4927	1361	5334	1241	4311	1201	5575	1176	5207	1170	3805	1192	4995	1181	5977	1229	4345	1038	5522	1044	7203
