coordinates:	33.3,107.3	97.3,107.3
timeat486nm	I_1at486nm	I_2at486nm	timeat777nm	I_1at777nm	I_2at777nm
1.000000e-01	162	166	2.000000e-01	115	257
3.000000e-01	159	206	4.000000e-01	115	255
5.000000e-01	155	214	6.000000e-01	117	237
7.000000e-01	148	203	8.000000e-01	115	247
9.000000e-01	158	210	1	116	271
1.100000e+00	162	204	1.200000e+00	115	248
1.300000e+00	118	281	1.400000e+00	113	240
1.500000e+00	120	283	1.600000e+00	120	276
1.700000e+00	119	302	1.800000e+00	113	267
1.900000e+00	118	288	2	115	252
2.100000e+00	118	305	2.200000e+00	116	268
2.300000e+00	135	269	2.400000e+00	115	244
2.500000e+00	117	121	2.600000e+00	115	255
2.700000e+00	117	120	2.800000e+00	113	268
2.900000e+00	121	120	3	115	207
3.100000e+00	122	117	3.200000e+00	115	217
3.300000e+00	121	118	3.400000e+00	114	257
3.500000e+00	116	115	3.600000e+00	115	256
3.700000e+00	118	119	3.800000e+00	115	263
3.900000e+00	120	115	4	114	200
4.100000e+00	117	119	4.200000e+00	115	115
4.300000e+00	117	116	4.400000e+00	115	115
4.500000e+00	116	119	4.600000e+00	116	258
4.700000e+00	120	120	4.800000e+00	114	282
4.900000e+00	115	118	5	119	240
5.100000e+00	118	122	5.200000e+00	114	251
5.300000e+00	117	121	5.400000e+00	115	254
5.500000e+00	118	118	5.600000e+00	113	253
5.700000e+00	118	117	5.800000e+00	113	275
5.900000e+00	117	119	6	114	155
6.100000e+00	121	114	6.200000e+00	113	248
6.300000e+00	117	124	6.400000e+00	113	252
6.500000e+00	120	122	6.600000e+00	116	245
6.700000e+00	117	121	6.800000e+00	116	258
6.900000e+00	118	115	7	117	263
7.100000e+00	115	119	7.200000e+00	116	264
7.300000e+00	117	115	7.400000e+00	113	237
7.500000e+00	121	118	7.600000e+00	117	268
7.700000e+00	115	118	7.800000e+00	113	262
7.900000e+00	118	119	8	114	272
8.100000e+00	117	120	8.200000e+00	117	258
8.300000e+00	117	121	8.400000e+00	117	241
8.500000e+00	121	120	8.600000e+00	118	251
8.700000e+00	117	118	8.800000e+00	114	261
8.900000e+00	117	121	9	114	279
9.100000e+00	126	119	9.200000e+00	116	259
9.300000e+00	119	117	9.400000e+00	118	259
9.500000e+00	121	116	9.600000e+00	116	242
9.700000e+00	120	119	9.800000e+00	115	289
9.900000e+00	114	121	10	117	257
1.010000e+01	118	117	1.020000e+01	113	254
1.030000e+01	118	116	1.040000e+01	114	238
1.050000e+01	117	118	1.060000e+01	113	262
1.070000e+01	116	119	1.080000e+01	113	193
1.090000e+01	121	114	11	116	177
1.110000e+01	117	119	1.120000e+01	115	255
1.130000e+01	121	122	1.140000e+01	114	260
1.150000e+01	119	118	1.160000e+01	116	254
1.170000e+01	118	118	1.180000e+01	114	254
1.190000e+01	117	118	12	115	258
1.210000e+01	118	119	1.220000e+01	114	260
1.230000e+01	120	115	1.240000e+01	117	264
1.250000e+01	118	121	1.260000e+01	119	261
1.270000e+01	116	120	1.280000e+01	114	269
1.290000e+01	116	124	13	115	255
1.310000e+01	116	120	1.320000e+01	113	241
1.330000e+01	118	122	1.340000e+01	115	266
1.350000e+01	118	115	1.360000e+01	116	118
1.370000e+01	121	120	1.380000e+01	116	117
1.390000e+01	118	118	14	115	119
1.410000e+01	120	117	1.420000e+01	114	117
1.430000e+01	117	119	1.440000e+01	113	115
1.450000e+01	114	122	1.460000e+01	114	118
1.470000e+01	117	115	1.480000e+01	115	115
1.490000e+01	118	117	15	117	122
1.510000e+01	117	117	1.520000e+01	115	118
1.530000e+01	124	114	1.540000e+01	114	118
1.550000e+01	117	115	1.560000e+01	114	115
1.570000e+01	117	116	1.580000e+01	114	117
1.590000e+01	117	118	16	114	116
1.610000e+01	117	115	1.620000e+01	116	118
1.630000e+01	118	118	1.640000e+01	113	119
1.650000e+01	120	119	1.660000e+01	114	118
1.670000e+01	119	115	1.680000e+01	114	117
1.690000e+01	118	116	17	115	119
1.710000e+01	116	116	1.720000e+01	114	120
1.730000e+01	117	118	1.740000e+01	115	119
1.750000e+01	118	114	1.760000e+01	115	119
1.770000e+01	114	116	1.780000e+01	119	117
1.790000e+01	116	116	18	116	114
1.810000e+01	118	114	1.820000e+01	114	119
1.830000e+01	115	117	1.840000e+01	115	117
1.850000e+01	122	116	1.860000e+01	113	116
1.870000e+01	117	119	1.880000e+01	115	115
1.890000e+01	123	114	19	115	119
1.910000e+01	121	117	1.920000e+01	115	116
1.930000e+01	120	116	1.940000e+01	115	115
1.950000e+01	118	114	1.960000e+01	114	116
1.970000e+01	123	116	1.980000e+01	118	121
1.990000e+01	121	116	20	113	116
