coordinates:	15.9,107.2	79.9,107.2
timeat486nm	I_1at486nm	I_2at486nm	timeat777nm	I_1at777nm	I_2at777nm
1.000000e-01	120	306	2.000000e-01	116	296
3.000000e-01	120	282	4.000000e-01	116	265
5.000000e-01	116	280	6.000000e-01	118	249
7.000000e-01	140	169	8.000000e-01	113	268
9.000000e-01	120	283	1	115	246
1.100000e+00	126	287	1.200000e+00	114	274
1.300000e+00	121	300	1.400000e+00	115	247
1.500000e+00	118	326	1.600000e+00	114	269
1.700000e+00	116	305	1.800000e+00	114	258
1.900000e+00	128	305	2	113	266
2.100000e+00	115	288	2.200000e+00	114	252
2.300000e+00	120	264	2.400000e+00	115	238
2.500000e+00	117	302	2.600000e+00	117	264
2.700000e+00	118	286	2.800000e+00	116	272
2.900000e+00	118	303	3	113	260
3.100000e+00	119	313	3.200000e+00	114	260
3.300000e+00	119	317	3.400000e+00	115	257
3.500000e+00	119	292	3.600000e+00	114	267
3.700000e+00	122	308	3.800000e+00	114	257
3.900000e+00	116	121	4	113	251
4.100000e+00	121	293	4.200000e+00	115	256
4.300000e+00	125	278	4.400000e+00	115	218
4.500000e+00	118	284	4.600000e+00	117	253
4.700000e+00	118	302	4.800000e+00	116	240
4.900000e+00	124	296	5	114	273
5.100000e+00	124	325	5.200000e+00	114	235
5.300000e+00	115	300	5.400000e+00	116	262
5.500000e+00	120	286	5.600000e+00	115	245
5.700000e+00	119	286	5.800000e+00	115	248
5.900000e+00	118	276	6	115	270
6.100000e+00	117	292	6.200000e+00	117	246
6.300000e+00	119	279	6.400000e+00	114	281
6.500000e+00	115	295	6.600000e+00	116	269
6.700000e+00	122	115	6.800000e+00	117	245
6.900000e+00	138	127	7	114	278
7.100000e+00	120	302	7.200000e+00	115	255
7.300000e+00	117	312	7.400000e+00	116	283
7.500000e+00	117	285	7.600000e+00	113	255
7.700000e+00	123	309	7.800000e+00	117	252
7.900000e+00	118	119	8	116	264
8.100000e+00	115	118	8.200000e+00	115	246
8.300000e+00	119	124	8.400000e+00	116	237
8.500000e+00	117	117	8.600000e+00	116	223
8.700000e+00	115	116	8.800000e+00	116	251
8.900000e+00	118	116	9	114	116
9.100000e+00	124	114	9.200000e+00	113	267
9.300000e+00	118	118	9.400000e+00	115	263
9.500000e+00	120	120	9.600000e+00	114	248
9.700000e+00	116	118	9.800000e+00	114	256
9.900000e+00	115	117	10	115	248
1.010000e+01	119	118	1.020000e+01	116	233
1.030000e+01	118	114	1.040000e+01	114	115
1.050000e+01	117	118	1.060000e+01	114	273
1.070000e+01	119	114	1.080000e+01	114	257
1.090000e+01	118	115	11	116	248
1.110000e+01	113	118	1.120000e+01	115	238
1.130000e+01	116	120	1.140000e+01	113	257
1.150000e+01	115	119	1.160000e+01	116	243
1.170000e+01	117	122	1.180000e+01	114	274
1.190000e+01	117	119	12	114	258
1.210000e+01	116	116	1.220000e+01	115	248
1.230000e+01	119	119	1.240000e+01	114	269
1.250000e+01	118	117	1.260000e+01	115	252
1.270000e+01	121	120	1.280000e+01	113	271
1.290000e+01	117	122	13	114	248
1.310000e+01	120	117	1.320000e+01	115	185
1.330000e+01	121	117	1.340000e+01	115	255
1.350000e+01	117	121	1.360000e+01	119	241
1.370000e+01	120	118	1.380000e+01	114	253
1.390000e+01	119	117	14	115	259
1.410000e+01	118	121	1.420000e+01	116	261
1.430000e+01	113	118	1.440000e+01	118	245
1.450000e+01	118	116	1.460000e+01	115	274
1.470000e+01	122	118	1.480000e+01	113	250
1.490000e+01	119	118	15	113	270
1.510000e+01	117	123	1.520000e+01	115	240
1.530000e+01	116	120	1.540000e+01	115	262
1.550000e+01	115	114	1.560000e+01	113	261
1.570000e+01	118	116	1.580000e+01	113	257
1.590000e+01	123	118	16	117	269
1.610000e+01	119	121	1.620000e+01	116	271
1.630000e+01	124	123	1.640000e+01	115	242
1.650000e+01	120	120	1.660000e+01	113	266
1.670000e+01	121	118	1.680000e+01	117	253
1.690000e+01	117	119	17	116	241
1.710000e+01	118	113	1.720000e+01	118	242
1.730000e+01	119	117	1.740000e+01	114	267
1.750000e+01	115	120	1.760000e+01	113	256
1.770000e+01	114	123	1.780000e+01	114	257
1.790000e+01	117	120	18	114	251
1.810000e+01	124	120	1.820000e+01	114	268
1.830000e+01	118	121	1.840000e+01	115	244
1.850000e+01	120	121	1.860000e+01	115	231
1.870000e+01	122	118	1.880000e+01	114	257
1.890000e+01	116	124	19	115	249
1.910000e+01	116	118	1.920000e+01	116	266
1.930000e+01	113	114	1.940000e+01	114	257
1.950000e+01	115	119	1.960000e+01	114	252
1.970000e+01	117	117	1.980000e+01	113	269
1.990000e+01	120	117	20	116	264
