coordinates:	28.9,65.4	78.9,65.4
timeat253nm	I_1at253nm	I_2at253nm
1.000000e-01	137	139
2.000000e-01	114	153
3.000000e-01	138	144
4.000000e-01	114	148
5.000000e-01	143	145
6.000000e-01	113	153
7.000000e-01	132	149
8.000000e-01	114	153
9.000000e-01	142	164
1	115	150
1.100000e+00	142	139
1.200000e+00	115	160
1.300000e+00	133	139
1.400000e+00	116	148
1.500000e+00	134	141
1.600000e+00	114	147
1.700000e+00	145	143
1.800000e+00	115	154
1.900000e+00	139	145
2	114	148
2.100000e+00	150	143
2.200000e+00	113	170
2.300000e+00	157	134
2.400000e+00	115	150
2.500000e+00	138	149
2.600000e+00	116	152
2.700000e+00	145	148
2.800000e+00	113	157
2.900000e+00	134	146
3	114	148
3.100000e+00	136	146
3.200000e+00	115	153
3.300000e+00	137	144
3.400000e+00	115	156
3.500000e+00	142	151
3.600000e+00	113	147
3.700000e+00	160	146
3.800000e+00	116	150
3.900000e+00	142	146
4	116	160
4.100000e+00	137	154
4.200000e+00	115	154
4.300000e+00	141	144
4.400000e+00	114	156
4.500000e+00	144	140
4.600000e+00	114	150
4.700000e+00	137	149
4.800000e+00	116	151
4.900000e+00	143	134
5	113	148
5.100000e+00	145	139
5.200000e+00	116	149
5.300000e+00	148	145
5.400000e+00	113	154
5.500000e+00	133	147
5.600000e+00	113	150
5.700000e+00	141	142
5.800000e+00	116	154
5.900000e+00	135	140
6	113	149
6.100000e+00	140	141
6.200000e+00	114	144
6.300000e+00	153	153
6.400000e+00	114	154
6.500000e+00	133	153
6.600000e+00	115	169
6.700000e+00	134	140
6.800000e+00	117	154
6.900000e+00	135	143
7	116	155
7.100000e+00	138	141
7.200000e+00	116	154
7.300000e+00	143	142
7.400000e+00	117	161
7.500000e+00	138	131
7.600000e+00	116	157
7.700000e+00	145	155
7.800000e+00	114	155
7.900000e+00	146	158
8	115	149
8.100000e+00	140	145
8.200000e+00	114	146
8.300000e+00	140	137
8.400000e+00	114	149
8.500000e+00	139	146
8.600000e+00	114	138
8.700000e+00	139	156
8.800000e+00	115	162
8.900000e+00	134	149
9	114	155
9.100000e+00	131	146
9.200000e+00	115	156
9.300000e+00	132	144
9.400000e+00	114	157
9.500000e+00	143	143
9.600000e+00	115	152
9.700000e+00	139	144
9.800000e+00	114	158
9.900000e+00	145	143
10	113	150
1.010000e+01	142	135
1.020000e+01	115	155
1.030000e+01	148	137
1.040000e+01	115	149
1.050000e+01	131	149
1.060000e+01	115	155
1.070000e+01	132	138
1.080000e+01	116	155
1.090000e+01	145	151
11	113	155
1.110000e+01	137	148
1.120000e+01	113	143
1.130000e+01	144	151
1.140000e+01	114	154
1.150000e+01	142	137
1.160000e+01	113	156
1.170000e+01	143	142
1.180000e+01	116	147
1.190000e+01	137	142
12	114	159
1.210000e+01	139	143
1.220000e+01	114	140
1.230000e+01	142	145
1.240000e+01	113	141
1.250000e+01	140	141
1.260000e+01	116	146
1.270000e+01	147	144
1.280000e+01	115	154
1.290000e+01	138	140
13	113	141
1.310000e+01	133	140
1.320000e+01	113	158
1.330000e+01	131	147
1.340000e+01	116	152
1.350000e+01	137	143
1.360000e+01	114	155
1.370000e+01	137	140
1.380000e+01	115	150
1.390000e+01	135	146
14	114	160
1.410000e+01	136	146
1.420000e+01	113	154
1.430000e+01	136	146
1.440000e+01	113	154
1.450000e+01	143	149
1.460000e+01	116	156
1.470000e+01	143	144
1.480000e+01	115	153
1.490000e+01	131	140
15	115	152
1.510000e+01	138	145
1.520000e+01	115	153
1.530000e+01	132	138
1.540000e+01	114	147
1.550000e+01	142	134
1.560000e+01	114	156
1.570000e+01	137	147
1.580000e+01	114	152
1.590000e+01	141	149
16	116	164
1.610000e+01	132	148
1.620000e+01	113	152
1.630000e+01	139	144
1.640000e+01	114	151
1.650000e+01	145	143
1.660000e+01	119	146
1.670000e+01	137	144
1.680000e+01	115	152
1.690000e+01	143	142
17	113	167
1.710000e+01	142	147
1.720000e+01	113	155
1.730000e+01	138	137
1.740000e+01	114	153
1.750000e+01	137	139
1.760000e+01	116	146
1.770000e+01	129	139
1.780000e+01	113	154
1.790000e+01	144	140
18	116	148
1.810000e+01	133	141
1.820000e+01	115	144
1.830000e+01	137	153
1.840000e+01	113	148
1.850000e+01	129	145
1.860000e+01	116	154
1.870000e+01	146	143
1.880000e+01	113	168
1.890000e+01	134	144
19	114	147
1.910000e+01	143	137
1.920000e+01	114	150
1.930000e+01	135	131
1.940000e+01	113	151
1.950000e+01	148	147
1.960000e+01	113	149
1.970000e+01	140	147
1.980000e+01	113	149
1.990000e+01	143	139
20	113	159
2.010000e+01	147	147
2.020000e+01	113	151
2.030000e+01	145	154
2.040000e+01	114	154
2.050000e+01	142	153
2.060000e+01	116	155
2.070000e+01	134	140
2.080000e+01	114	146
2.090000e+01	133	135
21	114	150
2.110000e+01	152	142
2.120000e+01	115	163
2.130000e+01	134	146
2.140000e+01	113	153
2.150000e+01	140	140
2.160000e+01	115	150
2.170000e+01	138	154
2.180000e+01	115	156
2.190000e+01	134	144
22	115	155
2.210000e+01	145	147
2.220000e+01	116	153
2.230000e+01	146	131
2.240000e+01	114	157
2.250000e+01	145	141
2.260000e+01	115	155
2.270000e+01	140	134
2.280000e+01	113	172
2.290000e+01	140	129
23	114	158
2.310000e+01	135	140
2.320000e+01	116	164
2.330000e+01	146	149
2.340000e+01	113	148
2.350000e+01	138	154
2.360000e+01	114	153
2.370000e+01	138	148
2.380000e+01	113	146
2.390000e+01	141	136
24	115	160
2.410000e+01	136	129
2.420000e+01	115	149
2.430000e+01	142	148
2.440000e+01	114	156
2.450000e+01	139	142
2.460000e+01	114	154
2.470000e+01	139	144
2.480000e+01	113	146
2.490000e+01	139	132
25	113	161
2.510000e+01	137	149
2.520000e+01	113	145
2.530000e+01	143	140
2.540000e+01	118	152
2.550000e+01	134	134
2.560000e+01	114	146
2.570000e+01	140	149
2.580000e+01	114	157
2.590000e+01	143	146
26	115	155
2.610000e+01	143	150
2.620000e+01	115	152
2.630000e+01	145	143
2.640000e+01	116	155
2.650000e+01	137	145
2.660000e+01	113	151
2.670000e+01	140	144
2.680000e+01	116	153
2.690000e+01	141	142
27	116	151
2.710000e+01	146	158
2.720000e+01	115	139
2.730000e+01	144	144
2.740000e+01	113	151
2.750000e+01	139	143
2.760000e+01	114	148
2.770000e+01	135	147
2.780000e+01	118	156
2.790000e+01	140	147
28	114	162
2.810000e+01	137	149
2.820000e+01	115	152
2.830000e+01	134	144
2.840000e+01	115	148
2.850000e+01	140	157
2.860000e+01	114	154
2.870000e+01	151	138
2.880000e+01	116	151
2.890000e+01	144	154
29	114	147
2.910000e+01	140	136
2.920000e+01	116	158
2.930000e+01	141	135
2.940000e+01	114	151
2.950000e+01	146	147
2.960000e+01	114	146
2.970000e+01	137	152
2.980000e+01	115	160
2.990000e+01	137	143
30	113	145
3.010000e+01	129	151
3.020000e+01	117	151
3.030000e+01	134	135
3.040000e+01	114	154
3.050000e+01	137	149
3.060000e+01	115	154
3.070000e+01	136	146
3.080000e+01	115	163
3.090000e+01	130	148
31	114	158
3.110000e+01	160	141
3.120000e+01	114	142
3.130000e+01	138	143
3.140000e+01	113	151
3.150000e+01	143	169
3.160000e+01	114	153
3.170000e+01	140	144
3.180000e+01	113	151
3.190000e+01	136	147
32	116	155
3.210000e+01	145	139
3.220000e+01	115	140
3.230000e+01	144	150
3.240000e+01	116	141
