coordinates:	28.9,65.4	78.9,65.4
timeat253nm	I_1at253nm	I_2at253nm
1.000000e-01	145	144
2.000000e-01	115	155
3.000000e-01	144	134
4.000000e-01	114	142
5.000000e-01	139	137
6.000000e-01	113	148
7.000000e-01	149	144
8.000000e-01	116	151
9.000000e-01	141	138
1	115	146
1.100000e+00	154	140
1.200000e+00	115	142
1.300000e+00	141	138
1.400000e+00	115	156
1.500000e+00	137	140
1.600000e+00	115	153
1.700000e+00	144	141
1.800000e+00	115	154
1.900000e+00	137	133
2	117	150
2.100000e+00	140	142
2.200000e+00	114	145
2.300000e+00	144	147
2.400000e+00	113	159
2.500000e+00	146	139
2.600000e+00	115	156
2.700000e+00	146	145
2.800000e+00	114	157
2.900000e+00	142	153
3	116	155
3.100000e+00	140	145
3.200000e+00	116	161
3.300000e+00	151	139
3.400000e+00	114	153
3.500000e+00	153	147
3.600000e+00	115	150
3.700000e+00	134	134
3.800000e+00	115	160
3.900000e+00	144	146
4	113	146
4.100000e+00	148	137
4.200000e+00	113	151
4.300000e+00	144	132
4.400000e+00	114	145
4.500000e+00	149	134
4.600000e+00	113	153
4.700000e+00	142	141
4.800000e+00	117	154
4.900000e+00	141	145
5	115	143
5.100000e+00	145	134
5.200000e+00	113	145
5.300000e+00	149	138
5.400000e+00	116	154
5.500000e+00	136	132
5.600000e+00	115	153
5.700000e+00	149	141
5.800000e+00	116	152
5.900000e+00	161	135
6	113	156
6.100000e+00	147	137
6.200000e+00	115	144
6.300000e+00	146	142
6.400000e+00	115	164
6.500000e+00	162	144
6.600000e+00	114	147
6.700000e+00	157	138
6.800000e+00	115	154
6.900000e+00	136	139
7	115	158
7.100000e+00	145	138
7.200000e+00	115	156
7.300000e+00	154	141
7.400000e+00	113	157
7.500000e+00	163	140
7.600000e+00	115	146
7.700000e+00	137	142
7.800000e+00	114	146
7.900000e+00	150	138
8	115	145
8.100000e+00	154	140
8.200000e+00	113	155
8.300000e+00	148	145
8.400000e+00	115	150
8.500000e+00	145	132
8.600000e+00	114	149
8.700000e+00	145	137
8.800000e+00	114	157
8.900000e+00	141	140
9	116	151
9.100000e+00	152	138
9.200000e+00	113	156
9.300000e+00	143	132
9.400000e+00	113	147
9.500000e+00	140	138
9.600000e+00	113	151
9.700000e+00	138	139
9.800000e+00	113	150
9.900000e+00	151	126
10	114	156
1.010000e+01	149	134
1.020000e+01	116	146
1.030000e+01	148	145
1.040000e+01	114	160
1.050000e+01	138	149
1.060000e+01	114	143
1.070000e+01	139	142
1.080000e+01	114	152
1.090000e+01	146	129
11	114	157
1.110000e+01	144	138
1.120000e+01	117	149
1.130000e+01	145	137
1.140000e+01	114	152
1.150000e+01	153	140
1.160000e+01	117	162
1.170000e+01	145	131
1.180000e+01	115	155
1.190000e+01	144	125
12	115	147
1.210000e+01	151	141
1.220000e+01	114	156
1.230000e+01	141	134
1.240000e+01	115	157
1.250000e+01	145	136
1.260000e+01	114	152
1.270000e+01	142	134
1.280000e+01	114	155
1.290000e+01	149	140
13	114	142
1.310000e+01	150	135
1.320000e+01	115	164
1.330000e+01	148	138
1.340000e+01	114	158
1.350000e+01	151	139
1.360000e+01	116	149
1.370000e+01	146	132
1.380000e+01	117	150
1.390000e+01	139	139
14	114	149
1.410000e+01	155	139
1.420000e+01	114	152
1.430000e+01	141	140
1.440000e+01	113	149
1.450000e+01	144	141
1.460000e+01	115	160
1.470000e+01	144	134
1.480000e+01	115	157
1.490000e+01	149	137
15	115	152
1.510000e+01	142	140
1.520000e+01	117	152
1.530000e+01	142	149
1.540000e+01	115	156
1.550000e+01	146	136
1.560000e+01	114	149
1.570000e+01	150	135
1.580000e+01	114	143
1.590000e+01	148	141
16	114	149
1.610000e+01	132	131
1.620000e+01	118	144
1.630000e+01	146	136
1.640000e+01	116	150
1.650000e+01	150	137
1.660000e+01	114	153
1.670000e+01	141	142
1.680000e+01	114	157
1.690000e+01	143	137
17	115	144
1.710000e+01	155	136
1.720000e+01	116	153
1.730000e+01	141	138
1.740000e+01	116	149
1.750000e+01	148	133
1.760000e+01	115	150
1.770000e+01	141	143
1.780000e+01	113	153
1.790000e+01	144	133
18	115	148
1.810000e+01	149	133
1.820000e+01	113	143
1.830000e+01	144	133
1.840000e+01	114	147
1.850000e+01	144	142
1.860000e+01	115	151
1.870000e+01	164	135
1.880000e+01	115	163
1.890000e+01	150	139
19	114	149
1.910000e+01	149	135
1.920000e+01	115	148
1.930000e+01	141	142
1.940000e+01	113	150
1.950000e+01	150	139
1.960000e+01	116	149
1.970000e+01	142	139
1.980000e+01	116	152
1.990000e+01	148	147
20	115	150
2.010000e+01	140	144
2.020000e+01	114	153
2.030000e+01	147	141
2.040000e+01	115	154
2.050000e+01	145	140
2.060000e+01	114	154
2.070000e+01	138	147
2.080000e+01	114	151
2.090000e+01	148	126
21	115	149
2.110000e+01	151	138
2.120000e+01	115	149
2.130000e+01	144	140
2.140000e+01	114	150
2.150000e+01	147	135
2.160000e+01	114	157
2.170000e+01	138	135
2.180000e+01	115	158
2.190000e+01	148	136
22	116	150
2.210000e+01	155	137
2.220000e+01	115	137
2.230000e+01	154	136
2.240000e+01	114	147
2.250000e+01	152	138
2.260000e+01	119	161
2.270000e+01	149	138
2.280000e+01	116	146
2.290000e+01	139	135
23	114	142
2.310000e+01	142	138
2.320000e+01	114	156
2.330000e+01	161	137
2.340000e+01	114	150
2.350000e+01	151	136
2.360000e+01	114	152
2.370000e+01	145	144
2.380000e+01	115	154
2.390000e+01	140	138
24	114	154
2.410000e+01	141	140
2.420000e+01	113	156
2.430000e+01	154	139
2.440000e+01	115	153
2.450000e+01	143	137
2.460000e+01	115	151
2.470000e+01	154	137
2.480000e+01	118	153
2.490000e+01	154	144
25	116	162
2.510000e+01	139	143
2.520000e+01	115	144
2.530000e+01	152	139
