coordinates:	28.9,65.4	78.9,65.4
timeat253nm	I_1at253nm	I_2at253nm
1.000000e-01	146	136
2.000000e-01	114	148
3.000000e-01	141	146
4.000000e-01	114	152
5.000000e-01	147	136
6.000000e-01	116	155
7.000000e-01	150	129
8.000000e-01	116	151
9.000000e-01	154	142
1	114	156
1.100000e+00	146	152
1.200000e+00	114	151
1.300000e+00	153	139
1.400000e+00	116	153
1.500000e+00	149	137
1.600000e+00	115	145
1.700000e+00	149	142
1.800000e+00	115	149
1.900000e+00	146	149
2	114	162
2.100000e+00	143	143
2.200000e+00	114	142
2.300000e+00	149	135
2.400000e+00	114	164
2.500000e+00	143	144
2.600000e+00	116	153
2.700000e+00	150	142
2.800000e+00	115	159
2.900000e+00	148	144
3	113	152
3.100000e+00	147	138
3.200000e+00	114	147
3.300000e+00	148	135
3.400000e+00	114	144
3.500000e+00	155	142
3.600000e+00	114	147
3.700000e+00	153	155
3.800000e+00	113	148
3.900000e+00	148	137
4	114	158
4.100000e+00	148	140
4.200000e+00	115	167
4.300000e+00	154	134
4.400000e+00	114	149
4.500000e+00	150	137
4.600000e+00	116	159
4.700000e+00	140	133
4.800000e+00	114	153
4.900000e+00	154	147
5	113	157
5.100000e+00	148	136
5.200000e+00	114	145
5.300000e+00	151	138
5.400000e+00	113	148
5.500000e+00	143	135
5.600000e+00	115	147
5.700000e+00	147	133
5.800000e+00	115	145
5.900000e+00	147	136
6	115	146
6.100000e+00	148	146
6.200000e+00	113	143
6.300000e+00	146	132
6.400000e+00	113	141
6.500000e+00	143	138
6.600000e+00	114	157
6.700000e+00	145	143
6.800000e+00	115	164
6.900000e+00	147	138
7	116	151
7.100000e+00	147	131
7.200000e+00	115	152
7.300000e+00	150	143
7.400000e+00	115	152
7.500000e+00	151	132
7.600000e+00	114	144
7.700000e+00	145	141
7.800000e+00	113	162
7.900000e+00	144	142
8	117	155
8.100000e+00	155	146
8.200000e+00	117	164
8.300000e+00	155	143
8.400000e+00	114	153
8.500000e+00	138	134
8.600000e+00	113	149
8.700000e+00	150	140
8.800000e+00	116	152
8.900000e+00	142	138
9	116	156
9.100000e+00	146	134
9.200000e+00	115	158
9.300000e+00	151	133
9.400000e+00	115	145
9.500000e+00	146	139
9.600000e+00	114	146
9.700000e+00	145	138
9.800000e+00	115	147
9.900000e+00	158	135
10	114	153
1.010000e+01	150	137
1.020000e+01	114	168
1.030000e+01	143	136
1.040000e+01	114	149
1.050000e+01	142	137
1.060000e+01	115	141
1.070000e+01	146	138
1.080000e+01	115	158
1.090000e+01	145	141
11	115	159
1.110000e+01	143	140
1.120000e+01	115	155
1.130000e+01	146	134
1.140000e+01	116	154
1.150000e+01	143	146
1.160000e+01	115	153
1.170000e+01	157	135
1.180000e+01	115	145
1.190000e+01	145	136
12	113	161
1.210000e+01	137	139
1.220000e+01	117	161
1.230000e+01	156	138
1.240000e+01	115	158
1.250000e+01	144	133
1.260000e+01	118	167
1.270000e+01	145	140
1.280000e+01	114	142
1.290000e+01	140	142
13	115	152
1.310000e+01	140	137
1.320000e+01	115	147
1.330000e+01	151	131
1.340000e+01	118	156
1.350000e+01	160	143
1.360000e+01	113	163
1.370000e+01	150	142
1.380000e+01	117	162
1.390000e+01	138	149
14	116	150
1.410000e+01	158	137
1.420000e+01	116	151
1.430000e+01	139	141
1.440000e+01	113	159
1.450000e+01	157	144
1.460000e+01	114	156
1.470000e+01	147	135
1.480000e+01	113	158
1.490000e+01	150	146
15	114	165
1.510000e+01	145	140
1.520000e+01	115	145
1.530000e+01	151	139
1.540000e+01	113	147
1.550000e+01	141	138
1.560000e+01	113	153
1.570000e+01	149	154
1.580000e+01	114	154
1.590000e+01	147	134
16	115	151
1.610000e+01	143	140
1.620000e+01	116	154
1.630000e+01	147	138
1.640000e+01	116	143
1.650000e+01	138	145
1.660000e+01	115	155
1.670000e+01	142	136
1.680000e+01	116	154
1.690000e+01	148	136
17	114	151
1.710000e+01	152	133
1.720000e+01	114	157
1.730000e+01	150	135
1.740000e+01	115	161
1.750000e+01	145	145
1.760000e+01	113	159
1.770000e+01	153	141
1.780000e+01	113	148
1.790000e+01	137	139
18	116	152
1.810000e+01	152	139
1.820000e+01	115	145
1.830000e+01	137	129
1.840000e+01	116	156
1.850000e+01	136	142
1.860000e+01	117	149
1.870000e+01	141	140
1.880000e+01	114	148
1.890000e+01	156	134
19	115	159
1.910000e+01	146	147
1.920000e+01	115	155
1.930000e+01	147	134
1.940000e+01	113	147
1.950000e+01	143	142
1.960000e+01	113	155
1.970000e+01	155	149
1.980000e+01	118	154
1.990000e+01	154	135
20	115	147
2.010000e+01	154	136
2.020000e+01	113	153
2.030000e+01	146	134
2.040000e+01	116	143
2.050000e+01	151	139
2.060000e+01	117	146
2.070000e+01	137	148
2.080000e+01	113	156
2.090000e+01	145	136
21	116	144
2.110000e+01	149	139
2.120000e+01	116	155
2.130000e+01	141	131
2.140000e+01	116	155
2.150000e+01	154	142
2.160000e+01	114	141
2.170000e+01	150	132
2.180000e+01	115	153
2.190000e+01	145	135
22	114	151
2.210000e+01	147	137
2.220000e+01	114	155
2.230000e+01	141	139
2.240000e+01	116	163
2.250000e+01	145	135
2.260000e+01	113	162
2.270000e+01	143	137
2.280000e+01	114	151
2.290000e+01	143	135
23	114	139
2.310000e+01	146	142
2.320000e+01	116	158
2.330000e+01	156	141
2.340000e+01	118	156
2.350000e+01	148	134
2.360000e+01	115	158
2.370000e+01	146	133
2.380000e+01	115	151
2.390000e+01	142	140
24	113	143
2.410000e+01	155	136
2.420000e+01	115	153
2.430000e+01	148	138
2.440000e+01	114	145
2.450000e+01	151	136
2.460000e+01	116	152
2.470000e+01	151	140
2.480000e+01	113	150
2.490000e+01	147	136
25	114	155
2.510000e+01	137	137
2.520000e+01	114	160
2.530000e+01	154	139
2.540000e+01	113	167
2.550000e+01	141	135
2.560000e+01	114	150
2.570000e+01	135	132
2.580000e+01	115	151
2.590000e+01	154	138
26	115	150
2.610000e+01	142	145
2.620000e+01	113	149
2.630000e+01	145	142
2.640000e+01	114	152
2.650000e+01	149	138
2.660000e+01	115	156
2.670000e+01	154	150
2.680000e+01	113	149
2.690000e+01	141	145
27	113	147
2.710000e+01	146	139
2.720000e+01	113	148
2.730000e+01	150	144
2.740000e+01	114	152
2.750000e+01	146	138
2.760000e+01	113	144
2.770000e+01	153	141
2.780000e+01	114	147
2.790000e+01	154	136
28	113	151
2.810000e+01	138	137
2.820000e+01	117	147
2.830000e+01	140	133
2.840000e+01	114	147
2.850000e+01	144	141
2.860000e+01	113	161
2.870000e+01	139	137
2.880000e+01	114	150
2.890000e+01	144	135
29	115	151
2.910000e+01	146	147
2.920000e+01	114	161
2.930000e+01	153	140
2.940000e+01	115	153
2.950000e+01	146	135
2.960000e+01	113	157
2.970000e+01	153	134
2.980000e+01	114	153
2.990000e+01	141	144
30	113	150
3.010000e+01	140	145
3.020000e+01	114	157
3.030000e+01	153	137
3.040000e+01	114	148
3.050000e+01	148	150
3.060000e+01	116	146
3.070000e+01	146	137
3.080000e+01	115	155
3.090000e+01	151	147
31	114	150
3.110000e+01	157	132
3.120000e+01	115	153
3.130000e+01	145	144
3.140000e+01	114	144
3.150000e+01	145	145
3.160000e+01	115	160
3.170000e+01	148	145
3.180000e+01	115	152
3.190000e+01	150	131
32	115	159
3.210000e+01	145	143
3.220000e+01	113	147
3.230000e+01	146	138
3.240000e+01	116	152
3.250000e+01	159	134
3.260000e+01	114	145
3.270000e+01	149	147
3.280000e+01	114	153
3.290000e+01	143	131
33	116	152
3.310000e+01	136	142
3.320000e+01	113	152
3.330000e+01	161	139
3.340000e+01	113	163
3.350000e+01	146	131
3.360000e+01	115	146
3.370000e+01	155	132
3.380000e+01	116	153
3.390000e+01	155	142
34	116	149
3.410000e+01	137	148
3.420000e+01	116	141
3.430000e+01	148	133
3.440000e+01	114	153
3.450000e+01	140	144
3.460000e+01	113	145
3.470000e+01	158	140
3.480000e+01	114	141
3.490000e+01	151	143
35	114	146
3.510000e+01	148	146
3.520000e+01	117	147
3.530000e+01	141	132
3.540000e+01	113	157
3.550000e+01	147	138
3.560000e+01	113	148
3.570000e+01	146	140
3.580000e+01	114	150
3.590000e+01	138	138
36	114	160
3.610000e+01	143	138
3.620000e+01	114	158
3.630000e+01	147	150
3.640000e+01	115	159
3.650000e+01	144	144
3.660000e+01	115	140
3.670000e+01	146	135
3.680000e+01	115	149
3.690000e+01	157	137
37	114	161
3.710000e+01	140	140
3.720000e+01	114	148
3.730000e+01	149	139
3.740000e+01	115	153
3.750000e+01	133	129
3.760000e+01	115	156
3.770000e+01	135	132
3.780000e+01	114	146
3.790000e+01	148	144
38	115	171
3.810000e+01	144	137
3.820000e+01	116	144
3.830000e+01	137	137
3.840000e+01	114	152
3.850000e+01	143	139
3.860000e+01	115	150
3.870000e+01	141	131
3.880000e+01	113	154
3.890000e+01	164	129
39	114	154
3.910000e+01	161	128
3.920000e+01	117	138
3.930000e+01	156	132
3.940000e+01	113	159
3.950000e+01	163	121
3.960000e+01	114	141
3.970000e+01	164	124
3.980000e+01	114	147
3.990000e+01	161	120
40	113	148
4.010000e+01	166	125
4.020000e+01	113	157
4.030000e+01	180	124
4.040000e+01	118	151
4.050000e+01	156	124
4.060000e+01	114	149
4.070000e+01	163	127
4.080000e+01	113	158
4.090000e+01	161	121
41	113	161
4.110000e+01	162	130
4.120000e+01	113	144
4.130000e+01	162	121
4.140000e+01	114	145
4.150000e+01	156	120
4.160000e+01	114	148
4.170000e+01	158	125
4.180000e+01	117	148
4.190000e+01	164	120
42	113	155
4.210000e+01	169	118
4.220000e+01	113	164
4.230000e+01	160	126
4.240000e+01	114	155
4.250000e+01	162	121
4.260000e+01	113	153
4.270000e+01	166	124
4.280000e+01	114	156
4.290000e+01	160	126
43	115	143
4.310000e+01	146	124
4.320000e+01	115	147
4.330000e+01	166	120
4.340000e+01	114	146
4.350000e+01	152	125
4.360000e+01	113	151
4.370000e+01	162	125
4.380000e+01	114	150
4.390000e+01	166	125
44	114	146
4.410000e+01	155	131
4.420000e+01	113	147
4.430000e+01	164	129
4.440000e+01	113	148
4.450000e+01	157	127
4.460000e+01	115	146
4.470000e+01	140	134
4.480000e+01	116	149
4.490000e+01	143	138
45	114	151
4.510000e+01	159	146
4.520000e+01	113	155
4.530000e+01	152	132
4.540000e+01	114	167
4.550000e+01	142	145
4.560000e+01	114	156
4.570000e+01	145	133
4.580000e+01	114	155
4.590000e+01	143	139
46	117	155
4.610000e+01	145	136
4.620000e+01	114	147
4.630000e+01	140	139
4.640000e+01	114	153
4.650000e+01	142	144
4.660000e+01	115	153
4.670000e+01	138	137
4.680000e+01	113	154
4.690000e+01	149	138
47	114	148
4.710000e+01	141	132
4.720000e+01	118	153
4.730000e+01	155	129
4.740000e+01	117	154
4.750000e+01	141	141
4.760000e+01	114	144
4.770000e+01	142	145
4.780000e+01	114	149
4.790000e+01	143	150
48	114	149
4.810000e+01	142	141
4.820000e+01	114	153
4.830000e+01	151	158
4.840000e+01	114	161
4.850000e+01	149	139
4.860000e+01	115	152
4.870000e+01	146	133
4.880000e+01	114	152
4.890000e+01	151	132
49	113	149
4.910000e+01	154	140
4.920000e+01	117	163
4.930000e+01	153	139
4.940000e+01	113	158
4.950000e+01	157	147
4.960000e+01	114	160
4.970000e+01	153	147
4.980000e+01	114	148
4.990000e+01	150	135
50	114	145
5.010000e+01	154	149
5.020000e+01	114	148
5.030000e+01	143	142
5.040000e+01	114	151
5.050000e+01	143	138
5.060000e+01	114	152
5.070000e+01	146	139
5.080000e+01	115	146
5.090000e+01	156	136
51	116	150
5.110000e+01	142	134
5.120000e+01	114	153
5.130000e+01	145	136
5.140000e+01	115	145
5.150000e+01	150	146
5.160000e+01	113	157
5.170000e+01	138	138
5.180000e+01	115	151
5.190000e+01	145	146
52	115	139
5.210000e+01	147	134
5.220000e+01	114	154
5.230000e+01	145	147
5.240000e+01	114	155
5.250000e+01	147	138
5.260000e+01	114	141
5.270000e+01	149	146
5.280000e+01	113	145
5.290000e+01	147	142
53	115	148
5.310000e+01	143	138
5.320000e+01	113	158
5.330000e+01	146	138
5.340000e+01	115	157
5.350000e+01	141	136
5.360000e+01	114	145
5.370000e+01	139	143
5.380000e+01	118	152
5.390000e+01	147	136
54	116	154
5.410000e+01	137	139
5.420000e+01	114	147
5.430000e+01	138	137
5.440000e+01	115	152
5.450000e+01	147	138
5.460000e+01	114	146
5.470000e+01	152	140
5.480000e+01	116	147
5.490000e+01	157	132
55	113	150
5.510000e+01	142	132
5.520000e+01	116	147
5.530000e+01	152	144
5.540000e+01	115	164
5.550000e+01	152	126
5.560000e+01	114	146
5.570000e+01	149	131
5.580000e+01	113	158
5.590000e+01	152	135
56	113	151
5.610000e+01	142	134
5.620000e+01	115	153
5.630000e+01	136	140
5.640000e+01	114	137
5.650000e+01	142	140
5.660000e+01	115	155
5.670000e+01	147	147
5.680000e+01	113	159
5.690000e+01	155	140
57	113	148
5.710000e+01	141	137
5.720000e+01	113	151
5.730000e+01	145	145
5.740000e+01	116	153
5.750000e+01	152	146
5.760000e+01	116	138
5.770000e+01	152	131
5.780000e+01	114	155
5.790000e+01	152	137
58	115	161
5.810000e+01	140	140
5.820000e+01	115	155
5.830000e+01	143	135
5.840000e+01	114	156
5.850000e+01	155	137
5.860000e+01	116	152
5.870000e+01	139	132
5.880000e+01	113	147
5.890000e+01	150	137
59	114	156
5.910000e+01	156	138
5.920000e+01	117	159
5.930000e+01	140	139
5.940000e+01	115	153
5.950000e+01	148	141
5.960000e+01	113	146
5.970000e+01	144	135
