coordinates:	28.9,65.4	78.9,65.4
timeat253nm	I_1at253nm	I_2at253nm
1.000000e-01	140	131
2.000000e-01	118	144
3.000000e-01	141	132
4.000000e-01	114	152
5.000000e-01	149	136
6.000000e-01	116	145
7.000000e-01	151	142
8.000000e-01	113	152
9.000000e-01	137	139
1	113	155
1.100000e+00	151	132
1.200000e+00	114	157
1.300000e+00	146	147
1.400000e+00	113	169
1.500000e+00	148	142
1.600000e+00	114	145
1.700000e+00	146	142
1.800000e+00	113	154
1.900000e+00	159	142
2	114	144
2.100000e+00	144	133
2.200000e+00	115	155
2.300000e+00	140	132
2.400000e+00	113	152
2.500000e+00	145	137
2.600000e+00	115	156
2.700000e+00	150	142
2.800000e+00	114	149
2.900000e+00	148	139
3	114	139
3.100000e+00	141	130
3.200000e+00	113	145
3.300000e+00	147	142
3.400000e+00	114	158
3.500000e+00	142	138
3.600000e+00	114	155
3.700000e+00	155	136
3.800000e+00	113	149
3.900000e+00	139	145
4	116	149
4.100000e+00	147	142
4.200000e+00	114	149
4.300000e+00	137	131
4.400000e+00	114	150
4.500000e+00	147	133
4.600000e+00	115	160
4.700000e+00	152	135
4.800000e+00	115	164
4.900000e+00	140	137
5	114	159
5.100000e+00	150	147
5.200000e+00	117	155
5.300000e+00	142	142
5.400000e+00	113	156
5.500000e+00	140	142
5.600000e+00	114	150
5.700000e+00	145	129
5.800000e+00	117	160
5.900000e+00	143	144
6	115	149
6.100000e+00	142	129
6.200000e+00	114	156
6.300000e+00	148	134
6.400000e+00	113	150
6.500000e+00	158	148
6.600000e+00	113	142
6.700000e+00	148	139
6.800000e+00	114	155
6.900000e+00	154	132
7	119	152
7.100000e+00	143	138
7.200000e+00	114	147
7.300000e+00	145	140
7.400000e+00	113	145
7.500000e+00	150	140
7.600000e+00	117	148
7.700000e+00	143	135
7.800000e+00	115	144
7.900000e+00	140	136
8	114	150
8.100000e+00	140	131
8.200000e+00	114	172
8.300000e+00	150	136
8.400000e+00	115	152
8.500000e+00	150	131
8.600000e+00	114	149
8.700000e+00	151	130
8.800000e+00	114	147
8.900000e+00	148	136
9	114	152
9.100000e+00	142	139
9.200000e+00	113	158
9.300000e+00	143	134
9.400000e+00	115	139
9.500000e+00	139	143
9.600000e+00	113	155
9.700000e+00	139	147
9.800000e+00	114	151
9.900000e+00	135	146
10	115	145
1.010000e+01	143	150
1.020000e+01	113	161
1.030000e+01	141	143
1.040000e+01	114	147
1.050000e+01	148	142
1.060000e+01	113	150
1.070000e+01	146	134
1.080000e+01	114	150
1.090000e+01	138	143
11	115	140
1.110000e+01	147	143
1.120000e+01	116	154
1.130000e+01	139	148
1.140000e+01	113	146
1.150000e+01	135	139
1.160000e+01	114	135
1.170000e+01	144	147
1.180000e+01	114	150
1.190000e+01	143	145
12	115	150
1.210000e+01	148	134
1.220000e+01	114	148
1.230000e+01	154	146
1.240000e+01	113	149
1.250000e+01	144	149
1.260000e+01	113	150
1.270000e+01	135	141
1.280000e+01	115	161
1.290000e+01	144	147
13	113	144
1.310000e+01	144	137
1.320000e+01	113	150
1.330000e+01	140	144
1.340000e+01	114	156
1.350000e+01	142	157
1.360000e+01	115	151
1.370000e+01	147	134
1.380000e+01	114	151
1.390000e+01	142	135
14	113	152
1.410000e+01	134	146
1.420000e+01	114	145
1.430000e+01	148	144
1.440000e+01	114	162
1.450000e+01	149	141
1.460000e+01	115	157
1.470000e+01	147	149
1.480000e+01	116	156
1.490000e+01	146	145
15	114	161
1.510000e+01	134	140
1.520000e+01	114	147
1.530000e+01	144	147
1.540000e+01	115	156
1.550000e+01	142	131
1.560000e+01	115	153
1.570000e+01	136	149
1.580000e+01	113	143
1.590000e+01	134	141
16	114	146
1.610000e+01	144	145
1.620000e+01	117	158
1.630000e+01	142	148
1.640000e+01	114	144
1.650000e+01	140	139
1.660000e+01	113	153
1.670000e+01	140	136
1.680000e+01	115	162
1.690000e+01	144	138
17	116	145
1.710000e+01	148	136
1.720000e+01	117	143
1.730000e+01	138	145
1.740000e+01	113	149
1.750000e+01	137	146
1.760000e+01	115	158
1.770000e+01	144	142
1.780000e+01	117	158
1.790000e+01	148	138
18	114	164
1.810000e+01	141	146
1.820000e+01	115	149
1.830000e+01	137	145
1.840000e+01	113	151
1.850000e+01	140	154
1.860000e+01	113	151
1.870000e+01	140	164
1.880000e+01	117	154
1.890000e+01	142	150
19	113	157
1.910000e+01	143	149
1.920000e+01	113	150
1.930000e+01	135	144
1.940000e+01	115	153
1.950000e+01	138	142
1.960000e+01	115	154
1.970000e+01	139	146
1.980000e+01	113	151
1.990000e+01	149	136
20	115	149
2.010000e+01	145	144
2.020000e+01	114	145
2.030000e+01	143	151
2.040000e+01	115	161
2.050000e+01	142	140
2.060000e+01	117	153
2.070000e+01	145	142
2.080000e+01	116	158
2.090000e+01	143	143
21	114	149
2.110000e+01	142	140
2.120000e+01	114	149
2.130000e+01	136	149
2.140000e+01	114	150
2.150000e+01	136	148
2.160000e+01	114	150
2.170000e+01	136	148
2.180000e+01	114	148
2.190000e+01	135	144
22	115	150
2.210000e+01	140	146
2.220000e+01	114	152
2.230000e+01	138	135
2.240000e+01	113	149
2.250000e+01	139	153
2.260000e+01	115	150
2.270000e+01	133	147
2.280000e+01	115	163
2.290000e+01	138	158
23	115	146
2.310000e+01	138	139
2.320000e+01	115	139
2.330000e+01	137	133
2.340000e+01	115	150
2.350000e+01	141	140
2.360000e+01	116	147
2.370000e+01	139	138
2.380000e+01	115	153
2.390000e+01	137	142
24	116	153
2.410000e+01	135	151
2.420000e+01	114	152
2.430000e+01	138	146
2.440000e+01	115	150
2.450000e+01	140	146
2.460000e+01	117	157
