coordinates:	28.9,65.4	78.9,65.4
timeat253nm	I_1at253nm	I_2at253nm
1.000000e-01	142	137
2.000000e-01	114	148
3.000000e-01	145	126
4.000000e-01	113	146
5.000000e-01	153	134
6.000000e-01	113	151
7.000000e-01	150	140
8.000000e-01	115	157
9.000000e-01	143	130
1	113	152
1.100000e+00	156	148
1.200000e+00	116	156
1.300000e+00	146	136
1.400000e+00	119	147
1.500000e+00	145	144
1.600000e+00	115	151
1.700000e+00	145	136
1.800000e+00	114	164
1.900000e+00	139	144
2	114	152
2.100000e+00	143	128
2.200000e+00	114	157
2.300000e+00	149	131
2.400000e+00	113	151
2.500000e+00	145	135
2.600000e+00	113	156
2.700000e+00	151	130
2.800000e+00	117	149
2.900000e+00	142	134
3	115	159
3.100000e+00	151	139
3.200000e+00	114	154
3.300000e+00	137	136
3.400000e+00	113	151
3.500000e+00	155	138
3.600000e+00	114	159
3.700000e+00	141	137
3.800000e+00	114	141
3.900000e+00	139	140
4	115	157
4.100000e+00	160	134
4.200000e+00	115	148
4.300000e+00	158	135
4.400000e+00	114	147
4.500000e+00	149	138
4.600000e+00	116	158
4.700000e+00	145	140
4.800000e+00	114	157
4.900000e+00	142	136
5	114	154
5.100000e+00	160	129
5.200000e+00	115	151
5.300000e+00	139	133
5.400000e+00	113	143
5.500000e+00	154	140
5.600000e+00	118	155
5.700000e+00	150	136
5.800000e+00	114	166
5.900000e+00	151	139
6	114	152
6.100000e+00	155	134
6.200000e+00	115	145
6.300000e+00	145	153
6.400000e+00	116	150
6.500000e+00	141	135
6.600000e+00	113	156
6.700000e+00	143	134
6.800000e+00	114	152
6.900000e+00	143	137
7	116	153
7.100000e+00	146	132
7.200000e+00	114	154
7.300000e+00	153	140
7.400000e+00	115	156
7.500000e+00	148	138
7.600000e+00	116	147
7.700000e+00	147	136
7.800000e+00	114	145
7.900000e+00	148	136
8	116	151
8.100000e+00	135	138
8.200000e+00	115	159
8.300000e+00	143	140
8.400000e+00	114	156
8.500000e+00	145	149
8.600000e+00	113	155
8.700000e+00	160	133
8.800000e+00	113	144
8.900000e+00	144	148
9	117	150
9.100000e+00	132	136
9.200000e+00	117	151
9.300000e+00	141	140
9.400000e+00	116	143
9.500000e+00	146	137
9.600000e+00	114	152
9.700000e+00	141	134
9.800000e+00	115	152
9.900000e+00	148	141
10	115	144
1.010000e+01	142	141
1.020000e+01	116	150
1.030000e+01	156	139
1.040000e+01	113	150
1.050000e+01	150	144
1.060000e+01	113	151
1.070000e+01	145	134
1.080000e+01	114	149
1.090000e+01	145	136
11	113	147
1.110000e+01	136	138
1.120000e+01	114	144
1.130000e+01	143	139
1.140000e+01	113	164
1.150000e+01	139	138
1.160000e+01	113	141
1.170000e+01	148	145
1.180000e+01	118	146
1.190000e+01	146	136
12	114	149
1.210000e+01	143	149
1.220000e+01	114	148
1.230000e+01	147	146
1.240000e+01	114	159
1.250000e+01	146	140
1.260000e+01	114	152
1.270000e+01	147	131
1.280000e+01	114	153
1.290000e+01	147	130
13	114	144
1.310000e+01	146	139
1.320000e+01	114	152
1.330000e+01	137	131
1.340000e+01	115	156
1.350000e+01	154	143
1.360000e+01	114	152
1.370000e+01	137	138
1.380000e+01	113	148
1.390000e+01	151	143
14	113	159
1.410000e+01	143	129
1.420000e+01	114	146
1.430000e+01	152	138
1.440000e+01	113	144
1.450000e+01	143	141
1.460000e+01	115	146
1.470000e+01	145	134
1.480000e+01	117	160
1.490000e+01	154	143
15	113	153
1.510000e+01	143	133
1.520000e+01	116	167
1.530000e+01	141	138
1.540000e+01	113	146
1.550000e+01	151	133
1.560000e+01	114	156
1.570000e+01	144	130
1.580000e+01	116	145
1.590000e+01	144	137
16	114	151
1.610000e+01	148	138
1.620000e+01	114	140
1.630000e+01	150	144
1.640000e+01	116	145
1.650000e+01	147	138
1.660000e+01	114	157
1.670000e+01	147	139
1.680000e+01	115	147
1.690000e+01	156	131
17	116	162
1.710000e+01	145	140
1.720000e+01	116	151
1.730000e+01	140	137
1.740000e+01	115	153
1.750000e+01	157	134
1.760000e+01	116	148
1.770000e+01	146	139
1.780000e+01	113	143
1.790000e+01	146	142
18	114	146
1.810000e+01	159	140
1.820000e+01	115	152
1.830000e+01	147	134
1.840000e+01	115	167
1.850000e+01	143	133
1.860000e+01	114	146
1.870000e+01	146	127
1.880000e+01	113	156
1.890000e+01	146	150
19	114	162
1.910000e+01	144	137
1.920000e+01	113	165
1.930000e+01	145	142
1.940000e+01	115	165
1.950000e+01	154	139
1.960000e+01	114	145
1.970000e+01	146	141
1.980000e+01	115	151
1.990000e+01	141	137
20	115	151
2.010000e+01	151	136
2.020000e+01	114	146
2.030000e+01	147	141
2.040000e+01	116	150
2.050000e+01	136	140
2.060000e+01	113	140
2.070000e+01	139	133
2.080000e+01	114	143
2.090000e+01	141	133
21	113	159
2.110000e+01	150	149
2.120000e+01	113	146
2.130000e+01	147	129
2.140000e+01	114	162
2.150000e+01	149	137
2.160000e+01	113	158
2.170000e+01	144	148
2.180000e+01	115	151
2.190000e+01	144	132
22	115	160
2.210000e+01	145	143
2.220000e+01	114	150
2.230000e+01	151	140
2.240000e+01	113	155
2.250000e+01	145	140
2.260000e+01	115	140
2.270000e+01	147	137
2.280000e+01	115	156
2.290000e+01	151	140
23	114	159
2.310000e+01	141	137
2.320000e+01	115	149
2.330000e+01	142	133
2.340000e+01	113	149
2.350000e+01	146	131
2.360000e+01	115	150
2.370000e+01	142	145
2.380000e+01	114	150
2.390000e+01	140	133
24	115	138
2.410000e+01	144	143
2.420000e+01	114	169
2.430000e+01	144	148
2.440000e+01	114	159
2.450000e+01	149	137
2.460000e+01	115	162
2.470000e+01	134	142
2.480000e+01	115	158
2.490000e+01	153	149
25	115	143
2.510000e+01	155	142
2.520000e+01	114	153
2.530000e+01	141	135
2.540000e+01	115	154
2.550000e+01	142	129
2.560000e+01	113	158
2.570000e+01	149	133
2.580000e+01	116	146
2.590000e+01	145	137
26	114	155
2.610000e+01	141	139
2.620000e+01	117	149
2.630000e+01	141	142
2.640000e+01	114	158
2.650000e+01	141	133
2.660000e+01	113	151
2.670000e+01	147	135
2.680000e+01	113	155
2.690000e+01	150	138
27	113	152
2.710000e+01	149	148
2.720000e+01	114	153
