coordinates:	28.9,65.4	78.9,65.4
timeat253nm	I_1at253nm	I_2at253nm
1.000000e-01	148	141
2.000000e-01	115	147
3.000000e-01	146	148
4.000000e-01	116	158
5.000000e-01	135	146
6.000000e-01	114	152
7.000000e-01	128	149
8.000000e-01	113	147
9.000000e-01	148	145
1	115	147
1.100000e+00	145	150
1.200000e+00	113	151
1.300000e+00	138	144
1.400000e+00	113	147
1.500000e+00	133	149
1.600000e+00	113	137
1.700000e+00	141	144
1.800000e+00	115	154
1.900000e+00	142	140
2	113	155
2.100000e+00	143	138
2.200000e+00	113	147
2.300000e+00	140	148
2.400000e+00	114	151
2.500000e+00	139	142
2.600000e+00	113	155
2.700000e+00	144	131
2.800000e+00	113	152
2.900000e+00	160	125
3	115	152
3.100000e+00	172	122
3.200000e+00	113	156
3.300000e+00	147	126
3.400000e+00	114	153
3.500000e+00	158	132
3.600000e+00	115	148
3.700000e+00	152	120
3.800000e+00	114	156
3.900000e+00	161	132
4	113	158
4.100000e+00	167	130
4.200000e+00	115	152
4.300000e+00	155	128
4.400000e+00	113	152
4.500000e+00	165	124
4.600000e+00	116	157
4.700000e+00	152	122
4.800000e+00	114	142
4.900000e+00	165	121
5	113	139
5.100000e+00	151	123
5.200000e+00	116	153
5.300000e+00	162	126
5.400000e+00	114	167
5.500000e+00	162	124
5.600000e+00	115	171
5.700000e+00	163	120
5.800000e+00	113	147
5.900000e+00	160	123
6	113	151
6.100000e+00	158	123
6.200000e+00	114	160
6.300000e+00	151	122
6.400000e+00	116	162
6.500000e+00	153	127
6.600000e+00	114	145
6.700000e+00	168	124
6.800000e+00	114	156
6.900000e+00	158	124
7	114	151
7.100000e+00	159	123
7.200000e+00	113	155
7.300000e+00	165	128
7.400000e+00	114	160
7.500000e+00	162	128
7.600000e+00	115	163
7.700000e+00	162	127
7.800000e+00	115	158
7.900000e+00	155	119
8	116	143
8.100000e+00	170	121
8.200000e+00	115	155
8.300000e+00	163	122
8.400000e+00	115	157
