coordinates:	24.8,78.2	88.8,78.2
timeat486nm	I_1at486nm	I_2at486nm	timeat777nm	I_1at777nm	I_2at777nm
1.000000e-01	120	306	2.000000e-01	115	256
3.000000e-01	189	157	4.000000e-01	114	116
5.000000e-01	223	122	6.000000e-01	113	255
7.000000e-01	167	207	8.000000e-01	115	260
9.000000e-01	119	284	1	115	275
1.100000e+00	120	295	1.200000e+00	114	263
1.300000e+00	115	274	1.400000e+00	114	260
1.500000e+00	117	304	1.600000e+00	115	260
1.700000e+00	116	268	1.800000e+00	115	251
1.900000e+00	117	298	2	114	259
2.100000e+00	124	121	2.200000e+00	114	284
2.300000e+00	120	117	2.400000e+00	116	260
2.500000e+00	122	123	2.600000e+00	113	119
2.700000e+00	119	115	2.800000e+00	114	118
2.900000e+00	116	114	3	114	116
3.100000e+00	117	115	3.200000e+00	115	119
3.300000e+00	120	115	3.400000e+00	117	119
3.500000e+00	117	116	3.600000e+00	115	118
3.700000e+00	115	114	3.800000e+00	114	120
3.900000e+00	118	117	4	115	118
4.100000e+00	121	116	4.200000e+00	114	115
4.300000e+00	116	115	4.400000e+00	115	114
4.500000e+00	116	115	4.600000e+00	113	117
4.700000e+00	120	116	4.800000e+00	114	117
4.900000e+00	120	116	5	118	117
5.100000e+00	120	118	5.200000e+00	114	115
5.300000e+00	118	119	5.400000e+00	114	120
5.500000e+00	118	114	5.600000e+00	114	114
5.700000e+00	118	116	5.800000e+00	114	118
5.900000e+00	121	115	6	115	118
6.100000e+00	115	115	6.200000e+00	115	117
6.300000e+00	121	114	6.400000e+00	113	116
6.500000e+00	119	118	6.600000e+00	116	116
6.700000e+00	125	114	6.800000e+00	113	116
6.900000e+00	119	115	7	116	121
7.100000e+00	117	115	7.200000e+00	116	118
7.300000e+00	118	115	7.400000e+00	116	119
7.500000e+00	119	119	7.600000e+00	117	118
7.700000e+00	118	114	7.800000e+00	113	117
7.900000e+00	120	120	8	114	114
8.100000e+00	120	115	8.200000e+00	115	114
8.300000e+00	119	116	8.400000e+00	116	117
8.500000e+00	118	116	8.600000e+00	116	118
8.700000e+00	120	115	8.800000e+00	115	114
8.900000e+00	120	118	9	115	115
9.100000e+00	121	116	9.200000e+00	114	118
9.300000e+00	117	116	9.400000e+00	116	117
9.500000e+00	117	117	9.600000e+00	114	114
9.700000e+00	119	117	9.800000e+00	118	117
9.900000e+00	118	114	10	117	117
1.010000e+01	116	116	1.020000e+01	113	117
1.030000e+01	117	116	1.040000e+01	116	116
1.050000e+01	121	113	1.060000e+01	115	115
1.070000e+01	119	119	1.080000e+01	116	117
1.090000e+01	118	117	11	114	114
1.110000e+01	122	116	1.120000e+01	114	118
1.130000e+01	116	118	1.140000e+01	115	120
1.150000e+01	119	115	1.160000e+01	113	120
1.170000e+01	119	115	1.180000e+01	115	115
1.190000e+01	120	115	12	115	116
1.210000e+01	117	116	1.220000e+01	115	122
1.230000e+01	121	115	1.240000e+01	114	117
1.250000e+01	120	119	1.260000e+01	114	117
1.270000e+01	117	114	1.280000e+01	113	115
1.290000e+01	118	117	13	115	118
1.310000e+01	123	118	1.320000e+01	115	120
1.330000e+01	117	116	1.340000e+01	119	117
1.350000e+01	124	115	1.360000e+01	113	119
1.370000e+01	121	118	1.380000e+01	116	117
1.390000e+01	120	115	14	115	122
1.410000e+01	115	116	1.420000e+01	114	117
1.430000e+01	118	114	1.440000e+01	114	119
1.450000e+01	118	116	1.460000e+01	113	115
1.470000e+01	117	115	1.480000e+01	114	118
1.490000e+01	119	115	15	116	117
1.510000e+01	116	117	1.520000e+01	114	117
1.530000e+01	120	119	1.540000e+01	116	117
1.550000e+01	122	115	1.560000e+01	114	119
1.570000e+01	118	116	1.580000e+01	115	115
1.590000e+01	115	118	16	115	118
1.610000e+01	116	116	1.620000e+01	114	117
1.630000e+01	121	113	1.640000e+01	115	114
1.650000e+01	120	115	1.660000e+01	113	115
1.670000e+01	116	114	1.680000e+01	119	118
1.690000e+01	117	116	17	114	115
1.710000e+01	121	118	1.720000e+01	115	114
1.730000e+01	119	120	1.740000e+01	115	115
1.750000e+01	116	114	1.760000e+01	114	123
1.770000e+01	119	116	1.780000e+01	116	116
1.790000e+01	119	115	18	115	116
1.810000e+01	124	118	1.820000e+01	116	117
1.830000e+01	117	119	1.840000e+01	118	118
1.850000e+01	120	114	1.860000e+01	115	117
1.870000e+01	119	118	1.880000e+01	117	118
1.890000e+01	121	115	19	113	113
1.910000e+01	120	113	1.920000e+01	114	119
1.930000e+01	120	119	1.940000e+01	115	117
1.950000e+01	118	117	1.960000e+01	116	116
1.970000e+01	115	113	1.980000e+01	115	118
1.990000e+01	119	117	20	116	120
