coordinates:	28.9,65.4	78.9,65.4
timeat253nm	I_1at253nm	I_2at253nm
1.000000e-01	156	128
2.000000e-01	113	153
3.000000e-01	164	125
4.000000e-01	114	151
5.000000e-01	163	128
6.000000e-01	115	164
7.000000e-01	166	124
8.000000e-01	115	145
9.000000e-01	160	127
1	115	146
1.100000e+00	150	131
1.200000e+00	114	147
1.300000e+00	158	127
1.400000e+00	115	158
1.500000e+00	162	124
1.600000e+00	115	144
1.700000e+00	154	126
1.800000e+00	115	148
1.900000e+00	159	129
2	115	156
2.100000e+00	158	127
2.200000e+00	113	149
2.300000e+00	161	128
2.400000e+00	115	155
2.500000e+00	153	124
2.600000e+00	113	145
2.700000e+00	169	128
2.800000e+00	113	153
2.900000e+00	175	126
3	114	144
3.100000e+00	166	124
3.200000e+00	116	156
3.300000e+00	158	133
3.400000e+00	113	160
3.500000e+00	143	147
3.600000e+00	113	154
3.700000e+00	139	138
3.800000e+00	114	156
3.900000e+00	149	143
4	115	152
4.100000e+00	142	136
4.200000e+00	114	156
4.300000e+00	142	127
4.400000e+00	117	155
4.500000e+00	156	133
4.600000e+00	113	157
4.700000e+00	139	143
4.800000e+00	116	149
4.900000e+00	149	141
5	116	162
5.100000e+00	146	149
5.200000e+00	116	143
5.300000e+00	148	143
5.400000e+00	113	147
5.500000e+00	145	136
5.600000e+00	113	141
5.700000e+00	153	145
5.800000e+00	113	149
5.900000e+00	143	136
6	116	160
6.100000e+00	144	138
6.200000e+00	113	154
6.300000e+00	141	137
6.400000e+00	114	163
6.500000e+00	139	140
6.600000e+00	115	149
6.700000e+00	140	133
6.800000e+00	115	157
6.900000e+00	145	139
7	114	154
7.100000e+00	148	140
7.200000e+00	114	148
7.300000e+00	149	140
7.400000e+00	113	147
7.500000e+00	144	141
7.600000e+00	113	156
7.700000e+00	147	146
7.800000e+00	116	152
7.900000e+00	150	143
8	113	153
8.100000e+00	144	136
8.200000e+00	115	168
8.300000e+00	153	141
8.400000e+00	113	151
8.500000e+00	150	141
8.600000e+00	113	141
8.700000e+00	147	140
8.800000e+00	115	158
8.900000e+00	134	132
9	116	153
9.100000e+00	141	137
9.200000e+00	115	152
9.300000e+00	151	138
9.400000e+00	115	157
9.500000e+00	137	139
9.600000e+00	113	152
9.700000e+00	148	138
9.800000e+00	113	152
9.900000e+00	143	144
10	115	151
1.010000e+01	148	140
1.020000e+01	114	157
1.030000e+01	149	129
1.040000e+01	118	155
1.050000e+01	145	128
1.060000e+01	114	145
1.070000e+01	140	147
1.080000e+01	114	171
1.090000e+01	150	156
11	116	140
1.110000e+01	154	142
1.120000e+01	113	152
1.130000e+01	156	142
1.140000e+01	114	156
1.150000e+01	153	130
1.160000e+01	116	150
1.170000e+01	151	135
1.180000e+01	114	149
1.190000e+01	139	138
12	113	148
1.210000e+01	145	136
1.220000e+01	113	155
1.230000e+01	141	140
1.240000e+01	113	168
1.250000e+01	142	143
1.260000e+01	114	152
1.270000e+01	148	140
1.280000e+01	116	157
1.290000e+01	139	138
13	114	150
1.310000e+01	129	138
1.320000e+01	115	160
1.330000e+01	157	138
1.340000e+01	114	152
1.350000e+01	147	135
1.360000e+01	115	153
1.370000e+01	140	145
1.380000e+01	115	154
1.390000e+01	150	148
14	118	139
1.410000e+01	149	130
1.420000e+01	118	155
1.430000e+01	150	138
1.440000e+01	115	158
1.450000e+01	144	137
1.460000e+01	117	152
1.470000e+01	139	133
1.480000e+01	119	147
1.490000e+01	141	150
15	116	154
1.510000e+01	145	145
1.520000e+01	114	146
1.530000e+01	148	140
1.540000e+01	115	150
1.550000e+01	154	140
1.560000e+01	115	153
