timeat605nm	I_1at605nm
6.370000e+01	154
6.390000e+01	161
6.410000e+01	166
6.430000e+01	168
6.450000e+01	167
6.470000e+01	162
6.490000e+01	175
6.510000e+01	171
6.530000e+01	183
6.550000e+01	178
6.570000e+01	170
6.590000e+01	172
6.610000e+01	182
6.630000e+01	171
6.650000e+01	167
6.670000e+01	166
6.690000e+01	170
6.710000e+01	168
6.730000e+01	162
6.750000e+01	167
6.770000e+01	177
6.790000e+01	174
6.810000e+01	174
6.830000e+01	182
6.850000e+01	179
6.870000e+01	173
6.890000e+01	173
6.910000e+01	168
6.930000e+01	179
6.950000e+01	178
6.970000e+01	166
6.990000e+01	172
7.010000e+01	180
7.030000e+01	169
7.050000e+01	165
7.070000e+01	165
7.090000e+01	175
7.110000e+01	171
7.130000e+01	179
7.150000e+01	156
7.170000e+01	161
7.190000e+01	160
7.210000e+01	164
7.230000e+01	160
7.250000e+01	159
7.270000e+01	171
7.290000e+01	170
7.310000e+01	159
7.330000e+01	177
7.350000e+01	172
7.370000e+01	158
7.390000e+01	180
7.410000e+01	167
7.430000e+01	178
7.450000e+01	175
7.470000e+01	169
7.490000e+01	165
7.510000e+01	174
7.530000e+01	163
7.550000e+01	177
7.570000e+01	173
7.590000e+01	154
7.610000e+01	176
7.630000e+01	178
7.650000e+01	163
7.670000e+01	181
7.690000e+01	136
7.710000e+01	150
7.730000e+01	139
7.750000e+01	141
7.770000e+01	135
7.790000e+01	138
7.810000e+01	154
7.830000e+01	145
7.850000e+01	144
7.870000e+01	155
7.890000e+01	139
7.910000e+01	148
7.930000e+01	131
7.950000e+01	151
7.970000e+01	141
7.990000e+01	139
8.010000e+01	144
8.030000e+01	145
8.050000e+01	146
8.070000e+01	144
8.090000e+01	143
8.110000e+01	143
8.130000e+01	146
8.150000e+01	148
8.170000e+01	130
8.190000e+01	138
8.210000e+01	143
8.230000e+01	142
8.250000e+01	142
8.270000e+01	141
8.290000e+01	135
8.310000e+01	151
8.330000e+01	141
8.350000e+01	144
8.370000e+01	152
8.390000e+01	146
8.410000e+01	142
8.430000e+01	148
8.450000e+01	147
8.470000e+01	151
8.490000e+01	152
8.510000e+01	144
8.530000e+01	143
8.550000e+01	153
8.570000e+01	139
8.590000e+01	141
8.610000e+01	148
8.630000e+01	153
8.650000e+01	148
8.670000e+01	156
8.690000e+01	143
8.710000e+01	146
8.730000e+01	149
8.750000e+01	146
8.770000e+01	139
8.790000e+01	152
