timeat605nm	I_1at605nm
1.000000e-01	134
3.000000e-01	131
5.000000e-01	129
7.000000e-01	128
9.000000e-01	127
1.100000e+00	127
1.300000e+00	129
1.500000e+00	129
1.700000e+00	134
1.900000e+00	133
2.100000e+00	123
2.300000e+00	127
2.500000e+00	131
2.700000e+00	132
2.900000e+00	137
3.100000e+00	139
3.300000e+00	131
3.500000e+00	128
3.700000e+00	127
3.900000e+00	133
4.100000e+00	132
4.300000e+00	127
4.500000e+00	140
4.700000e+00	135
4.900000e+00	133
5.100000e+00	127
5.300000e+00	133
5.500000e+00	124
5.700000e+00	128
5.900000e+00	134
6.100000e+00	129
6.300000e+00	126
6.500000e+00	125
6.700000e+00	128
6.900000e+00	132
7.100000e+00	128
7.300000e+00	130
7.500000e+00	127
7.700000e+00	137
7.900000e+00	129
8.100000e+00	128
8.300000e+00	132
8.500000e+00	130
8.700000e+00	132
8.900000e+00	128
9.100000e+00	131
9.300000e+00	131
9.500000e+00	138
9.700000e+00	135
9.900000e+00	127
1.010000e+01	131
1.030000e+01	126
1.050000e+01	130
1.070000e+01	125
1.090000e+01	126
1.110000e+01	134
1.130000e+01	126
1.150000e+01	126
1.170000e+01	131
1.190000e+01	129
1.210000e+01	131
1.230000e+01	124
1.250000e+01	130
1.270000e+01	130
1.290000e+01	128
1.310000e+01	130
1.330000e+01	130
1.350000e+01	129
1.370000e+01	130
1.390000e+01	126
1.410000e+01	173
1.430000e+01	169
1.450000e+01	160
1.470000e+01	168
1.490000e+01	171
1.510000e+01	157
1.530000e+01	159
1.550000e+01	164
1.570000e+01	161
1.590000e+01	176
1.610000e+01	169
1.630000e+01	177
1.650000e+01	186
1.670000e+01	179
1.690000e+01	172
1.710000e+01	179
1.730000e+01	161
1.750000e+01	157
1.770000e+01	181
1.790000e+01	174
1.810000e+01	168
1.830000e+01	175
1.850000e+01	183
1.870000e+01	175
1.890000e+01	175
1.910000e+01	171
1.930000e+01	162
1.950000e+01	168
1.970000e+01	168
1.990000e+01	169
2.010000e+01	168
2.030000e+01	162
2.050000e+01	155
2.070000e+01	166
2.090000e+01	162
2.110000e+01	162
2.130000e+01	170
2.150000e+01	177
2.170000e+01	169
2.190000e+01	180
2.210000e+01	156
2.230000e+01	178
2.250000e+01	171
2.270000e+01	163
2.290000e+01	168
2.310000e+01	157
2.330000e+01	166
2.350000e+01	175
2.370000e+01	187
2.390000e+01	163
2.410000e+01	170
2.430000e+01	158
2.450000e+01	162
2.470000e+01	163
2.490000e+01	146
2.510000e+01	143
2.530000e+01	137
2.550000e+01	143
2.570000e+01	153
2.590000e+01	153
2.610000e+01	136
2.630000e+01	140
2.650000e+01	139
2.670000e+01	137
2.690000e+01	146
2.710000e+01	154
2.730000e+01	141
2.750000e+01	138
2.770000e+01	146
2.790000e+01	144
2.810000e+01	145
2.830000e+01	140
2.850000e+01	139
2.870000e+01	145
2.890000e+01	145
2.910000e+01	142
2.930000e+01	137
2.950000e+01	153
2.970000e+01	131
2.990000e+01	150
3.010000e+01	139
3.030000e+01	150
3.050000e+01	144
3.070000e+01	147
3.090000e+01	140
3.110000e+01	140
3.130000e+01	151
3.150000e+01	145
3.170000e+01	136
3.190000e+01	148
3.210000e+01	142
3.230000e+01	142
3.250000e+01	145
3.270000e+01	146
3.290000e+01	134
3.310000e+01	154
3.330000e+01	144
3.350000e+01	143
3.370000e+01	141
3.390000e+01	142
3.410000e+01	143
3.430000e+01	133
3.450000e+01	146
3.470000e+01	145
3.490000e+01	144
3.510000e+01	154
3.530000e+01	144
3.550000e+01	134
3.570000e+01	143
3.590000e+01	140
3.610000e+01	134
3.630000e+01	142
3.650000e+01	148
3.670000e+01	141
3.690000e+01	159
3.710000e+01	145
3.730000e+01	151
3.750000e+01	143
3.770000e+01	147
3.790000e+01	142
3.810000e+01	142
3.830000e+01	149
3.850000e+01	138
3.870000e+01	143
3.890000e+01	142
3.910000e+01	140
3.930000e+01	151
3.950000e+01	143
3.970000e+01	143
3.990000e+01	136
4.010000e+01	143
4.030000e+01	140
4.050000e+01	143
4.070000e+01	141
4.090000e+01	136
4.110000e+01	140
4.130000e+01	139
4.150000e+01	134
4.170000e+01	130
4.190000e+01	148
4.210000e+01	145
4.230000e+01	139
4.250000e+01	140
4.270000e+01	140
4.290000e+01	148
4.310000e+01	141
4.330000e+01	144
4.350000e+01	138
4.370000e+01	149
4.390000e+01	137
4.410000e+01	142
4.430000e+01	139
4.450000e+01	154
4.470000e+01	138
4.490000e+01	136
4.510000e+01	137
4.530000e+01	145
4.550000e+01	136
4.570000e+01	144
4.590000e+01	148
4.610000e+01	133
4.630000e+01	144
4.650000e+01	151
4.670000e+01	137
4.690000e+01	158
4.710000e+01	133
4.730000e+01	139
4.750000e+01	150
4.770000e+01	140
4.790000e+01	140
4.810000e+01	140
4.830000e+01	150
4.850000e+01	156
4.870000e+01	156
4.890000e+01	149
4.910000e+01	144
4.930000e+01	148
4.950000e+01	145
4.970000e+01	142
4.990000e+01	136
5.010000e+01	136
5.030000e+01	140
5.050000e+01	133
5.070000e+01	147
5.090000e+01	148
5.110000e+01	147
5.130000e+01	148
5.150000e+01	143
5.170000e+01	150
5.190000e+01	141
5.210000e+01	139
5.230000e+01	140
5.250000e+01	148
5.270000e+01	151
5.290000e+01	141
5.310000e+01	142
5.330000e+01	147
5.350000e+01	141
5.370000e+01	156
5.390000e+01	141
5.410000e+01	145
5.430000e+01	141
5.450000e+01	137
5.470000e+01	144
5.490000e+01	141
5.510000e+01	140
5.530000e+01	145
5.550000e+01	135
5.570000e+01	145
5.590000e+01	144
5.610000e+01	143
5.630000e+01	150
5.650000e+01	145
5.670000e+01	142
5.690000e+01	149
5.710000e+01	138
5.730000e+01	144
5.750000e+01	145
5.770000e+01	145
5.790000e+01	142
5.810000e+01	137
5.830000e+01	142
5.850000e+01	147
5.870000e+01	142
5.890000e+01	143
5.910000e+01	148
5.930000e+01	139
5.950000e+01	142
5.970000e+01	140
5.990000e+01	140
6.010000e+01	148
6.030000e+01	140
6.050000e+01	149
6.070000e+01	141
6.090000e+01	148
6.110000e+01	145
6.130000e+01	140
6.150000e+01	149
6.170000e+01	148
6.190000e+01	149
6.210000e+01	149
6.230000e+01	138
6.250000e+01	131
6.270000e+01	142
6.290000e+01	147
6.310000e+01	144
6.330000e+01	143
6.350000e+01	146
6.370000e+01	144
6.390000e+01	147
6.410000e+01	138
6.430000e+01	143
6.450000e+01	141
6.470000e+01	146
6.490000e+01	146
6.510000e+01	141
6.530000e+01	141
6.550000e+01	135
6.570000e+01	140
6.590000e+01	136
6.610000e+01	131
6.630000e+01	140
6.650000e+01	150
6.670000e+01	145
6.690000e+01	157
6.710000e+01	144
6.730000e+01	143
6.750000e+01	141
6.770000e+01	139
6.790000e+01	137
6.810000e+01	144
6.830000e+01	146
6.850000e+01	150
6.870000e+01	142
6.890000e+01	150
6.910000e+01	153
6.930000e+01	137
6.950000e+01	143
6.970000e+01	143
6.990000e+01	143
7.010000e+01	140
7.030000e+01	139
7.050000e+01	145
7.070000e+01	138
7.090000e+01	137
7.110000e+01	151
7.130000e+01	143
7.150000e+01	149
7.170000e+01	143
7.190000e+01	144
7.210000e+01	145
7.230000e+01	138
7.250000e+01	146
7.270000e+01	152
7.290000e+01	155
7.310000e+01	139
7.330000e+01	139
