timeat605nm	I_1at605nm
1.000000e-01	135
3.000000e-01	129
5.000000e-01	126
7.000000e-01	132
9.000000e-01	138
1.100000e+00	123
1.300000e+00	134
1.500000e+00	133
1.700000e+00	129
1.900000e+00	133
2.100000e+00	130
2.300000e+00	129
2.500000e+00	127
2.700000e+00	126
2.900000e+00	124
3.100000e+00	134
3.300000e+00	131
3.500000e+00	128
3.700000e+00	125
3.900000e+00	137
4.100000e+00	132
4.300000e+00	129
4.500000e+00	124
4.700000e+00	130
4.900000e+00	132
5.100000e+00	141
5.300000e+00	128
5.500000e+00	135
5.700000e+00	125
5.900000e+00	131
6.100000e+00	132
6.300000e+00	131
6.500000e+00	128
6.700000e+00	130
6.900000e+00	127
7.100000e+00	128
7.300000e+00	125
7.500000e+00	127
7.700000e+00	136
7.900000e+00	144
8.100000e+00	131
8.300000e+00	133
8.500000e+00	129
8.700000e+00	129
8.900000e+00	125
9.100000e+00	124
9.300000e+00	129
9.500000e+00	127
9.700000e+00	128
9.900000e+00	127
1.010000e+01	124
1.030000e+01	130
1.050000e+01	128
1.070000e+01	126
1.090000e+01	126
1.110000e+01	123
1.130000e+01	131
1.150000e+01	135
1.170000e+01	130
1.190000e+01	133
1.210000e+01	143
1.230000e+01	130
1.250000e+01	132
1.270000e+01	129
1.290000e+01	127
1.310000e+01	129
1.330000e+01	137
1.350000e+01	132
1.370000e+01	128
1.390000e+01	128
1.410000e+01	127
1.430000e+01	127
1.450000e+01	129
1.470000e+01	122
1.490000e+01	136
1.510000e+01	129
1.530000e+01	132
1.550000e+01	130
1.570000e+01	128
1.590000e+01	128
1.610000e+01	136
1.630000e+01	124
1.650000e+01	130
1.670000e+01	122
1.690000e+01	133
1.710000e+01	127
1.730000e+01	123
1.750000e+01	135
1.770000e+01	133
1.790000e+01	126
1.810000e+01	128
1.830000e+01	127
1.850000e+01	140
1.870000e+01	130
1.890000e+01	134
1.910000e+01	132
1.930000e+01	121
1.950000e+01	134
1.970000e+01	127
1.990000e+01	124
2.010000e+01	128
2.030000e+01	136
2.050000e+01	130
2.070000e+01	134
2.090000e+01	137
2.110000e+01	126
2.130000e+01	129
2.150000e+01	137
2.170000e+01	126
2.190000e+01	129
2.210000e+01	131
2.230000e+01	132
2.250000e+01	129
2.270000e+01	134
2.290000e+01	134
2.310000e+01	127
2.330000e+01	133
2.350000e+01	123
2.370000e+01	127
2.390000e+01	125
2.410000e+01	126
2.430000e+01	124
2.450000e+01	131
2.470000e+01	135
2.490000e+01	132
2.510000e+01	127
2.530000e+01	132
2.550000e+01	135
2.570000e+01	131
2.590000e+01	135
2.610000e+01	134
2.630000e+01	131
2.650000e+01	128
2.670000e+01	132
2.690000e+01	129
2.710000e+01	129
2.730000e+01	134
2.750000e+01	126
2.770000e+01	132
2.790000e+01	130
2.810000e+01	142
2.830000e+01	122
2.850000e+01	122
2.870000e+01	125
2.890000e+01	128
2.910000e+01	134
2.930000e+01	134
2.950000e+01	130
2.970000e+01	129
2.990000e+01	130
3.010000e+01	131
3.030000e+01	135
3.050000e+01	125
3.070000e+01	132
3.090000e+01	131
3.110000e+01	129
3.130000e+01	131
3.150000e+01	135
3.170000e+01	127
3.190000e+01	126
3.210000e+01	134
3.230000e+01	131
3.250000e+01	130
3.270000e+01	132
3.290000e+01	128
3.310000e+01	132
3.330000e+01	123
3.350000e+01	131
3.370000e+01	127
3.390000e+01	128
3.410000e+01	135
3.430000e+01	133
3.450000e+01	130
3.470000e+01	125
3.490000e+01	133
3.510000e+01	140
3.530000e+01	133
3.550000e+01	127
3.570000e+01	135
3.590000e+01	132
3.610000e+01	135
3.630000e+01	132
3.650000e+01	129
3.670000e+01	126
3.690000e+01	126
3.710000e+01	126
3.730000e+01	130
3.750000e+01	131
3.770000e+01	133
3.790000e+01	129
3.810000e+01	134
3.830000e+01	124
3.850000e+01	130
3.870000e+01	125
3.890000e+01	122
3.910000e+01	140
3.930000e+01	131
3.950000e+01	132
3.970000e+01	124
3.990000e+01	124
4.010000e+01	127
4.030000e+01	132
4.050000e+01	125
4.070000e+01	129
4.090000e+01	133
4.110000e+01	141
4.130000e+01	136
4.150000e+01	128
4.170000e+01	131
4.190000e+01	132
4.210000e+01	131
4.230000e+01	130
4.250000e+01	124
4.270000e+01	125
4.290000e+01	134
4.310000e+01	129
4.330000e+01	133
4.350000e+01	125
