coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
1.000000e-01	132	126	123
2.000000e-01	113	133	119
3.000000e-01	134	127	127
4.000000e-01	113	132	115
5.000000e-01	143	128	125
6.000000e-01	113	142	116
7.000000e-01	135	128	125
8.000000e-01	113	142	114
9.000000e-01	132	125	122
1	113	141	122
1.100000e+00	133	127	122
1.200000e+00	113	139	118
1.300000e+00	128	119	123
1.400000e+00	113	147	114
1.500000e+00	131	117	126
1.600000e+00	113	130	119
1.700000e+00	125	124	122
1.800000e+00	113	149	116
1.900000e+00	131	122	119
2	113	144	115
2.100000e+00	136	126	120
2.200000e+00	113	139	116
2.300000e+00	130	125	121
2.400000e+00	113	148	115
2.500000e+00	128	128	126
2.600000e+00	113	144	116
2.700000e+00	132	126	124
2.800000e+00	113	144	116
2.900000e+00	140	126	129
3	113	141	118
3.100000e+00	132	125	124
3.200000e+00	113	138	116
3.300000e+00	133	126	130
3.400000e+00	113	140	119
3.500000e+00	135	123	122
3.600000e+00	113	140	113
3.700000e+00	128	129	126
3.800000e+00	113	141	116
3.900000e+00	133	129	131
4	113	144	121
4.100000e+00	138	126	120
4.200000e+00	113	145	116
4.300000e+00	132	123	128
4.400000e+00	113	141	120
4.500000e+00	129	123	123
4.600000e+00	113	139	119
4.700000e+00	127	119	129
4.800000e+00	113	143	116
4.900000e+00	135	122	122
5	113	146	115
5.100000e+00	138	119	129
5.200000e+00	113	144	115
5.300000e+00	135	119	129
5.400000e+00	113	141	120
5.500000e+00	138	125	121
5.600000e+00	113	142	115
5.700000e+00	134	123	128
5.800000e+00	113	143	119
5.900000e+00	132	123	126
6	113	145	114
6.100000e+00	143	126	121
6.200000e+00	113	146	117
6.300000e+00	134	124	120
6.400000e+00	113	141	118
6.500000e+00	144	128	122
6.600000e+00	113	146	119
6.700000e+00	135	128	126
6.800000e+00	113	141	115
6.900000e+00	125	123	131
7	113	141	118
7.100000e+00	131	126	126
7.200000e+00	113	141	118
7.300000e+00	122	127	127
7.400000e+00	113	145	116
7.500000e+00	138	132	120
7.600000e+00	113	132	123
7.700000e+00	125	132	126
7.800000e+00	113	146	120
7.900000e+00	128	122	132
8	113	140	117
8.100000e+00	134	123	123
8.200000e+00	113	139	122
8.300000e+00	135	125	123
8.400000e+00	113	141	115
8.500000e+00	133	127	126
8.600000e+00	113	150	115
8.700000e+00	136	125	124
8.800000e+00	113	131	116
8.900000e+00	134	122	127
9	113	145	117
9.100000e+00	133	125	124
9.200000e+00	113	140	117
9.300000e+00	136	128	122
9.400000e+00	113	141	120
9.500000e+00	129	125	124
9.600000e+00	113	142	118
9.700000e+00	130	125	120
9.800000e+00	113	140	117
9.900000e+00	138	128	126
10	113	136	121
1.010000e+01	133	123	127
1.020000e+01	113	139	118
1.030000e+01	133	127	119
1.040000e+01	113	137	116
1.050000e+01	139	122	122
1.060000e+01	113	137	119
1.070000e+01	135	122	118
1.080000e+01	113	146	116
1.090000e+01	127	121	127
11	113	135	116
1.110000e+01	143	131	121
1.120000e+01	113	148	117
1.130000e+01	133	123	121
1.140000e+01	113	151	117
1.150000e+01	133	123	124
1.160000e+01	113	145	114
1.170000e+01	137	124	125
1.180000e+01	113	148	118
1.190000e+01	138	136	125
12	113	145	117
1.210000e+01	140	128	124
1.220000e+01	113	145	116
1.230000e+01	135	129	123
1.240000e+01	113	129	121
1.250000e+01	138	125	126
1.260000e+01	113	140	119
1.270000e+01	135	120	122
1.280000e+01	113	132	114
1.290000e+01	132	128	126
13	113	141	116
1.310000e+01	130	123	123
1.320000e+01	113	139	118
1.330000e+01	140	120	123
1.340000e+01	113	141	119
1.350000e+01	131	120	127
1.360000e+01	113	138	118
1.370000e+01	126	125	121
1.380000e+01	113	146	120
1.390000e+01	126	127	127
