coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
2.350000e+01	144	115	130
2.360000e+01	113	143	117
2.370000e+01	139	115	124
2.380000e+01	113	133	115
2.390000e+01	145	118	131
24	113	146	121
2.410000e+01	141	113	136
2.420000e+01	113	145	116
2.430000e+01	146	115	123
2.440000e+01	113	138	114
2.450000e+01	147	116	133
2.460000e+01	113	145	117
2.470000e+01	137	116	130
2.480000e+01	113	137	115
2.490000e+01	139	115	127
25	113	149	120
2.510000e+01	141	113	125
2.520000e+01	113	145	120
2.530000e+01	134	117	133
2.540000e+01	113	134	117
2.550000e+01	144	115	135
2.560000e+01	113	141	115
2.570000e+01	144	113	121
2.580000e+01	113	138	119
2.590000e+01	151	115	128
26	113	135	116
2.610000e+01	148	116	124
2.620000e+01	113	141	116
2.630000e+01	148	116	124
2.640000e+01	113	146	118
2.650000e+01	146	115	130
2.660000e+01	113	143	116
2.670000e+01	144	113	125
2.680000e+01	113	146	115
2.690000e+01	141	116	128
27	113	139	115
2.710000e+01	140	117	133
2.720000e+01	113	135	120
2.730000e+01	144	115	130
2.740000e+01	113	148	120
2.750000e+01	138	116	140
2.760000e+01	113	142	117
2.770000e+01	148	114	123
2.780000e+01	113	146	120
2.790000e+01	151	115	131
28	113	146	118
2.810000e+01	144	115	123
2.820000e+01	113	136	119
2.830000e+01	147	114	126
2.840000e+01	113	147	117
2.850000e+01	136	117	126
2.860000e+01	113	138	120
2.870000e+01	160	113	134
2.880000e+01	113	143	116
2.890000e+01	145	116	133
29	113	149	120
2.910000e+01	139	114	124
2.920000e+01	113	140	117
2.930000e+01	143	115	133
2.940000e+01	113	135	117
2.950000e+01	139	115	128
2.960000e+01	113	142	115
2.970000e+01	140	115	122
2.980000e+01	113	143	117
2.990000e+01	145	113	127
30	113	138	119
3.010000e+01	139	116	135
3.020000e+01	113	148	116
3.030000e+01	140	117	128
3.040000e+01	113	141	120
3.050000e+01	149	116	125
3.060000e+01	113	138	117
3.070000e+01	148	114	132
3.080000e+01	113	139	115
3.090000e+01	149	113	125
31	113	143	119
3.110000e+01	140	117	126
3.120000e+01	113	142	115
3.130000e+01	149	114	131
3.140000e+01	113	146	116
3.150000e+01	152	113	132
3.160000e+01	113	140	118
3.170000e+01	162	115	120
3.180000e+01	113	138	120
3.190000e+01	157	115	128
32	113	138	122
3.210000e+01	147	116	128
3.220000e+01	113	145	115
3.230000e+01	150	115	127
3.240000e+01	113	143	118
3.250000e+01	146	115	123
3.260000e+01	113	141	121
3.270000e+01	145	115	129
3.280000e+01	113	144	119
3.290000e+01	148	117	129
33	113	140	123
3.310000e+01	146	116	128
3.320000e+01	113	138	120
3.330000e+01	148	115	128
3.340000e+01	113	145	120
3.350000e+01	141	116	126
3.360000e+01	113	143	118
3.370000e+01	147	114	125
3.380000e+01	113	146	122
3.390000e+01	141	114	125
34	113	135	122
3.410000e+01	140	115	124
3.420000e+01	113	142	118
3.430000e+01	145	115	126
3.440000e+01	113	138	120
3.450000e+01	143	116	128
3.460000e+01	113	140	121
3.470000e+01	142	120	121
3.480000e+01	113	134	118
3.490000e+01	158	113	131
35	113	135	120
3.510000e+01	153	113	132
3.520000e+01	113	138	124
3.530000e+01	152	115	128
3.540000e+01	113	133	125
3.550000e+01	143	115	125
3.560000e+01	113	139	117
3.570000e+01	142	114	126
3.580000e+01	113	139	126
