coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
1.000000e-01	149	115	137
2.000000e-01	113	135	117
3.000000e-01	152	115	124
4.000000e-01	113	138	117
5.000000e-01	146	116	134
6.000000e-01	113	133	121
7.000000e-01	154	117	128
8.000000e-01	113	128	120
9.000000e-01	136	114	127
1	113	137	116
1.100000e+00	142	116	130
1.200000e+00	113	132	120
1.300000e+00	143	115	127
1.400000e+00	113	145	117
1.500000e+00	140	115	134
1.600000e+00	113	141	124
1.700000e+00	139	113	132
1.800000e+00	113	131	126
1.900000e+00	148	115	121
2	113	130	119
2.100000e+00	137	115	127
2.200000e+00	113	141	120
2.300000e+00	147	115	130
2.400000e+00	113	131	125
2.500000e+00	146	115	130
2.600000e+00	113	136	121
2.700000e+00	136	114	129
2.800000e+00	113	142	117
2.900000e+00	144	114	124
3	113	138	124
3.100000e+00	144	116	128
3.200000e+00	113	148	123
3.300000e+00	152	115	127
3.400000e+00	113	134	122
3.500000e+00	144	116	127
3.600000e+00	113	146	120
3.700000e+00	149	117	125
3.800000e+00	113	137	118
3.900000e+00	144	115	132
4	113	152	126
4.100000e+00	151	115	127
4.200000e+00	113	142	118
4.300000e+00	145	115	128
4.400000e+00	113	135	122
4.500000e+00	145	114	128
4.600000e+00	113	133	122
4.700000e+00	143	115	131
4.800000e+00	113	141	120
4.900000e+00	149	116	131
5	113	138	122
5.100000e+00	145	117	128
5.200000e+00	113	144	124
5.300000e+00	134	115	123
5.400000e+00	113	135	125
5.500000e+00	146	114	130
5.600000e+00	113	135	120
5.700000e+00	145	115	122
5.800000e+00	113	145	119
5.900000e+00	148	115	126
6	113	142	122
6.100000e+00	139	114	134
6.200000e+00	113	134	118
6.300000e+00	150	118	124
6.400000e+00	113	139	121
6.500000e+00	144	113	128
6.600000e+00	113	135	120
6.700000e+00	139	116	132
6.800000e+00	113	137	118
6.900000e+00	141	113	133
7	113	147	123
7.100000e+00	145	116	124
7.200000e+00	113	136	122
7.300000e+00	153	117	127
7.400000e+00	113	145	121
7.500000e+00	141	118	133
7.600000e+00	113	130	118
7.700000e+00	144	117	126
7.800000e+00	113	129	117
7.900000e+00	153	116	125
8	113	138	118
8.100000e+00	148	115	129
8.200000e+00	113	143	121
8.300000e+00	137	114	126
8.400000e+00	113	137	116
8.500000e+00	156	114	130
8.600000e+00	113	137	117
8.700000e+00	149	115	124
8.800000e+00	113	147	121
8.900000e+00	150	113	130
9	113	129	120
9.100000e+00	145	114	127
9.200000e+00	113	129	124
9.300000e+00	144	116	130
9.400000e+00	113	137	117
9.500000e+00	149	114	130
9.600000e+00	113	141	120
9.700000e+00	133	113	127
9.800000e+00	113	139	124
9.900000e+00	138	116	124
10	113	145	119
1.010000e+01	149	116	134
1.020000e+01	113	136	121
1.030000e+01	149	116	131
1.040000e+01	113	128	122
1.050000e+01	136	115	126
1.060000e+01	113	139	120
1.070000e+01	139	114	122
