timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	21656	-1.939200e+02	-9.035471e-03	-9.035471e-03
2.000000e-01	2	1256	1.585080e+03	5.579146e-01	5.579146e-01
3.000000e-01	3	27170	-4.779000e+02	-1.790417e-02	-1.790417e-02
4.000000e-01	4	1302	1.451860e+03	5.272091e-01	5.272091e-01
5.000000e-01	5	30201	-8.170700e+02	-2.780670e-02	-2.780670e-02
6.000000e-01	6	1299	1.511070e+03	5.377339e-01	5.377339e-01
7.000000e-01	7	23519	-2.663300e+02	-1.145374e-02	-1.145374e-02
8.000000e-01	8	1372	1.510960e+03	5.241002e-01	5.241002e-01
9.000000e-01	9	29180	-7.266000e+02	-2.553649e-02	-2.553649e-02
1	10	1193	1.461490e+03	5.505728e-01	5.505728e-01
1.100000e+00	11	32966	-7.366200e+02	-2.285554e-02	-2.285554e-02
1.200000e+00	12	1123	1.526390e+03	5.761288e-01	5.761288e-01
1.300000e+00	13	28195	-5.086500e+02	-1.837187e-02	-1.837187e-02
1.400000e+00	14	1236	1.427480e+03	5.359455e-01	5.359455e-01
1.500000e+00	15	28911	-6.297700e+02	-2.226813e-02	-2.226813e-02
1.600000e+00	16	1239	1.429270e+03	5.356542e-01	5.356542e-01
1.700000e+00	17	18973	2.068900e+02	1.078682e-02	1.078682e-02
1.800000e+00	18	1332	1.565760e+03	5.403346e-01	5.403346e-01
1.900000e+00	19	28197	-5.507900e+02	-1.992280e-02	-1.992280e-02
2	20	1187	1.383910e+03	5.382958e-01	5.382958e-01
