timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	2294	1.140420e+03	3.320561e-01	3.320561e-01
2.000000e-01	2	1304	4.383720e+03	7.707341e-01	7.707341e-01
3.000000e-01	3	2507	1.321510e+03	3.451761e-01	3.451761e-01
4.000000e-01	4	1090	5.598700e+03	8.370386e-01	8.370386e-01
5.000000e-01	5	2622	1.112460e+03	2.978905e-01	2.978905e-01
6.000000e-01	6	1068	4.288240e+03	8.006064e-01	8.006064e-01
7.000000e-01	7	2235	1.182550e+03	3.460227e-01	3.460227e-01
8.000000e-01	8	1208	5.363440e+03	8.161742e-01	8.161742e-01
9.000000e-01	9	2550	1.325500e+03	3.420204e-01	3.420204e-01
1	10	1215	3.782950e+03	7.569003e-01	7.569003e-01
1.100000e+00	11	2544	1.223920e+03	3.248264e-01	3.248264e-01
1.200000e+00	12	1235	4.966550e+03	8.008562e-01	8.008562e-01
1.300000e+00	13	2490	1.205700e+03	3.262440e-01	3.262440e-01
1.400000e+00	14	1379	4.617470e+03	7.700314e-01	7.700314e-01
1.500000e+00	15	2497	1.384210e+03	3.566439e-01	3.566439e-01
1.600000e+00	16	1225	5.591250e+03	8.202824e-01	8.202824e-01
1.700000e+00	17	1964	1.277520e+03	3.941114e-01	3.941114e-01
1.800000e+00	18	1135	4.500550e+03	7.986000e-01	7.986000e-01
1.900000e+00	19	2574	1.125820e+03	3.042905e-01	3.042905e-01
2	20	1195	4.843350e+03	8.020983e-01	8.020983e-01
