timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	6805	6.486500e+02	8.702448e-02	8.702448e-02
2.000000e-01	2	1117	1.495810e+03	5.724909e-01	5.724909e-01
3.000000e-01	3	6890	6.637000e+02	8.786423e-02	8.786423e-02
4.000000e-01	4	1116	1.472880e+03	5.689256e-01	5.689256e-01
5.000000e-01	5	6728	9.250400e+02	1.208722e-01	1.208722e-01
6.000000e-01	6	1125	1.369250e+03	5.489626e-01	5.489626e-01
7.000000e-01	7	6602	7.398600e+02	1.007728e-01	1.007728e-01
8.000000e-01	8	1032	1.636760e+03	6.133036e-01	6.133036e-01
9.000000e-01	9	6263	9.045900e+02	1.262056e-01	1.262056e-01
1	10	1195	1.430350e+03	5.448226e-01	5.448226e-01
1.100000e+00	11	7497	6.562100e+02	8.048486e-02	8.048486e-02
1.200000e+00	12	1123	1.533390e+03	5.772458e-01	5.772458e-01
1.300000e+00	13	6974	5.908200e+02	7.810100e-02	7.810100e-02
1.400000e+00	14	1186	1.358980e+03	5.339845e-01	5.339845e-01
1.500000e+00	15	7425	7.432500e+02	9.099256e-02	9.099256e-02
1.600000e+00	16	1187	1.721910e+03	5.919434e-01	5.919434e-01
1.700000e+00	17	6507	7.425100e+02	1.024221e-01	1.024221e-01
1.800000e+00	18	997	1.538210e+03	6.067387e-01	6.067387e-01
1.900000e+00	19	8210	8.103000e+02	8.983072e-02	8.983072e-02
2	20	1138	1.648340e+03	5.915789e-01	5.915789e-01
