timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	5419	6.106700e+02	1.012775e-01	1.012775e-01
2.000000e-01	2	1167	1.088310e+03	4.825545e-01	4.825545e-01
3.000000e-01	3	4886	8.499800e+02	1.481839e-01	1.481839e-01
4.000000e-01	4	1033	9.626900e+02	4.823845e-01	4.823845e-01
5.000000e-01	5	4922	8.074600e+02	1.409313e-01	1.409313e-01
6.000000e-01	6	1171	1.063030e+03	4.758351e-01	4.758351e-01
7.000000e-01	7	5753	7.262900e+02	1.120941e-01	1.120941e-01
8.000000e-01	8	1409	1.046370e+03	4.261557e-01	4.261557e-01
9.000000e-01	9	5804	6.907200e+02	1.063510e-01	1.063510e-01
1	10	1215	1.021950e+03	4.568497e-01	4.568497e-01
1.100000e+00	11	4717	7.578100e+02	1.384176e-01	1.384176e-01
1.200000e+00	12	1184	9.911200e+02	4.556622e-01	4.556622e-01
1.300000e+00	13	5378	8.165400e+02	1.318161e-01	1.318161e-01
1.400000e+00	14	1125	9.122500e+02	4.477850e-01	4.477850e-01
1.500000e+00	15	6136	6.674800e+02	9.810862e-02	9.810862e-02
1.600000e+00	16	1157	1.060010e+03	4.781259e-01	4.781259e-01
1.700000e+00	17	4767	7.383100e+02	1.341087e-01	1.341087e-01
1.800000e+00	18	1178	9.585400e+02	4.486413e-01	4.486413e-01
1.900000e+00	19	6107	6.525100e+02	9.653215e-02	9.653215e-02
2	20	1219	1.119670e+03	4.787636e-01	4.787636e-01
