timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	2127	1.950110e+03	4.783069e-01	4.783069e-01	3.654952e-01	5.976967e-01
2.000000e-01	2	1044	7.077920e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2539	1.771270e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1242	4.773060e+03	7.935183e-01	7.935183e-01	7.702432e-01	5.976967e-01
5.000000e-01	5	2668	1.794240e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1242	5.386060e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	2723	1.987390e+03	4.219162e-01	4.219162e-01	4.567677e-01	5.976967e-01
8.000000e-01	8	1185	5.602050e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2577	1.607610e+03	NaN	NaN	NaN	NaN
1	10	1049	4.827570e+03	8.214945e-01	8.214945e-01	7.430898e-01	5.976967e-01
1.100000e+00	11	2504	2.031720e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1170	5.106100e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2582	1.836260e+03	4.156070e-01	4.156070e-01	4.157466e-01	5.976967e-01
1.400000e+00	14	1071	6.209030e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	2625	1.546250e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1093	6.989490e+03	8.647694e-01	8.647694e-01	8.348377e-01	5.976967e-01
1.700000e+00	17	2614	1.599020e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1125	6.172250e+03	NaN	NaN	NaN	NaN
