timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	3007	1.260510e+03	2.953736e-01	2.953736e-01	4.851395e-01	6.455324e-01
2.000000e-01	2	1115	4.528950e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2836	1.275480e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1266	4.994380e+03	7.977759e-01	7.977759e-01	8.245729e-01	6.455324e-01
5.000000e-01	5	2673	1.331890e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1325	4.855250e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	2596	1.433280e+03	3.557162e-01	3.557162e-01	4.474716e-01	6.455324e-01
8.000000e-01	8	1039	4.975270e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2661	1.184730e+03	NaN	NaN	NaN	NaN
1	10	1165	4.212450e+03	7.833546e-01	7.833546e-01	8.234236e-01	6.455324e-01
1.100000e+00	11	2755	1.153150e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1136	4.020480e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2819	1.299670e+03	3.155557e-01	3.155557e-01	4.538454e-01	6.455324e-01
1.400000e+00	14	1066	4.956380e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	3143	1.039990e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1166	5.384380e+03	8.219951e-01	8.219951e-01	8.387417e-01	6.455324e-01
1.700000e+00	17	2623	1.259390e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1191	4.782630e+03	NaN	NaN	NaN	NaN
