timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	2097	3.446210e+03	6.216993e-01	6.216993e-01	4.037166e-01	5.808681e-01
2.000000e-01	2	1168	8.187240e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2065	2.303450e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1145	7.527850e+03	8.679788e-01	8.679788e-01	7.576050e-01	5.808681e-01
5.000000e-01	5	2359	2.774870e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1247	7.274710e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	2298	2.512140e+03	5.222592e-01	5.222592e-01	3.536782e-01	5.808681e-01
8.000000e-01	8	1083	8.790190e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2464	2.884520e+03	NaN	NaN	NaN	NaN
1	10	1084	8.359120e+03	8.852074e-01	8.852074e-01	7.774240e-01	5.808681e-01
1.100000e+00	11	2292	2.703560e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1201	7.944930e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2118	3.607740e+03	6.300915e-01	6.300915e-01	4.189418e-01	5.808681e-01
1.400000e+00	14	1137	7.941410e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	2326	3.451180e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1032	8.615760e+03	8.930322e-01	8.930322e-01	7.738433e-01	5.808681e-01
1.700000e+00	17	2349	2.819570e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1122	7.017460e+03	NaN	NaN	NaN	NaN
