timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	2550	1.405500e+03	3.553280e-01	3.553280e-01	4.389270e-01	6.147277e-01
2.000000e-01	2	1225	5.056250e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2370	1.277100e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1360	4.863800e+03	7.814840e-01	7.814840e-01	8.184128e-01	6.147277e-01
5.000000e-01	5	2344	1.380920e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1128	4.869040e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	2242	1.443060e+03	3.915974e-01	3.915974e-01	3.607340e-01	6.147277e-01
8.000000e-01	8	1123	6.530390e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2339	1.177270e+03	NaN	NaN	NaN	NaN
1	10	1383	5.126190e+03	7.875312e-01	7.875312e-01	8.293821e-01	6.147277e-01
1.100000e+00	11	2385	1.339050e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1191	5.151630e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2077	1.305610e+03	3.859771e-01	3.859771e-01	4.165309e-01	6.147277e-01
1.400000e+00	14	1310	4.738300e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	2711	1.572230e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1227	6.166110e+03	8.340347e-01	8.340347e-01	8.243796e-01	6.147277e-01
1.700000e+00	17	2586	1.574980e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1149	6.457570e+03	NaN	NaN	NaN	NaN
