timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	5271	9.970300e+02	1.590659e-01	1.590659e-01	5.741963e-01	7.138140e-01
2.000000e-01	2	1255	4.648150e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	5684	1.276120e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1267	4.241310e+03	7.699839e-01	7.699839e-01	8.441880e-01	7.138140e-01
5.000000e-01	5	5419	1.016670e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1177	3.984610e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	4735	1.123550e+03	1.917795e-01	1.917795e-01	5.823782e-01	7.138140e-01
8.000000e-01	8	1055	4.201150e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	5834	1.011620e+03	NaN	NaN	NaN	NaN
1	10	1191	4.184630e+03	7.784446e-01	7.784446e-01	8.262294e-01	7.138140e-01
1.100000e+00	11	4163	1.130590e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1132	5.081760e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	5300	1388	2.075359e-01	2.075359e-01	5.764394e-01	7.138140e-01
1.400000e+00	14	1082	4.914260e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	5289	9.727700e+02	NaN	NaN	NaN	NaN
1.600000e+00	16	1221	4.856530e+03	7.990960e-01	7.990960e-01	8.794530e-01	7.138140e-01
1.700000e+00	17	6185	8.330500e+02	NaN	NaN	NaN	NaN
1.800000e+00	18	1274	4.455820e+03	NaN	NaN	NaN	NaN
