timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	2716	1.298880e+03	3.235165e-01	3.235165e-01	5.132418e-01	6.579988e-01
2.000000e-01	2	1147	3.807710e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2430	1.003900e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1095	4.892350e+03	8.171144e-01	8.171144e-01	8.228191e-01	6.579988e-01
5.000000e-01	5	2996	1.289280e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1121	3.735530e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	2618	1.525740e+03	3.682036e-01	3.682036e-01	4.772684e-01	6.579988e-01
8.000000e-01	8	1022	4.538460e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2507	1.129510e+03	NaN	NaN	NaN	NaN
1	10	1120	4.401600e+03	7.971602e-01	7.971602e-01	8.050893e-01	6.579988e-01
1.100000e+00	11	2489	1.336770e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1052	4.272360e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2968	1.062240e+03	2.635674e-01	2.635674e-01	4.841368e-01	6.579988e-01
1.400000e+00	14	1195	4.294350e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	3014	1.528020e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1280	4.975400e+03	7.953768e-01	7.953768e-01	8.454374e-01	6.579988e-01
1.700000e+00	17	2977	1.143610e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1156	4.806080e+03	NaN	NaN	NaN	NaN
