timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	2659	1.740870e+03	1181	3.956640e-01	3.956640e-01	3.075521e-01	3.075521e-01
2.000000e-01	2	1292	4.423560e+03	1310	7.739504e-01	7.739504e-01	5.034589e-01	5.034589e-01
3.000000e-01	3	2654	1.496220e+03	1108	3.605158e-01	3.605158e-01	2.945242e-01	2.945242e-01
4.000000e-01	4	1047	6.052710e+03	1287	8.525292e-01	8.525292e-01	5.514139e-01	5.514139e-01
5.000000e-01	5	2757	1.293010e+03	1000	3.192609e-01	3.192609e-01	2.661698e-01	2.661698e-01
6.000000e-01	6	1168	4.704240e+03	1246	8.010980e-01	8.010980e-01	5.161558e-01	5.161558e-01
7.000000e-01	7	2564	1.360520e+03	1238	3.466717e-01	3.466717e-01	3.256181e-01	3.256181e-01
8.000000e-01	8	1177	6.434610e+03	1374	8.453678e-01	8.453678e-01	5.386123e-01	5.386123e-01
9.000000e-01	9	2309	1.563370e+03	1076	4.037243e-01	4.037243e-01	3.178730e-01	3.178730e-01
1	10	1219	4.458670e+03	1060	7.852993e-01	7.852993e-01	4.651163e-01	4.651163e-01
1.100000e+00	11	2835	1.233550e+03	1048	3.031916e-01	3.031916e-01	2.698944e-01	2.698944e-01
1.200000e+00	12	1239	5.562270e+03	1310	8.178281e-01	8.178281e-01	5.139270e-01	5.139270e-01
1.300000e+00	13	2546	1.185780e+03	1104	3.177519e-01	3.177519e-01	3.024658e-01	3.024658e-01
1.400000e+00	14	1085	5.093050e+03	1342	8.243782e-01	8.243782e-01	5.529460e-01	5.529460e-01
1.500000e+00	15	2740	1.208200e+03	1039	3.060129e-01	3.060129e-01	2.749405e-01	2.749405e-01
1.600000e+00	16	1334	5.090620e+03	1279	7.923613e-01	7.923613e-01	4.894757e-01	4.894757e-01
1.700000e+00	17	2524	1.387320e+03	1102	3.546936e-01	3.546936e-01	3.039162e-01	3.039162e-01
1.800000e+00	18	1121	4.084530e+03	1170	7.846521e-01	7.846521e-01	5.106940e-01	5.106940e-01
1.900000e+00	19	2470	1.561100e+03	1187	3.872640e-01	3.872640e-01	3.245830e-01	3.245830e-01
2	20	1269	5.262170e+03	1160	8.057010e-01	8.057010e-01	4.775628e-01	4.775628e-01
