timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	2333	1.137690e+03	1030	3.277994e-01	3.277994e-01	3.062742e-01	3.062742e-01
2.000000e-01	2	1112	4.397160e+03	1297	7.981543e-01	7.981543e-01	5.383977e-01	5.383977e-01
3.000000e-01	3	2352	1.332360e+03	946	3.616259e-01	3.616259e-01	2.868405e-01	2.868405e-01
4.000000e-01	4	1070	5.600100e+03	1202	8.395826e-01	8.395826e-01	5.290493e-01	5.290493e-01
5.000000e-01	5	2203	1.141790e+03	1143	3.413637e-01	3.413637e-01	3.416019e-01	3.416019e-01
6.000000e-01	6	1076	4.287680e+03	1028	7.993915e-01	7.993915e-01	4.885932e-01	4.885932e-01
7.000000e-01	7	2452	1.167360e+03	1015	3.225322e-01	3.225322e-01	2.927603e-01	2.927603e-01
8.000000e-01	8	1398	5.350140e+03	1136	7.928318e-01	7.928318e-01	4.483031e-01	4.483031e-01
9.000000e-01	9	2273	1.344890e+03	1118	3.717332e-01	3.717332e-01	3.296963e-01	3.296963e-01
1	10	1281	3.778330e+03	1069	7.468044e-01	7.468044e-01	4.548936e-01	4.548936e-01
1.100000e+00	11	2481	1.228330e+03	935	3.311461e-01	3.311461e-01	2.737119e-01	2.737119e-01
1.200000e+00	12	1288	4.962840e+03	1170	7.939477e-01	7.939477e-01	4.759967e-01	4.759967e-01
1.300000e+00	13	2339	1.216270e+03	1115	3.421034e-01	3.421034e-01	3.228141e-01	3.228141e-01
1.400000e+00	14	1358	4.618940e+03	1191	7.727934e-01	7.727934e-01	4.672421e-01	4.672421e-01
1.500000e+00	15	2248	1.401640e+03	1041	3.840488e-01	3.840488e-01	3.165096e-01	3.165096e-01
1.600000e+00	16	1164	5.595520e+03	1198	8.277984e-01	8.277984e-01	5.071973e-01	5.071973e-01
1.700000e+00	17	2487	1.240910e+03	1095	3.328702e-01	3.328702e-01	3.056951e-01	3.056951e-01
1.800000e+00	18	1208	4.495440e+03	1288	7.881980e-01	7.881980e-01	5.160256e-01	5.160256e-01
1.900000e+00	19	2448	1.134640e+03	1148	3.167050e-01	3.167050e-01	3.192436e-01	3.192436e-01
2	20	1092	4.850560e+03	1232	8.162408e-01	8.162408e-01	5.301205e-01	5.301205e-01
