timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	2708	1.181440e+03	1115	3.037558e-01	3.037558e-01	2.916558e-01	2.916558e-01
2.000000e-01	2	1051	4.610430e+03	1298	8.143579e-01	8.143579e-01	5.525756e-01	5.525756e-01
3.000000e-01	3	2367	1.457310e+03	1107	3.810648e-01	3.810648e-01	3.186528e-01	3.186528e-01
4.000000e-01	4	1216	5.374880e+03	1082	8.155026e-01	8.155026e-01	4.708442e-01	4.708442e-01
5.000000e-01	5	2357	1.218010e+03	1068	3.407011e-01	3.407011e-01	3.118248e-01	3.118248e-01
6.000000e-01	6	1156	4.282080e+03	1162	7.874250e-01	7.874250e-01	5.012942e-01	5.012942e-01
7.000000e-01	7	2704	1.259720e+03	1040	3.178126e-01	3.178126e-01	2.777778e-01	2.777778e-01
8.000000e-01	8	1138	5.385340e+03	1365	8.255495e-01	8.255495e-01	5.453456e-01	5.453456e-01
9.000000e-01	9	2418	1.341740e+03	1108	3.568704e-01	3.568704e-01	3.142371e-01	3.142371e-01
1	10	1171	5.302030e+03	1288	8.190955e-01	8.190955e-01	5.237902e-01	5.237902e-01
1.100000e+00	11	2910	1.606300e+03	983	3.556672e-01	3.556672e-01	2.525045e-01	2.525045e-01
1.200000e+00	12	1253	5.508290e+03	1264	8.146803e-01	8.146803e-01	5.021851e-01	5.021851e-01
1.300000e+00	13	2468	1.347240e+03	1102	3.531206e-01	3.531206e-01	3.086835e-01	3.086835e-01
1.400000e+00	14	1375	5.337750e+03	1249	7.951659e-01	7.951659e-01	4.759909e-01	4.759909e-01
1.500000e+00	15	2511	1.227230e+03	952	3.282917e-01	3.282917e-01	2.749062e-01	2.749062e-01
1.600000e+00	16	1034	5.802620e+03	1260	8.487557e-01	8.487557e-01	5.492589e-01	5.492589e-01
1.700000e+00	17	2556	1.565080e+03	1095	3.797742e-01	3.797742e-01	2.999178e-01	2.999178e-01
1.800000e+00	18	1208	4.904440e+03	1163	8.023702e-01	8.023702e-01	4.905103e-01	4.905103e-01
1.900000e+00	19	2356	1.456080e+03	1139	3.819647e-01	3.819647e-01	3.258941e-01	3.258941e-01
2	20	1125	5.584250e+03	1318	8.323210e-01	8.323210e-01	5.395006e-01	5.395006e-01
