timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	6599	1.637070e+03	932	1.987683e-01	1.987683e-01	1.237551e-01	1.237551e-01
2.000000e-01	2	1066	7.076380e+03	1359	8.690800e-01	8.690800e-01	5.604124e-01	5.604124e-01
3.000000e-01	3	6493	1.494490e+03	1040	1.871038e-01	1.871038e-01	1.380592e-01	1.380592e-01
4.000000e-01	4	1031	4.787830e+03	1262	8.228166e-01	8.228166e-01	5.503707e-01	5.503707e-01
5.000000e-01	5	7574	1.450820e+03	889	1.607589e-01	1.607589e-01	1.050455e-01	1.050455e-01
6.000000e-01	6	1162	5.391660e+03	1421	8.226945e-01	8.226945e-01	5.501355e-01	5.501355e-01
7.000000e-01	7	6443	1.726990e+03	1139	2.113821e-01	2.113821e-01	1.502242e-01	1.502242e-01
8.000000e-01	8	1160	5.603800e+03	1103	8.284988e-01	8.284988e-01	4.874061e-01	4.874061e-01
9.000000e-01	9	6726	1.317180e+03	939	1.637636e-01	1.637636e-01	1.225049e-01	1.225049e-01
1	10	1296	4.810280e+03	1359	7.877595e-01	7.877595e-01	5.118644e-01	5.118644e-01
1.100000e+00	11	5956	1.790080e+03	994	2.310950e-01	2.310950e-01	1.430216e-01	1.430216e-01
1.200000e+00	12	1003	5.117790e+03	1217	8.361323e-01	8.361323e-01	5.481982e-01	5.481982e-01
1.300000e+00	13	6213	1.582090e+03	1269	2.029598e-01	2.029598e-01	1.696071e-01	1.696071e-01
1.400000e+00	14	1286	6.193980e+03	1069	8.280744e-01	8.280744e-01	4.539278e-01	4.539278e-01
1.500000e+00	15	6178	1.297540e+03	951	1.735714e-01	1.735714e-01	1.333988e-01	1.333988e-01
1.600000e+00	16	1035	6.993550e+03	1044	8.710851e-01	8.710851e-01	5.021645e-01	5.021645e-01
1.700000e+00	17	6128	1.353040e+03	976	1.808626e-01	1.808626e-01	1.373874e-01	1.373874e-01
1.800000e+00	18	990	6.181700e+03	1270	8.619574e-01	8.619574e-01	5.619469e-01	5.619469e-01
1.900000e+00	19	7325	1.624250e+03	977	1.814957e-01	1.814957e-01	1.176825e-01	1.176825e-01
2	20	1178	5.439540e+03	1080	8.219882e-01	8.219882e-01	4.782994e-01	4.782994e-01
