timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	8430	1.332900e+03	1387	1.365271e-01	1.365271e-01	1.412855e-01	1.412855e-01
2.000000e-01	2	1118	3.833740e+03	1176	7.742208e-01	7.742208e-01	5.126417e-01	5.126417e-01
3.000000e-01	3	7383	1.483190e+03	1005	1.672861e-01	1.672861e-01	1.198140e-01	1.198140e-01
4.000000e-01	4	1127	5.160110e+03	1210	8.207443e-01	8.207443e-01	5.177578e-01	5.177578e-01
5.000000e-01	5	7840	1.432200e+03	956	1.544617e-01	1.544617e-01	1.086858e-01	1.086858e-01
6.000000e-01	6	1196	4.709280e+03	1076	7.974694e-01	7.974694e-01	4.735915e-01	4.735915e-01
7.000000e-01	7	8269	1.446170e+03	1207	1.488569e-01	1.488569e-01	1.273744e-01	1.273744e-01
8.000000e-01	8	1315	4.657950e+03	1161	7.798408e-01	7.798408e-01	4.689015e-01	4.689015e-01
9.000000e-01	9	7097	1.548210e+03	1056	1.790830e-01	1.790830e-01	1.295229e-01	1.295229e-01
1	10	1087	4.836910e+03	1194	8.165063e-01	8.165063e-01	5.234546e-01	5.234546e-01
1.100000e+00	11	8011	1.178230e+03	1160	1.282186e-01	1.282186e-01	1.264857e-01	1.264857e-01
1.200000e+00	12	1162	4.584660e+03	1160	7.977956e-01	7.977956e-01	4.995693e-01	4.995693e-01
1.300000e+00	13	8058	1.151940e+03	1077	1.250757e-01	1.250757e-01	1.178982e-01	1.178982e-01
1.400000e+00	14	1175	4.683750e+03	1457	7.994453e-01	7.994453e-01	5.535714e-01	5.535714e-01
1.500000e+00	15	7678	1.271540e+03	1111	1.420788e-01	1.420788e-01	1.264080e-01	1.264080e-01
1.600000e+00	16	1137	5.005410e+03	1133	8.148935e-01	8.148935e-01	4.991189e-01	4.991189e-01
1.700000e+00	17	7453	1.425290e+03	1058	1.605365e-01	1.605365e-01	1.243097e-01	1.243097e-01
1.800000e+00	18	970	4.189100e+03	1099	8.119827e-01	8.119827e-01	5.311745e-01	5.311745e-01
1.900000e+00	19	8517	1.668810e+03	1060	1.638367e-01	1.638367e-01	1.106818e-01	1.106818e-01
2	20	1106	4.925580e+03	1323	8.166318e-01	8.166318e-01	5.446686e-01	5.446686e-01
