timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	3055	1.557150e+03	1178	3.376191e-01	3.376191e-01	2.782896e-01	2.782896e-01
2.000000e-01	2	1105	4.446650e+03	1151	8.009601e-01	8.009601e-01	5.101950e-01	5.101950e-01
3.000000e-01	3	3234	1.278620e+03	1122	2.833432e-01	2.833432e-01	2.575758e-01	2.575758e-01
4.000000e-01	4	1047	4.826710e+03	1062	8.217481e-01	8.217481e-01	5.035562e-01	5.035562e-01
5.000000e-01	5	2230	1.335900e+03	1157	3.746319e-01	3.746319e-01	3.416002e-01	3.416002e-01
6.000000e-01	6	1030	4.084900e+03	1219	7.986275e-01	7.986275e-01	5.420187e-01	5.420187e-01
7.000000e-01	7	3505	1.322650e+03	1348	2.739739e-01	2.739739e-01	2.777663e-01	2.777663e-01
8.000000e-01	8	1129	4.825970e+03	1119	8.104105e-01	8.104105e-01	4.977758e-01	4.977758e-01
9.000000e-01	9	2991	1.414630e+03	1031	3.210960e-01	3.210960e-01	2.563401e-01	2.563401e-01
1	10	1054	4.614220e+03	1286	8.140510e-01	8.140510e-01	5.495726e-01	5.495726e-01
1.100000e+00	11	3032	1.381760e+03	1249	3.130573e-01	3.130573e-01	2.917543e-01	2.917543e-01
1.200000e+00	12	1218	3.578740e+03	1230	7.460775e-01	7.460775e-01	5.024510e-01	5.024510e-01
1.300000e+00	13	2993	1.174490e+03	1084	2.818219e-01	2.818219e-01	2.658818e-01	2.658818e-01
1.400000e+00	14	1196	4.596280e+03	1385	7.935183e-01	7.935183e-01	5.366137e-01	5.366137e-01
1.500000e+00	15	2975	1.456750e+03	998	3.287076e-01	3.287076e-01	2.511956e-01	2.511956e-01
1.600000e+00	16	1266	3.765380e+03	1317	7.483792e-01	7.483792e-01	5.098722e-01	5.098722e-01
1.700000e+00	17	3294	1.432420e+03	1103	3.030666e-01	3.030666e-01	2.508529e-01	2.508529e-01
1.800000e+00	18	1096	4.039280e+03	1245	7.865744e-01	7.865744e-01	5.318240e-01	5.318240e-01
1.900000e+00	19	3020	1.622600e+03	1014	3.495024e-01	3.495024e-01	2.513634e-01	2.513634e-01
2	20	1172	4.107960e+03	1333	7.780286e-01	7.780286e-01	5.321357e-01	5.321357e-01
