timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	4981	2.948330e+03	1124	4.177558e-01	4.177558e-01	9.097545e-02	7.839244e-02	NaN	NaN	5.254573e-01	5.401619e-01
2.000000e-01	2	1070	6.745100e+03	1431	NaN	NaN	NaN	NaN	1.750223e-01	1.859124e-01	NaN	NaN
3.000000e-01	3	6149	3.002570e+03	1092	3.720374e-01	3.720374e-01	6.841591e-02	7.839244e-02	NaN	NaN	5.596313e-01	5.401619e-01
4.000000e-01	4	1149	6.643570e+03	1417	NaN	NaN	NaN	NaN	1.757940e-01	1.859124e-01	NaN	NaN
5.000000e-01	5	4600	2854	1069	4.336354e-01	4.336354e-01	8.018816e-02	7.839244e-02	NaN	NaN	5.471269e-01	5.401619e-01
6.000000e-01	6	1318	5.716740e+03	1338	NaN	NaN	NaN	NaN	1.896597e-01	1.859124e-01	NaN	NaN
7.000000e-01	7	4965	2.864450e+03	1055	4.137957e-01	4.137957e-01	7.708725e-02	7.839244e-02	NaN	NaN	5.511233e-01	5.401619e-01
8.000000e-01	8	1369	5.914170e+03	1322	NaN	NaN	NaN	NaN	1.826933e-01	1.859124e-01	NaN	NaN
9.000000e-01	9	5004	2.592720e+03	1255	3.837752e-01	3.837752e-01	1.275096e-01	7.839244e-02	NaN	NaN	5.233028e-01	5.401619e-01
1	10	966	6.708380e+03	1355	NaN	NaN	NaN	NaN	1.680437e-01	1.859124e-01	NaN	NaN
1.100000e+00	11	5030	2.895900e+03	1126	4.085595e-01	4.085595e-01	9.812025e-02	7.839244e-02	NaN	NaN	5.343295e-01	5.401619e-01
1.200000e+00	12	1189	6.574770e+03	1314	NaN	NaN	NaN	NaN	1.665659e-01	1.859124e-01	NaN	NaN
1.300000e+00	13	5548	2.960640e+03	1179	4.025106e-01	4.025106e-01	6.758181e-02	7.839244e-02	NaN	NaN	5.701751e-01	5.785090e-01
1.400000e+00	14	1200	5785	1518	NaN	NaN	NaN	NaN	2.078598e-01	1.859124e-01	NaN	NaN
1.500000e+00	15	5137	3.156410e+03	1163	4.361528e-01	4.361528e-01	6.306752e-02	7.839244e-02	NaN	NaN	5.681901e-01	5.785090e-01
1.600000e+00	16	1091	5.708630e+03	1478	NaN	NaN	NaN	NaN	2.056597e-01	1.859124e-01	NaN	NaN
1.700000e+00	17	5673	2.936890e+03	1043	3.879211e-01	3.879211e-01	6.347144e-02	7.839244e-02	NaN	NaN	5.804319e-01	5.785090e-01
1.800000e+00	18	1148	5.699640e+03	1278	NaN	NaN	NaN	NaN	1.831565e-01	1.859124e-01	NaN	NaN
1.900000e+00	19	5133	3.108690e+03	1056	4.322954e-01	4.322954e-01	4.750710e-02	7.839244e-02	NaN	NaN	5.952388e-01	5.785090e-01
2	20	1137	5.028410e+03	1294	NaN	NaN	NaN	NaN	2.046688e-01	1.859124e-01	NaN	NaN
