timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	4860	1.554800e+03	1220	2.935598e-01	2.935598e-01	1.344978e-01	1.226827e-01	NaN	NaN	5.671401e-01	5.832387e-01
2.000000e-01	2	1141	4.486130e+03	1341	NaN	NaN	NaN	NaN	2.301304e-01	2.086741e-01	NaN	NaN
3.000000e-01	3	4595	1.519350e+03	1064	2.920311e-01	2.920311e-01	1.302211e-01	1.226827e-01	NaN	NaN	5.278315e-01	5.832387e-01
4.000000e-01	4	1095	5.147350e+03	1274	NaN	NaN	NaN	NaN	1.984006e-01	2.086741e-01	NaN	NaN
5.000000e-01	5	5926	1.589180e+03	1198	2.629504e-01	2.629504e-01	1.019873e-01	1.226827e-01	NaN	NaN	6.142094e-01	5.832387e-01
6.000000e-01	6	1231	4.113830e+03	1359	NaN	NaN	NaN	NaN	2.483176e-01	2.086741e-01	NaN	NaN
7.000000e-01	7	6261	1.714730e+03	1337	2.510097e-01	2.510097e-01	1.321615e-01	1.226827e-01	NaN	NaN	5.752235e-01	5.832387e-01
8.000000e-01	8	1271	5.620030e+03	1257	NaN	NaN	NaN	NaN	1.827824e-01	2.086741e-01	NaN	NaN
9.000000e-01	9	5500	1759	1278	2.922069e-01	2.922069e-01	1.222986e-01	1.226827e-01	NaN	NaN	6.138635e-01	5.832387e-01
1	10	1200	4160	1210	NaN	NaN	NaN	NaN	2.253259e-01	2.086741e-01	NaN	NaN
1.100000e+00	11	5871	1.543030e+03	1188	2.541491e-01	2.541491e-01	1.106545e-01	1.226827e-01	NaN	NaN	6.112791e-01	5.832387e-01
1.200000e+00	12	1255	4.219150e+03	1251	NaN	NaN	NaN	NaN	2.286957e-01	2.086741e-01	NaN	NaN
1.300000e+00	13	4494	1.672420e+03	1234	3.170364e-01	3.170364e-01	1.543530e-01	1.226827e-01	NaN	NaN	5.406415e-01	5.832387e-01
1.400000e+00	14	1260	5.040800e+03	1247	NaN	NaN	NaN	NaN	1.983206e-01	2.086741e-01	NaN	NaN
1.500000e+00	15	6155	1.694150e+03	1140	2.534772e-01	2.534772e-01	1.078751e-01	1.226827e-01	NaN	NaN	5.993218e-01	5.832387e-01
1.600000e+00	16	1304	4.871720e+03	1138	NaN	NaN	NaN	NaN	1.893599e-01	2.086741e-01	NaN	NaN
1.700000e+00	17	6131	1.608830e+03	1194	2.500128e-01	2.500128e-01	1.101628e-01	1.226827e-01	NaN	NaN	6.018175e-01	5.832387e-01
1.800000e+00	18	1144	4.652920e+03	1258	NaN	NaN	NaN	NaN	2.128264e-01	2.086741e-01	NaN	NaN
1.900000e+00	19	6050	1.469500e+03	1152	2.269364e-01	2.269364e-01	1.226155e-01	1.226827e-01	NaN	NaN	5.810588e-01	5.832387e-01
2	20	1184	5.173120e+03	1079	NaN	NaN	NaN	NaN	1.725815e-01	2.086741e-01	NaN	NaN
