timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	2353	1.500290e+03	1028	4.261021e-01	4.261021e-01	2.492640e-01	2.600738e-01	NaN	NaN	4.040117e-01	4.339384e-01
2.000000e-01	2	1132	6.183760e+03	1017	NaN	NaN	NaN	NaN	1.412351e-01	1.759833e-01	NaN	NaN
3.000000e-01	3	2499	1.453070e+03	1303	4.102974e-01	4.102974e-01	2.893181e-01	2.600738e-01	NaN	NaN	4.170111e-01	4.339384e-01
4.000000e-01	4	1176	6.139680e+03	1207	NaN	NaN	NaN	NaN	1.642919e-01	1.759833e-01	NaN	NaN
5.000000e-01	5	2599	1.443070e+03	1132	4.019707e-01	4.019707e-01	2.416393e-01	2.600738e-01	NaN	NaN	4.326927e-01	4.339384e-01
6.000000e-01	6	1189	5.603770e+03	1180	NaN	NaN	NaN	NaN	1.739446e-01	1.759833e-01	NaN	NaN
7.000000e-01	7	2863	1.397590e+03	1046	3.793049e-01	3.793049e-01	1.951126e-01	2.108938e-01	NaN	NaN	4.200471e-01	4.339384e-01
8.000000e-01	8	1161	5.852730e+03	1474	NaN	NaN	NaN	NaN	2.011812e-01	1.759833e-01	NaN	NaN
9.000000e-01	9	3140	1.420200e+03	1208	3.627140e-01	3.627140e-01	2.112645e-01	2.108938e-01	NaN	NaN	5.047631e-01	4.339384e-01
1	10	1238	4.497340e+03	1162	NaN	NaN	NaN	NaN	2.053243e-01	1.759833e-01	NaN	NaN
1.100000e+00	11	2975	1.426750e+03	1028	3.708267e-01	3.708267e-01	1.907674e-01	2.108938e-01	NaN	NaN	4.151699e-01	4.339384e-01
1.200000e+00	12	1191	6.223630e+03	1425	NaN	NaN	NaN	NaN	1.863079e-01	1.759833e-01	NaN	NaN
1.300000e+00	13	3052	1.506360e+03	1147	3.750845e-01	3.750845e-01	2.120821e-01	2.108938e-01	NaN	NaN	4.476274e-01	4.339384e-01
1.400000e+00	14	1294	5.789420e+03	1251	NaN	NaN	NaN	NaN	1.776883e-01	1.759833e-01	NaN	NaN
1.500000e+00	15	2522	1.758460e+03	1009	4.508875e-01	4.508875e-01	2.164281e-01	2.108938e-01	NaN	NaN	4.111148e-01	4.339384e-01
1.600000e+00	16	1176	6.433680e+03	1143	NaN	NaN	NaN	NaN	1.508576e-01	1.759833e-01	NaN	NaN
1.700000e+00	17	2687	1.772910e+03	1109	4.476334e-01	4.476334e-01	2.076989e-01	2.108938e-01	NaN	NaN	4.509272e-01	4.339384e-01
1.800000e+00	18	1300	5521	1260	NaN	NaN	NaN	NaN	1.858133e-01	1.759833e-01	NaN	NaN
1.900000e+00	19	2622	1.698460e+03	1197	4.392920e-01	4.392920e-01	2.429031e-01	2.108938e-01	NaN	NaN	4.360195e-01	4.339384e-01
2	20	1090	5.900700e+03	1236	NaN	NaN	NaN	NaN	1.731893e-01	1.759833e-01	NaN	NaN
