timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	4696	1.026280e+03	1059	2.561468e-01	2.561468e-01	9.066375e-02	8.195653e-02	NaN	NaN	7.053400e-01	7.093999e-01
2.000000e-01	2	1144	1.797920e+03	1035	NaN	NaN	NaN	NaN	3.653474e-01	3.930665e-01	NaN	NaN
3.000000e-01	3	4930	1.157900e+03	1155	2.852393e-01	2.852393e-01	6.548900e-02	8.195653e-02	NaN	NaN	7.311201e-01	7.093999e-01
4.000000e-01	4	1376	1.567680e+03	1096	NaN	NaN	NaN	NaN	4.114608e-01	3.930665e-01	NaN	NaN
5.000000e-01	5	5100	1061	1087	2.595465e-01	2.595465e-01	6.599031e-02	8.195653e-02	NaN	NaN	7.301277e-01	7.093999e-01
6.000000e-01	6	1171	1.590030e+03	1089	NaN	NaN	NaN	NaN	4.064904e-01	3.930665e-01	NaN	NaN
7.000000e-01	7	4289	1.108770e+03	1246	2.857320e-01	2.857320e-01	1.296709e-01	8.195653e-02	NaN	NaN	6.774622e-01	7.093999e-01
8.000000e-01	8	1156	2.044080e+03	1119	NaN	NaN	NaN	NaN	3.537691e-01	3.930665e-01	NaN	NaN
9.000000e-01	9	4457	9.970100e+02	1111	2.581165e-01	2.581165e-01	1.111472e-01	8.195653e-02	NaN	NaN	6.879990e-01	7.093999e-01
1	10	1169	1.914170e+03	1063	NaN	NaN	NaN	NaN	3.570505e-01	3.930665e-01	NaN	NaN
1.100000e+00	11	5194	1.151420e+03	1260	2.703329e-01	2.703329e-01	8.574122e-02	8.195653e-02	NaN	NaN	7.252886e-01	7.093999e-01
1.200000e+00	12	1048	1.723640e+03	1157	NaN	NaN	NaN	NaN	4.016469e-01	3.930665e-01	NaN	NaN
1.300000e+00	13	5139	1.084270e+03	1102	2.666976e-01	2.666976e-01	5.814388e-02	8.195653e-02	NaN	NaN	7.301009e-01	7.093999e-01
1.400000e+00	14	1272	1.570960e+03	1137	NaN	NaN	NaN	NaN	4.198733e-01	3.930665e-01	NaN	NaN
1.500000e+00	15	5257	1.054010e+03	1037	2.535495e-01	2.535495e-01	5.489514e-02	8.195653e-02	NaN	NaN	7.126463e-01	7.093999e-01
1.600000e+00	16	1159	1.748870e+03	1214	NaN	NaN	NaN	NaN	4.097379e-01	3.930665e-01	NaN	NaN
1.700000e+00	17	4543	1.109990e+03	1178	2.789460e-01	2.789460e-01	1.045614e-01	8.195653e-02	NaN	NaN	6.954721e-01	7.093999e-01
1.800000e+00	18	1270	1.889100e+03	1102	NaN	NaN	NaN	NaN	3.684263e-01	3.930665e-01	NaN	NaN
1.900000e+00	19	4451	1.087430e+03	1094	3.025720e-01	3.025720e-01	5.326253e-02	8.195653e-02	NaN	NaN	6.984424e-01	7.093999e-01
2	20	1320	1.612600e+03	1251	NaN	NaN	NaN	NaN	4.368627e-01	3.930665e-01	NaN	NaN
