time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
1.017500e-01	1	1.099782e+04	1.065026e+04	5.060408e+02	3.107590e+02	-1.717631e+02	3.865643e+01	2.035000e-01	2	1.834323e+01	9.064233e+00	8.484864e+03	7.922359e+03	3.150879e+02	2.803274e+02	1.017500e-01	1	4.398880e-02	2.862095e-02	1.017500e-01	1	5.755174e-01	5.491766e-01	
3.052500e-01	3	1.016882e+04	1.065026e+04	2.132108e+02	3.107590e+02	-6.376307e+01	3.865643e+01	4.070000e-01	4	1.283432e+02	9.064233e+00	7.777864e+03	7.922359e+03	3.830879e+02	2.803274e+02	3.052500e-01	3	2.053653e-02	2.862095e-02	3.052500e-01	3	5.717010e-01	5.491766e-01	
5.087500e-01	5	1.128282e+04	1.065026e+04	7.331084e+01	3.107590e+02	-2.357631e+02	3.865643e+01	6.105000e-01	6	-1.365677e+01	9.064233e+00	8.573864e+03	7.922359e+03	3.590879e+02	2.803274e+02	5.087500e-01	5	6.455620e-03	2.862095e-02	5.087500e-01	5	5.698009e-01	5.491766e-01	
7.122500e-01	7	1.063782e+04	1.065026e+04	3.342008e+02	3.107590e+02	-8.763067e+00	3.865643e+01	8.140000e-01	8	-9.965677e+01	9.064233e+00	6.586864e+03	7.922359e+03	2.800879e+02	2.803274e+02	7.122500e-01	7	3.045938e-02	2.862095e-02	7.122500e-01	7	6.248699e-01	5.491766e-01	
9.157500e-01	9	1.103382e+04	1.065026e+04	9.084084e+01	3.107590e+02	-1.827631e+02	3.865643e+01	1.017500e+00	10	1.453432e+02	9.064233e+00	6.968864e+03	7.922359e+03	2.590879e+02	2.803274e+02	9.157500e-01	9	8.165720e-03	2.862095e-02	9.157500e-01	9	6.148420e-01	5.491766e-01	
1.119250e+00	11	9.806817e+03	1.065026e+04	5.378308e+02	3.107590e+02	1.042369e+02	3.865643e+01	1.221000e+00	12	-1.206568e+02	9.064233e+00	6.913864e+03	7.922359e+03	3.810879e+02	2.803274e+02	1.119250e+00	11	5.199122e-02	2.862095e-02	1.119250e+00	11	5.993939e-01	5.491766e-01	
1.322750e+00	13	9.760817e+03	1.065026e+04	5.559108e+02	3.107590e+02	2.142369e+02	3.865643e+01	1.424500e+00	14	1.793432e+02	9.064233e+00	9.570864e+03	7.922359e+03	7.408787e+01	2.803274e+02	1.322750e+00	13	5.388442e-02	2.862095e-02	1.322750e+00	13	5.187520e-01	5.491766e-01	
1.526250e+00	15	1.161882e+04	1.065026e+04	9.445084e+01	3.107590e+02	-3.076307e+01	3.865643e+01	1.628000e+00	16	-1.346568e+02	9.064233e+00	8.690864e+03	7.922359e+03	8.508787e+01	2.803274e+02	1.526250e+00	15	8.063577e-03	2.862095e-02	1.526250e+00	15	5.740635e-01	5.491766e-01	
1.729750e+00	17	9.851817e+03	1.065026e+04	1.162408e+02	3.107590e+02	-5.076307e+01	3.865643e+01	1.831500e+00	18	-2.365677e+01	9.064233e+00	8.635864e+03	7.922359e+03	4.600879e+02	2.803274e+02	1.729750e+00	17	1.166133e-02	2.862095e-02	1.729750e+00	17	5.358041e-01	5.491766e-01	
1.933250e+00	19	1.032582e+04	1.065026e+04	3.833608e+02	3.107590e+02	-7.176307e+01	3.865643e+01	2.035000e+00	20	5.034323e+01	9.064233e+00	7.870864e+03	7.922359e+03	1.740879e+02	2.803274e+02	1.933250e+00	19	3.579741e-02	2.862095e-02	1.933250e+00	19	5.763807e-01	5.491766e-01	
2.136750e+00	21	1.077982e+04	1.065026e+04	7.114084e+01	3.107590e+02	1.202369e+02	3.865643e+01	2.238500e+00	22	7.334323e+01	9.064233e+00	7.492864e+03	7.922359e+03	7.208787e+01	2.803274e+02	2.136750e+00	21	6.556181e-03	2.862095e-02	2.136750e+00	21	5.915320e-01	5.491766e-01	
2.340250e+00	23	8.723817e+03	1.065026e+04	1.346408e+02	3.107590e+02	1.582369e+02	3.865643e+01	2.442000e+00	24	-1.606568e+02	9.064233e+00	7.213864e+03	7.922359e+03	1.740879e+02	2.803274e+02	2.340250e+00	23	1.519913e-02	2.862095e-02	2.340250e+00	23	5.511623e-01	5.491766e-01	
2.543750e+00	25	1.128582e+04	1.065026e+04	8.746084e+01	3.107590e+02	-4.276307e+01	3.865643e+01	2.645500e+00	26	1.793432e+02	9.064233e+00	8.055864e+03	7.922359e+03	9.208787e+01	2.803274e+02	2.543750e+00	25	7.690029e-03	2.862095e-02	2.543750e+00	25	5.853721e-01	5.491766e-01	
2.747250e+00	27	8.571817e+03	1.065026e+04	2.119408e+02	3.107590e+02	8.723693e+01	3.865643e+01	2.849000e+00	28	2.123432e+02	9.064233e+00	8.180864e+03	7.922359e+03	1.030879e+02	2.803274e+02	2.747250e+00	27	2.412872e-02	2.862095e-02	2.747250e+00	27	5.177691e-01	5.491766e-01	
2.950750e+00	29	9.299817e+03	1.065026e+04	1.733808e+02	3.107590e+02	6.236933e+00	3.865643e+01	3.052500e+00	30	-1.756568e+02	9.064233e+00	7.110864e+03	7.922359e+03	2.720879e+02	2.803274e+02	2.950750e+00	29	1.830225e-02	2.862095e-02	2.950750e+00	29	5.712230e-01	5.491766e-01	
3.154250e+00	31	1.009982e+04	1.065026e+04	2.662084e+01	3.107590e+02	-4.576307e+01	3.865643e+01	3.256000e+00	32	2.743432e+02	9.064233e+00	7.448864e+03	7.922359e+03	-1.291213e+01	2.803274e+02	3.154250e+00	31	2.628845e-03	2.862095e-02	3.154250e+00	31	5.761743e-01	5.491766e-01	
3.357750e+00	33	1.125482e+04	1.065026e+04	8.166108e+02	3.107590e+02	-1.076307e+01	3.865643e+01	3.459500e+00	34	5.343233e+00	9.064233e+00	7.656864e+03	7.922359e+03	2.990879e+02	2.803274e+02	3.357750e+00	33	6.764824e-02	2.862095e-02	3.357750e+00	33	6.118841e-01	5.491766e-01	
3.561250e+00	35	1.332982e+04	1.065026e+04	3.146808e+02	3.107590e+02	1.236933e+00	3.865643e+01	3.663000e+00	36	1.603432e+02	9.064233e+00	8.040864e+03	7.922359e+03	1.930879e+02	2.803274e+02	3.561250e+00	35	2.306284e-02	2.862095e-02	3.561250e+00	35	6.292031e-01	5.491766e-01	
3.764750e+00	37	1.197082e+04	1.065026e+04	4.445308e+02	3.107590e+02	-1.027631e+02	3.865643e+01	3.866500e+00	38	1.543432e+02	9.064233e+00	6.204864e+03	7.922359e+03	2.470879e+02	2.803274e+02	3.764750e+00	37	3.580495e-02	2.862095e-02	3.764750e+00	37	6.667672e-01	5.491766e-01	
3.968250e+00	39	1.016782e+04	1.065026e+04	1.440084e+01	3.107590e+02	4.052369e+02	3.865643e+01	4.070000e+00	40	-1.276568e+02	9.064233e+00	7.221864e+03	7.922359e+03	3.990879e+02	2.803274e+02	3.968250e+00	39	1.414313e-03	2.862095e-02	3.968250e+00	39	5.850477e-01	5.491766e-01	
4.171750e+00	41	8.647817e+03	1.065026e+04	9.700838e+00	3.107590e+02	-8.276307e+01	3.865643e+01	4.273500e+00	42	-1.465677e+01	9.064233e+00	8.626864e+03	7.922359e+03	2.730879e+02	2.803274e+02	4.171750e+00	41	1.120510e-03	2.862095e-02	4.171750e+00	41	5.008867e-01	5.491766e-01	
