coordinates:	16.1,20.8	66.1,20.8
timeat466nm	I_1at466nm	I_2at466nm	timeat776nm	I_1at776nm	I_2at776nm
1.000000e-01	150	134	2.000000e-01	113	147
3.000000e-01	147	138	4.000000e-01	113	144
5.000000e-01	147	131	6.000000e-01	114	141
7.000000e-01	162	130	8.000000e-01	114	149
9.000000e-01	148	134	1	113	166
1.100000e+00	152	148	1.200000e+00	114	150
1.300000e+00	138	126	1.400000e+00	115	155
1.500000e+00	149	135	1.600000e+00	114	148
1.700000e+00	153	135	1.800000e+00	113	142
1.900000e+00	158	133	2	113	146
2.100000e+00	155	131	2.200000e+00	115	139
2.300000e+00	145	145	2.400000e+00	114	150
2.500000e+00	156	136	2.600000e+00	114	155
2.700000e+00	147	136	2.800000e+00	114	152
2.900000e+00	160	138	3	114	146
3.100000e+00	145	126	3.200000e+00	114	147
3.300000e+00	152	139	3.400000e+00	113	155
3.500000e+00	166	137	3.600000e+00	113	147
3.700000e+00	142	137	3.800000e+00	114	156
3.900000e+00	151	132	4	115	154
4.100000e+00	158	133	4.200000e+00	113	147
4.300000e+00	153	135	4.400000e+00	113	146
4.500000e+00	158	130	4.600000e+00	115	145
4.700000e+00	157	135	4.800000e+00	113	156
4.900000e+00	151	136	5	114	142
5.100000e+00	158	132	5.200000e+00	115	138
5.300000e+00	148	133	5.400000e+00	113	157
5.500000e+00	150	140	5.600000e+00	113	142
5.700000e+00	160	141	5.800000e+00	113	154
5.900000e+00	148	130	6	113	152
6.100000e+00	158	130	6.200000e+00	113	144
6.300000e+00	152	142	6.400000e+00	113	157
6.500000e+00	159	133	6.600000e+00	116	143
6.700000e+00	159	145	6.800000e+00	113	153
6.900000e+00	162	134	7	114	150
7.100000e+00	154	142	7.200000e+00	113	152
7.300000e+00	152	138	7.400000e+00	113	146
7.500000e+00	162	133	7.600000e+00	114	149
7.700000e+00	151	137	7.800000e+00	113	139
7.900000e+00	140	149	8	113	144
8.100000e+00	145	149	8.200000e+00	113	144
8.300000e+00	145	147	8.400000e+00	114	150
8.500000e+00	139	152	8.600000e+00	114	148
8.700000e+00	151	143	8.800000e+00	113	156
8.900000e+00	138	146	9	114	147
9.100000e+00	146	137	9.200000e+00	115	134
9.300000e+00	133	152	9.400000e+00	113	152
9.500000e+00	137	139	9.600000e+00	113	138
9.700000e+00	146	144	9.800000e+00	113	166
9.900000e+00	132	152	10	113	156
1.010000e+01	151	136	1.020000e+01	114	141
1.030000e+01	130	148	1.040000e+01	113	150
1.050000e+01	133	150	1.060000e+01	115	151
1.070000e+01	141	149	1.080000e+01	115	145
1.090000e+01	146	153	11	113	153
1.110000e+01	142	150	1.120000e+01	113	157
1.130000e+01	138	148	1.140000e+01	113	144
1.150000e+01	139	150	1.160000e+01	113	150
1.170000e+01	141	150	1.180000e+01	114	150
1.190000e+01	143	149	12	115	142
1.210000e+01	143	141	1.220000e+01	113	153
1.230000e+01	132	146	1.240000e+01	113	148
1.250000e+01	140	146	1.260000e+01	113	157
1.270000e+01	138	156	1.280000e+01	113	158
1.290000e+01	143	139	13	113	160
1.310000e+01	133	146	1.320000e+01	115	155
1.330000e+01	136	149	1.340000e+01	113	154
1.350000e+01	134	143	1.360000e+01	113	158
1.370000e+01	148	140	1.380000e+01	113	148
1.390000e+01	146	143	14	114	141
1.410000e+01	143	151	1.420000e+01	113	139
1.430000e+01	134	140	1.440000e+01	113	143
1.450000e+01	143	149	1.460000e+01	113	158
1.470000e+01	143	145	1.480000e+01	114	139
1.490000e+01	142	144	15	114	144
1.510000e+01	144	144	1.520000e+01	114	149
1.530000e+01	147	144	1.540000e+01	113	157
1.550000e+01	138	148	1.560000e+01	113	145
1.570000e+01	143	141	1.580000e+01	114	155
1.590000e+01	141	154	16	113	147
1.610000e+01	137	144	1.620000e+01	114	155
1.630000e+01	146	144	1.640000e+01	114	149
1.650000e+01	141	138	1.660000e+01	113	134
1.670000e+01	131	149	1.680000e+01	114	150
1.690000e+01	142	152	17	113	143
1.710000e+01	126	150	1.720000e+01	113	151
1.730000e+01	137	144	1.740000e+01	113	145
1.750000e+01	138	144	1.760000e+01	113	148
1.770000e+01	140	137	1.780000e+01	114	144
1.790000e+01	142	137	18	114	152
1.810000e+01	138	148	1.820000e+01	113	148
1.830000e+01	140	138	1.840000e+01	113	153
1.850000e+01	135	144	1.860000e+01	115	149
1.870000e+01	134	141	1.880000e+01	113	142
1.890000e+01	136	147	19	113	156
1.910000e+01	148	153	1.920000e+01	113	144
1.930000e+01	140	142	1.940000e+01	113	146
1.950000e+01	141	141	1.960000e+01	113	145
1.970000e+01	148	143	1.980000e+01	113	158
1.990000e+01	148	153	20	113	156
