coordinates:	24.5,43.5	74.5,43.5
timeat466nm	I_1at466nm	I_2at466nm	timeat776nm	I_1at776nm	I_2at776nm
1.000000e-01	147	136	2.000000e-01	114	152
3.000000e-01	151	138	4.000000e-01	113	146
5.000000e-01	165	126	6.000000e-01	113	151
7.000000e-01	155	137	8.000000e-01	113	156
9.000000e-01	146	135	1	113	153
1.100000e+00	149	143	1.200000e+00	113	150
1.300000e+00	162	132	1.400000e+00	114	152
1.500000e+00	157	135	1.600000e+00	113	150
1.700000e+00	151	133	1.800000e+00	114	144
1.900000e+00	152	137	2	114	137
2.100000e+00	146	143	2.200000e+00	113	152
2.300000e+00	150	143	2.400000e+00	113	146
2.500000e+00	148	138	2.600000e+00	113	142
2.700000e+00	152	135	2.800000e+00	113	147
2.900000e+00	156	136	3	113	150
3.100000e+00	156	135	3.200000e+00	114	139
3.300000e+00	152	143	3.400000e+00	114	146
3.500000e+00	147	136	3.600000e+00	114	152
3.700000e+00	163	134	3.800000e+00	113	150
3.900000e+00	150	135	4	113	143
4.100000e+00	147	139	4.200000e+00	114	148
4.300000e+00	157	137	4.400000e+00	113	153
4.500000e+00	157	132	4.600000e+00	115	153
4.700000e+00	158	137	4.800000e+00	113	150
4.900000e+00	153	136	5	113	149
5.100000e+00	157	131	5.200000e+00	113	148
5.300000e+00	165	130	5.400000e+00	115	155
5.500000e+00	150	140	5.600000e+00	113	147
5.700000e+00	143	137	5.800000e+00	115	141
5.900000e+00	158	133	6	114	143
6.100000e+00	149	140	6.200000e+00	115	157
6.300000e+00	149	140	6.400000e+00	113	144
6.500000e+00	146	141	6.600000e+00	114	152
6.700000e+00	148	133	6.800000e+00	114	150
6.900000e+00	160	134	7	114	142
7.100000e+00	140	140	7.200000e+00	115	148
7.300000e+00	150	130	7.400000e+00	113	149
7.500000e+00	152	133	7.600000e+00	115	141
7.700000e+00	148	141	7.800000e+00	114	149
7.900000e+00	145	141	8	114	156
8.100000e+00	156	140	8.200000e+00	114	154
8.300000e+00	137	140	8.400000e+00	114	162
8.500000e+00	152	134	8.600000e+00	114	138
8.700000e+00	156	138	8.800000e+00	114	155
8.900000e+00	163	143	9	113	148
9.100000e+00	156	138	9.200000e+00	113	141
9.300000e+00	151	130	9.400000e+00	114	139
9.500000e+00	155	138	9.600000e+00	113	149
9.700000e+00	149	131	9.800000e+00	114	151
9.900000e+00	147	145	10	113	140
1.010000e+01	154	128	1.020000e+01	113	147
1.030000e+01	155	142	1.040000e+01	114	151
1.050000e+01	145	132	1.060000e+01	113	146
1.070000e+01	151	134	1.080000e+01	114	148
1.090000e+01	158	140	11	114	146
1.110000e+01	156	130	1.120000e+01	113	146
1.130000e+01	153	129	1.140000e+01	114	159
1.150000e+01	141	138	1.160000e+01	113	146
1.170000e+01	145	131	1.180000e+01	113	149
1.190000e+01	143	134	12	113	139
1.210000e+01	153	127	1.220000e+01	113	148
1.230000e+01	154	146	1.240000e+01	113	145
1.250000e+01	144	139	1.260000e+01	113	149
1.270000e+01	146	137	1.280000e+01	113	148
1.290000e+01	143	138	13	115	159
1.310000e+01	154	130	1.320000e+01	113	140
1.330000e+01	158	133	1.340000e+01	115	146
1.350000e+01	155	133	1.360000e+01	115	150
1.370000e+01	150	127	1.380000e+01	113	146
1.390000e+01	152	131	14	113	151
1.410000e+01	155	127	1.420000e+01	113	145
1.430000e+01	149	134	1.440000e+01	113	159
1.450000e+01	159	132	1.460000e+01	114	153
1.470000e+01	147	139	1.480000e+01	113	141
1.490000e+01	152	138	15	114	144
1.510000e+01	156	137	1.520000e+01	113	157
1.530000e+01	159	141	1.540000e+01	113	155
1.550000e+01	149	147	1.560000e+01	113	144
1.570000e+01	140	141	1.580000e+01	113	148
1.590000e+01	146	136	16	113	140
1.610000e+01	157	134	1.620000e+01	114	144
1.630000e+01	151	136	1.640000e+01	113	148
1.650000e+01	147	142	1.660000e+01	113	150
1.670000e+01	152	132	1.680000e+01	115	147
1.690000e+01	156	137	17	116	152
1.710000e+01	151	135	1.720000e+01	113	136
1.730000e+01	149	133	1.740000e+01	114	145
1.750000e+01	158	139	1.760000e+01	113	154
1.770000e+01	159	129	1.780000e+01	113	153
1.790000e+01	170	134	18	113	143
1.810000e+01	155	142	1.820000e+01	114	151
1.830000e+01	145	138	1.840000e+01	113	153
1.850000e+01	147	133	1.860000e+01	115	154
1.870000e+01	147	134	1.880000e+01	114	134
1.890000e+01	157	133	19	113	152
1.910000e+01	152	136	1.920000e+01	114	155
1.930000e+01	153	136	1.940000e+01	113	165
1.950000e+01	154	129	1.960000e+01	115	148
1.970000e+01	160	132	1.980000e+01	116	149
1.990000e+01	149	136	20	114	150
