coordinates:	51.0,14.1	51.0,14.1
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	121	137
3.000000e-01	123	130
5.000000e-01	119	132
7.000000e-01	119	135
9.000000e-01	123	135
1.100000e+00	118	127
1.300000e+00	119	132
1.500000e+00	119	131
1.700000e+00	123	131
1.900000e+00	121	134
2.100000e+00	121	130
2.300000e+00	122	134
2.500000e+00	119	135
2.700000e+00	125	128
2.900000e+00	119	133
3.100000e+00	125	128
3.300000e+00	121	133
3.500000e+00	122	120
3.700000e+00	121	134
3.900000e+00	120	140
4.100000e+00	119	135
4.300000e+00	122	131
4.500000e+00	115	139
4.700000e+00	119	117
4.900000e+00	123	133
5.100000e+00	117	134
5.300000e+00	126	123
5.500000e+00	119	127
5.700000e+00	116	130
5.900000e+00	123	131
6.100000e+00	129	130
6.300000e+00	120	127
6.500000e+00	121	127
6.700000e+00	120	139
6.900000e+00	122	133
7.100000e+00	119	125
7.300000e+00	122	139
7.500000e+00	125	128
7.700000e+00	118	127
7.900000e+00	119	129
8.100000e+00	117	132
8.300000e+00	125	130
8.500000e+00	123	136
8.700000e+00	121	134
8.900000e+00	120	134
9.100000e+00	120	132
9.300000e+00	120	135
9.500000e+00	118	132
9.700000e+00	126	131
9.900000e+00	131	124
1.010000e+01	124	131
1.030000e+01	125	125
1.050000e+01	124	124
1.070000e+01	123	116
1.090000e+01	120	120
1.110000e+01	122	121
1.130000e+01	120	121
1.150000e+01	119	117
1.170000e+01	123	118
1.190000e+01	122	120
1.210000e+01	120	124
1.230000e+01	125	121
1.250000e+01	124	120
1.270000e+01	124	122
1.290000e+01	122	125
1.310000e+01	120	121
1.330000e+01	122	124
1.350000e+01	123	122
1.370000e+01	123	120
1.390000e+01	118	124
1.410000e+01	118	125
1.430000e+01	126	121
1.450000e+01	123	120
1.470000e+01	119	122
1.490000e+01	119	120
1.510000e+01	125	120
1.530000e+01	123	124
1.550000e+01	123	119
1.570000e+01	126	124
1.590000e+01	123	122
1.610000e+01	119	121
1.630000e+01	119	123
1.650000e+01	116	125
1.670000e+01	127	119
1.690000e+01	119	119
1.710000e+01	122	118
1.730000e+01	118	128
1.750000e+01	120	121
1.770000e+01	125	118
1.790000e+01	124	119
1.810000e+01	119	121
1.830000e+01	131	120
1.850000e+01	120	124
1.870000e+01	126	120
1.890000e+01	122	121
1.910000e+01	122	125
1.930000e+01	126	126
1.950000e+01	119	122
1.970000e+01	124	121
1.990000e+01	120	117
