coordinates:	60.5,24.9	60.5,24.9
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	135	122
3.000000e-01	137	312
5.000000e-01	138	358
7.000000e-01	129	296
9.000000e-01	132	325
1.100000e+00	130	320
1.300000e+00	126	327
1.500000e+00	127	335
1.700000e+00	134	346
1.900000e+00	128	304
2.100000e+00	225	125
2.300000e+00	220	126
2.500000e+00	221	124
2.700000e+00	204	129
2.900000e+00	239	126
3.100000e+00	221	125
3.300000e+00	230	127
3.500000e+00	229	131
3.700000e+00	219	128
3.900000e+00	150	120
4.100000e+00	235	128
4.300000e+00	208	127
4.500000e+00	242	126
4.700000e+00	227	122
4.900000e+00	214	129
5.100000e+00	222	133
5.300000e+00	223	123
5.500000e+00	225	120
5.700000e+00	221	129
5.900000e+00	243	126
6.100000e+00	210	125
6.300000e+00	221	123
6.500000e+00	230	126
6.700000e+00	232	129
6.900000e+00	228	127
7.100000e+00	232	129
7.300000e+00	217	132
7.500000e+00	215	127
7.700000e+00	227	126
7.900000e+00	229	126
8.100000e+00	248	131
8.300000e+00	230	128
8.500000e+00	225	125
8.700000e+00	208	131
8.900000e+00	224	128
9.100000e+00	206	130
9.300000e+00	233	122
9.500000e+00	232	123
9.700000e+00	209	119
9.900000e+00	212	122
1.010000e+01	220	125
1.030000e+01	229	127
1.050000e+01	214	122
1.070000e+01	233	122
1.090000e+01	230	124
1.110000e+01	212	126
1.130000e+01	241	119
1.150000e+01	215	128
1.170000e+01	223	135
1.190000e+01	229	126
1.210000e+01	238	125
1.230000e+01	219	129
1.250000e+01	221	129
1.270000e+01	215	124
1.290000e+01	242	129
1.310000e+01	199	124
1.330000e+01	217	128
1.350000e+01	214	126
1.370000e+01	225	126
1.390000e+01	219	127
1.410000e+01	235	126
1.430000e+01	232	126
1.450000e+01	227	125
1.470000e+01	206	130
1.490000e+01	164	127
1.510000e+01	242	126
1.530000e+01	224	125
1.550000e+01	208	132
1.570000e+01	217	128
1.590000e+01	201	128
1.610000e+01	210	124
1.630000e+01	232	127
1.650000e+01	223	126
1.670000e+01	236	122
1.690000e+01	235	130
1.710000e+01	219	124
1.730000e+01	210	122
1.750000e+01	206	126
1.770000e+01	229	124
1.790000e+01	244	125
1.810000e+01	222	123
1.830000e+01	212	137
1.850000e+01	210	124
1.870000e+01	213	128
1.890000e+01	211	135
1.910000e+01	206	132
1.930000e+01	224	125
1.950000e+01	209	119
1.970000e+01	236	130
1.990000e+01	239	126
