coordinates:	14.8,50.6	14.8,50.6
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	140	145
3.000000e-01	131	305
5.000000e-01	128	323
7.000000e-01	128	337
9.000000e-01	122	349
1.100000e+00	123	310
1.300000e+00	151	307
1.500000e+00	215	166
1.700000e+00	200	166
1.900000e+00	206	148
2.100000e+00	216	155
2.300000e+00	223	161
2.500000e+00	194	150
2.700000e+00	221	162
2.900000e+00	229	127
3.100000e+00	233	130
3.300000e+00	227	132
3.500000e+00	250	130
3.700000e+00	246	124
3.900000e+00	217	124
4.100000e+00	234	125
4.300000e+00	125	122
4.500000e+00	121	119
4.700000e+00	122	121
4.900000e+00	120	123
5.100000e+00	124	121
5.300000e+00	120	116
5.500000e+00	122	129
5.700000e+00	121	119
5.900000e+00	121	118
6.100000e+00	131	116
6.300000e+00	122	120
6.500000e+00	122	125
6.700000e+00	120	119
6.900000e+00	119	117
7.100000e+00	118	121
7.300000e+00	128	128
7.500000e+00	127	117
7.700000e+00	118	123
7.900000e+00	120	122
8.100000e+00	120	120
8.300000e+00	120	120
8.500000e+00	125	123
8.700000e+00	124	116
8.900000e+00	119	118
9.100000e+00	120	120
9.300000e+00	123	116
9.500000e+00	122	126
9.700000e+00	122	120
9.900000e+00	119	117
1.010000e+01	125	121
1.030000e+01	129	124
1.050000e+01	122	120
1.070000e+01	131	122
1.090000e+01	124	122
1.110000e+01	117	119
1.130000e+01	126	120
1.150000e+01	122	121
1.170000e+01	121	116
1.190000e+01	128	118
1.210000e+01	122	118
1.230000e+01	118	117
1.250000e+01	120	116
1.270000e+01	124	120
1.290000e+01	124	122
1.310000e+01	123	119
1.330000e+01	123	120
1.350000e+01	122	119
1.370000e+01	126	118
1.390000e+01	122	123
1.410000e+01	123	118
1.430000e+01	121	122
1.450000e+01	121	122
1.470000e+01	118	116
1.490000e+01	122	116
1.510000e+01	124	120
1.530000e+01	122	118
1.550000e+01	120	118
1.570000e+01	129	122
1.590000e+01	125	123
1.610000e+01	125	122
1.630000e+01	123	122
1.650000e+01	121	119
1.670000e+01	125	124
1.690000e+01	123	117
1.710000e+01	125	119
1.730000e+01	125	119
1.750000e+01	125	122
1.770000e+01	118	119
1.790000e+01	128	115
1.810000e+01	122	119
1.830000e+01	122	122
1.850000e+01	119	120
1.870000e+01	123	119
1.890000e+01	120	124
1.910000e+01	123	125
1.930000e+01	124	117
1.950000e+01	124	120
1.970000e+01	123	119
1.990000e+01	121	126
