coordinates:	62.6,37.9	62.6,37.9
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	189	152
3.000000e-01	167	224
5.000000e-01	170	219
7.000000e-01	213	127
9.000000e-01	220	130
1.100000e+00	229	133
1.300000e+00	215	124
1.500000e+00	128	119
1.700000e+00	122	123
1.900000e+00	120	122
2.100000e+00	121	125
2.300000e+00	121	118
2.500000e+00	123	120
2.700000e+00	124	124
2.900000e+00	121	123
3.100000e+00	123	118
3.300000e+00	121	122
3.500000e+00	128	123
3.700000e+00	123	124
3.900000e+00	125	121
4.100000e+00	121	119
4.300000e+00	127	125
4.500000e+00	123	118
4.700000e+00	127	124
4.900000e+00	121	119
5.100000e+00	118	123
5.300000e+00	122	124
5.500000e+00	123	120
5.700000e+00	119	118
5.900000e+00	117	124
6.100000e+00	117	118
6.300000e+00	128	119
6.500000e+00	124	125
6.700000e+00	117	127
6.900000e+00	120	120
7.100000e+00	122	126
7.300000e+00	126	122
7.500000e+00	126	120
7.700000e+00	121	118
7.900000e+00	123	120
8.100000e+00	125	124
8.300000e+00	124	123
8.500000e+00	128	118
8.700000e+00	124	122
8.900000e+00	123	121
9.100000e+00	127	117
9.300000e+00	124	121
9.500000e+00	123	118
9.700000e+00	129	120
9.900000e+00	125	121
1.010000e+01	124	119
1.030000e+01	126	117
1.050000e+01	120	122
1.070000e+01	122	122
1.090000e+01	119	121
1.110000e+01	123	119
1.130000e+01	119	125
1.150000e+01	130	122
1.170000e+01	124	127
1.190000e+01	123	121
1.210000e+01	119	126
1.230000e+01	119	118
1.250000e+01	125	119
1.270000e+01	122	118
1.290000e+01	116	128
1.310000e+01	123	122
1.330000e+01	127	120
1.350000e+01	125	120
1.370000e+01	120	116
1.390000e+01	125	116
1.410000e+01	116	125
1.430000e+01	130	125
1.450000e+01	123	121
1.470000e+01	123	120
1.490000e+01	126	121
1.510000e+01	124	117
1.530000e+01	124	120
1.550000e+01	118	119
1.570000e+01	123	121
1.590000e+01	125	122
1.610000e+01	125	120
1.630000e+01	114	120
1.650000e+01	118	120
1.670000e+01	116	115
1.690000e+01	117	123
1.710000e+01	119	117
1.730000e+01	122	117
1.750000e+01	120	119
1.770000e+01	122	119
1.790000e+01	118	118
1.810000e+01	125	114
1.830000e+01	122	116
1.850000e+01	124	121
1.870000e+01	118	119
1.890000e+01	126	118
1.910000e+01	123	118
1.930000e+01	123	117
1.950000e+01	123	118
1.970000e+01	116	120
1.990000e+01	123	122
