coordinates:	47.7,19.6	47.7,19.6
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	223	162
3.000000e-01	133	126
5.000000e-01	208	155
7.000000e-01	215	144
9.000000e-01	154	128
1.100000e+00	200	155
1.300000e+00	196	150
1.500000e+00	193	160
1.700000e+00	223	151
1.900000e+00	220	155
2.100000e+00	206	159
2.300000e+00	210	171
2.500000e+00	199	150
2.700000e+00	216	149
2.900000e+00	206	157
3.100000e+00	211	167
3.300000e+00	206	151
3.500000e+00	215	165
3.700000e+00	224	155
3.900000e+00	206	162
4.100000e+00	191	140
4.300000e+00	216	157
4.500000e+00	213	166
4.700000e+00	212	160
4.900000e+00	135	357
5.100000e+00	152	246
5.300000e+00	125	129
5.500000e+00	122	140
5.700000e+00	120	121
5.900000e+00	123	117
6.100000e+00	119	118
6.300000e+00	120	123
6.500000e+00	119	127
6.700000e+00	119	128
6.900000e+00	121	128
7.100000e+00	122	120
7.300000e+00	117	131
7.500000e+00	123	130
7.700000e+00	125	138
7.900000e+00	119	126
8.100000e+00	121	130
8.300000e+00	125	132
8.500000e+00	121	123
8.700000e+00	120	132
8.900000e+00	121	123
9.100000e+00	128	134
9.300000e+00	120	127
9.500000e+00	123	130
9.700000e+00	120	124
9.900000e+00	124	128
1.010000e+01	118	135
1.030000e+01	127	134
1.050000e+01	117	129
1.070000e+01	123	128
1.090000e+01	123	125
1.110000e+01	127	129
1.130000e+01	125	127
1.150000e+01	123	136
1.170000e+01	128	134
1.190000e+01	123	134
1.210000e+01	120	136
1.230000e+01	124	130
1.250000e+01	127	138
1.270000e+01	120	131
1.290000e+01	125	131
1.310000e+01	119	127
1.330000e+01	126	133
1.350000e+01	120	136
1.370000e+01	128	132
1.390000e+01	121	131
1.410000e+01	119	128
1.430000e+01	120	130
1.450000e+01	124	134
1.470000e+01	125	131
1.490000e+01	122	127
1.510000e+01	124	127
1.530000e+01	129	129
1.550000e+01	120	132
1.570000e+01	122	136
1.590000e+01	121	133
1.610000e+01	128	122
1.630000e+01	122	137
1.650000e+01	120	132
1.670000e+01	122	123
1.690000e+01	125	128
1.710000e+01	126	132
1.730000e+01	122	128
1.750000e+01	120	133
1.770000e+01	129	128
1.790000e+01	120	127
1.810000e+01	123	135
1.830000e+01	123	129
1.850000e+01	119	129
1.870000e+01	123	136
1.890000e+01	121	127
1.910000e+01	127	132
1.930000e+01	119	130
1.950000e+01	125	132
1.970000e+01	126	134
1.990000e+01	122	130
