coordinates:	15.9,46.1	15.9,46.1
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	117	125
3.000000e-01	200	131
5.000000e-01	215	151
7.000000e-01	196	160
9.000000e-01	222	138
1.100000e+00	222	154
1.300000e+00	218	140
1.500000e+00	208	161
1.700000e+00	226	151
1.900000e+00	243	142
2.100000e+00	195	155
2.300000e+00	218	154
2.500000e+00	230	160
2.700000e+00	220	151
2.900000e+00	219	166
3.100000e+00	223	153
3.300000e+00	203	156
3.500000e+00	197	155
3.700000e+00	224	151
3.900000e+00	222	157
4.100000e+00	219	153
4.300000e+00	213	142
4.500000e+00	209	146
4.700000e+00	216	146
4.900000e+00	200	157
5.100000e+00	198	170
5.300000e+00	214	152
5.500000e+00	214	162
5.700000e+00	222	154
5.900000e+00	207	168
6.100000e+00	204	169
6.300000e+00	213	151
6.500000e+00	125	127
6.700000e+00	122	121
6.900000e+00	125	117
7.100000e+00	124	118
7.300000e+00	121	118
7.500000e+00	119	121
7.700000e+00	121	120
7.900000e+00	125	122
8.100000e+00	118	123
8.300000e+00	117	125
8.500000e+00	123	116
8.700000e+00	121	116
8.900000e+00	121	118
9.100000e+00	124	127
9.300000e+00	120	116
9.500000e+00	124	117
9.700000e+00	120	125
9.900000e+00	123	126
1.010000e+01	120	123
1.030000e+01	121	122
1.050000e+01	118	121
1.070000e+01	126	119
1.090000e+01	123	120
1.110000e+01	122	123
1.130000e+01	120	127
1.150000e+01	118	118
1.170000e+01	121	122
1.190000e+01	122	116
1.210000e+01	121	118
1.230000e+01	119	127
1.250000e+01	129	122
1.270000e+01	121	117
1.290000e+01	122	118
1.310000e+01	122	115
1.330000e+01	116	119
1.350000e+01	128	116
1.370000e+01	123	118
1.390000e+01	120	118
1.410000e+01	125	123
1.430000e+01	122	122
1.450000e+01	122	122
1.470000e+01	119	117
1.490000e+01	127	117
1.510000e+01	120	119
1.530000e+01	122	119
1.550000e+01	120	124
1.570000e+01	121	121
1.590000e+01	117	120
1.610000e+01	126	119
1.630000e+01	127	117
1.650000e+01	120	119
1.670000e+01	119	121
1.690000e+01	122	118
1.710000e+01	121	118
1.730000e+01	122	118
1.750000e+01	127	119
1.770000e+01	119	121
1.790000e+01	123	119
1.810000e+01	117	129
1.830000e+01	123	119
1.850000e+01	124	125
1.870000e+01	125	122
1.890000e+01	119	118
1.910000e+01	125	120
1.930000e+01	123	120
1.950000e+01	120	124
1.970000e+01	122	121
1.990000e+01	122	121
