coordinates:	30.5,57.8	30.5,57.8
timeat500nm	I_1at500nm	I_2at500nm
1.000000e-01	131	338
3.000000e-01	141	252
5.000000e-01	128	353
7.000000e-01	133	344
9.000000e-01	133	344
1.100000e+00	131	321
1.300000e+00	164	152
1.500000e+00	181	235
1.700000e+00	176	251
1.900000e+00	191	155
2.100000e+00	174	256
2.300000e+00	183	244
2.500000e+00	178	242
2.700000e+00	169	246
2.900000e+00	156	252
3.100000e+00	158	240
3.300000e+00	170	243
3.500000e+00	168	237
3.700000e+00	188	239
3.900000e+00	172	237
4.100000e+00	168	235
4.300000e+00	173	237
4.500000e+00	184	268
4.700000e+00	174	239
4.900000e+00	168	235
5.100000e+00	169	234
5.300000e+00	166	235
5.500000e+00	167	231
5.700000e+00	165	254
5.900000e+00	179	221
6.100000e+00	174	242
6.300000e+00	173	252
6.500000e+00	172	246
6.700000e+00	163	236
6.900000e+00	175	244
7.100000e+00	156	137
7.300000e+00	159	230
7.500000e+00	181	245
7.700000e+00	181	246
7.900000e+00	195	249
8.100000e+00	185	249
8.300000e+00	163	230
8.500000e+00	143	157
8.700000e+00	175	247
8.900000e+00	166	214
9.100000e+00	170	234
9.300000e+00	167	233
9.500000e+00	215	131
9.700000e+00	177	236
9.900000e+00	173	233
1.010000e+01	169	251
1.030000e+01	173	246
1.050000e+01	172	247
1.070000e+01	229	131
1.090000e+01	169	250
1.110000e+01	179	234
1.130000e+01	182	248
1.150000e+01	180	244
1.170000e+01	177	230
1.190000e+01	164	246
1.210000e+01	174	251
1.230000e+01	170	247
1.250000e+01	188	236
1.270000e+01	158	256
1.290000e+01	173	244
1.310000e+01	175	245
1.330000e+01	173	245
1.350000e+01	166	255
1.370000e+01	165	232
1.390000e+01	169	249
1.410000e+01	170	242
1.430000e+01	181	228
1.450000e+01	155	234
1.470000e+01	171	259
1.490000e+01	166	236
1.510000e+01	168	257
1.530000e+01	177	232
1.550000e+01	143	239
1.570000e+01	131	337
1.590000e+01	131	347
1.610000e+01	137	333
1.630000e+01	127	338
1.650000e+01	212	122
1.670000e+01	210	128
1.690000e+01	126	123
1.710000e+01	238	127
1.730000e+01	214	128
1.750000e+01	224	135
1.770000e+01	217	122
1.790000e+01	225	121
1.810000e+01	219	124
1.830000e+01	240	125
1.850000e+01	229	124
1.870000e+01	219	132
1.890000e+01	217	122
1.910000e+01	215	130
1.930000e+01	200	126
1.950000e+01	227	128
1.970000e+01	231	123
1.990000e+01	231	122
