coordinates:	43.9,143.0	128.9,143.0	213.9,143.0
timeat184nm	I_1at184nm	I_2at184nm	I_3at184nm
2.350000e+01	147	119	120
2.360000e+01	113	136	118
2.370000e+01	113	113	137
2.380000e+01	151	120	117
2.390000e+01	113	127	125
24	113	113	138
2.410000e+01	151	120	125
2.420000e+01	113	127	124
2.430000e+01	113	113	142
2.440000e+01	155	116	124
2.450000e+01	113	138	127
2.460000e+01	113	113	145
2.470000e+01	149	120	120
2.480000e+01	113	128	119
2.490000e+01	113	113	144
25	146	119	123
2.510000e+01	113	130	120
2.520000e+01	113	113	151
2.530000e+01	145	120	124
2.540000e+01	113	135	125
2.550000e+01	113	113	143
2.560000e+01	149	118	119
2.570000e+01	113	138	125
2.580000e+01	113	113	140
2.590000e+01	145	118	119
26	113	126	122
2.610000e+01	113	113	147
2.620000e+01	154	119	123
2.630000e+01	113	136	122
2.640000e+01	113	113	152
2.650000e+01	142	120	122
2.660000e+01	113	129	124
2.670000e+01	113	113	145
2.680000e+01	143	118	121
2.690000e+01	113	127	124
27	113	113	137
2.710000e+01	130	113	139
2.720000e+01	113	138	124
2.730000e+01	113	113	148
2.740000e+01	125	115	128
2.750000e+01	113	134	125
2.760000e+01	113	113	142
2.770000e+01	124	114	142
2.780000e+01	113	132	125
2.790000e+01	113	113	157
28	122	114	140
2.810000e+01	113	134	123
2.820000e+01	113	113	149
2.830000e+01	123	115	147
2.840000e+01	113	134	126
2.850000e+01	113	113	141
2.860000e+01	122	116	135
2.870000e+01	113	135	124
2.880000e+01	113	113	138
2.890000e+01	130	117	142
29	113	142	125
2.910000e+01	113	113	135
2.920000e+01	122	117	137
2.930000e+01	113	131	122
2.940000e+01	113	113	140
2.950000e+01	119	115	133
2.960000e+01	113	135	126
2.970000e+01	113	113	136
2.980000e+01	122	116	135
2.990000e+01	113	138	124
30	113	113	151
3.010000e+01	128	113	138
3.020000e+01	113	122	124
3.030000e+01	113	113	144
3.040000e+01	127	114	134
3.050000e+01	113	134	123
3.060000e+01	113	113	142
3.070000e+01	127	117	143
3.080000e+01	113	133	118
3.090000e+01	113	113	152
31	125	113	135
3.110000e+01	113	129	126
3.120000e+01	113	113	152
3.130000e+01	126	113	130
3.140000e+01	113	135	129
3.150000e+01	113	113	162
3.160000e+01	126	116	131
3.170000e+01	113	145	125
3.180000e+01	113	113	143
3.190000e+01	124	114	143
32	113	135	127
3.210000e+01	113	113	140
3.220000e+01	123	118	139
3.230000e+01	113	132	130
3.240000e+01	113	113	137
3.250000e+01	127	116	130
3.260000e+01	113	135	124
3.270000e+01	113	113	137
3.280000e+01	123	116	139
3.290000e+01	113	131	116
33	113	113	147
3.310000e+01	125	113	150
3.320000e+01	113	129	127
3.330000e+01	113	113	153
3.340000e+01	121	118	135
3.350000e+01	113	133	131
3.360000e+01	113	113	146
3.370000e+01	119	114	139
3.380000e+01	113	133	124
