timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	21656	-1.939200e+02	-9.035471e-03	-9.035471e-03	9.312245e-01	9.373051e-01
2.000000e-01	2	1256	1.585080e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	27170	-4.779000e+02	NaN	NaN	NaN	NaN
4.000000e-01	4	1302	1.451860e+03	5.272091e-01	5.272091e-01	1.421868e+00	9.373051e-01
5.000000e-01	5	30201	-8.170700e+02	NaN	NaN	NaN	NaN
6.000000e-01	6	1299	1.511070e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	23519	-2.663300e+02	-1.145374e-02	-1.145374e-02	9.389847e-01	9.373051e-01
8.000000e-01	8	1372	1.510960e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	29180	-7.266000e+02	NaN	NaN	NaN	NaN
1	10	1193	1.461490e+03	5.505728e-01	5.505728e-01	1.384082e+00	9.373051e-01
1.100000e+00	11	32966	-7.366200e+02	NaN	NaN	NaN	NaN
1.200000e+00	12	1123	1.526390e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	28195	-5.086500e+02	-1.837187e-02	-1.837187e-02	9.509690e-01	9.373051e-01
1.400000e+00	14	1236	1.427480e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	28911	-6.297700e+02	NaN	NaN	NaN	NaN
1.600000e+00	16	1239	1.429270e+03	5.356542e-01	5.356542e-01	9.280423e-01	9.373051e-01
1.700000e+00	17	18973	2.068900e+02	NaN	NaN	NaN	NaN
1.800000e+00	18	1332	1.565760e+03	NaN	NaN	NaN	NaN
