timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	4696	1.370280e+03	2.258847e-01	2.258847e-01	7.832309e-01	7.477056e-01
2.000000e-01	2	1144	1.678920e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	4930	1.047900e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1376	1.560680e+03	5.314437e-01	5.314437e-01	7.082003e-01	7.477056e-01
5.000000e-01	5	5100	1210	NaN	NaN	NaN	NaN
6.000000e-01	6	1171	1.914030e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	4289	1.176770e+03	2.152981e-01	2.152981e-01	7.816227e-01	7.477056e-01
8.000000e-01	8	1156	1.527080e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	4457	1.111010e+03	NaN	NaN	NaN	NaN
1	10	1169	1.532170e+03	5.672246e-01	5.672246e-01	7.146728e-01	7.477056e-01
1.100000e+00	11	5194	1.078420e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1048	1.452640e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	5139	9.422700e+02	1.549463e-01	1.549463e-01	7.723984e-01	7.477056e-01
1.400000e+00	14	1272	1.791960e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	5257	1.156010e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1159	1.409870e+03	5.488289e-01	5.488289e-01	7.261084e-01	7.477056e-01
1.700000e+00	17	4543	9.689900e+02	NaN	NaN	NaN	NaN
1.800000e+00	18	1270	1.522100e+03	NaN	NaN	NaN	NaN
