timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	2089	1.451770e+03	4.100153e-01	4.100153e-01	4.380320e-01	6.217012e-01
2.000000e-01	2	1063	4.542590e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2660	1.287800e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1199	3.559070e+03	7.480071e-01	7.480071e-01	7.458082e-01	6.217012e-01
5.000000e-01	5	2076	1.621680e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1131	4.438830e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	2359	1.212870e+03	3.395616e-01	3.395616e-01	4.369821e-01	6.217012e-01
8.000000e-01	8	1056	4.602080e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2624	1.380320e+03	NaN	NaN	NaN	NaN
1	10	1035	3.905550e+03	7.905092e-01	7.905092e-01	8.076555e-01	6.217012e-01
1.100000e+00	11	2620	1.176600e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1178	4.740540e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2593	1.149490e+03	3.071458e-01	3.071458e-01	4.779864e-01	6.217012e-01
1.400000e+00	14	1197	4.087210e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	2152	1.219360e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1393	4.055490e+03	7.443328e-01	7.443328e-01	8.237428e-01	6.217012e-01
1.700000e+00	17	2574	1.165820e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1024	3.780320e+03	NaN	NaN	NaN	NaN
