timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	2333	1.137690e+03	1030	3.870634e-01	3.870634e-01	2.293777e-01	2.293777e-01	NaN	NaN	4.414670e-01	5.985081e-01	8.263165e-01	8.390941e-01	NaN	NaN
2.000000e-01	2	1112	4.397160e+03	1297	NaN	NaN	NaN	NaN	2.277772e-01	2.277772e-01	NaN	NaN	NaN	NaN	8.575336e-01	7.569714e-01
3.000000e-01	3	2352	1.332360e+03	946	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1070	5.600100e+03	1202	9.128390e-01	9.128390e-01	1.320932e+00	2.293777e-01	NaN	NaN	7.750502e-01	5.985081e-01	8.844957e-01	8.390941e-01	NaN	NaN
5.000000e-01	5	2203	1.141790e+03	1143	NaN	NaN	NaN	NaN	5.002648e-01	5.002648e-01	NaN	NaN	NaN	NaN	6.896875e-01	7.569714e-01
6.000000e-01	6	1076	4.287680e+03	1028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	2452	1.167360e+03	1015	3.659539e-01	3.659539e-01	2.383043e-01	2.383043e-01	NaN	NaN	4.167403e-01	5.985081e-01	8.056450e-01	8.390941e-01	NaN	NaN
8.000000e-01	8	1398	5.350140e+03	1136	NaN	NaN	NaN	NaN	1.751427e-01	1.751427e-01	NaN	NaN	NaN	NaN	8.529748e-01	7.569714e-01
9.000000e-01	9	2273	1.344890e+03	1118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1281	3.778330e+03	1069	8.385711e-01	8.385711e-01	3.435130e+00	2.383043e-01	NaN	NaN	7.390957e-01	5.985081e-01	8.396894e-01	8.390941e-01	NaN	NaN
1.100000e+00	11	2481	1.228330e+03	935	NaN	NaN	NaN	NaN	4.322041e-01	4.322041e-01	NaN	NaN	NaN	NaN	6.489996e-01	7.569714e-01
1.200000e+00	12	1288	4.962840e+03	1170	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	2339	1.216270e+03	1115	3.954333e-01	3.954333e-01	2.551864e-01	2.551864e-01	NaN	NaN	4.456275e-01	5.985081e-01	8.177288e-01	8.390941e-01	NaN	NaN
1.400000e+00	14	1358	4.618940e+03	1191	NaN	NaN	NaN	NaN	2.049935e-01	2.049935e-01	NaN	NaN	NaN	NaN	8.480500e-01	7.569714e-01
1.500000e+00	15	2248	1.401640e+03	1041	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1164	5.595520e+03	1198	9.004882e-01	9.004882e-01	1.451937e+00	2.551864e-01	NaN	NaN	7.730679e-01	5.985081e-01	8.606893e-01	8.390941e-01	NaN	NaN
1.700000e+00	17	2487	1.240910e+03	1095	NaN	NaN	NaN	NaN	4.687681e-01	4.687681e-01	NaN	NaN	NaN	NaN	6.445828e-01	7.569714e-01
1.800000e+00	18	1208	4.495440e+03	1288	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
