timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	2353	1.500290e+03	1028	4.261021e-01	4.261021e-01	2.492640e-01	2.492640e-01	NaN	NaN	4.040117e-01	5.882446e-01	7.893048e-01	8.391530e-01	NaN	NaN
2.000000e-01	2	1132	6.183760e+03	1017	NaN	NaN	NaN	NaN	1.412351e-01	1.412351e-01	NaN	NaN	NaN	NaN	8.467737e-01	7.656904e-01
3.000000e-01	3	2499	1.453070e+03	1303	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1176	6.139680e+03	1207	9.030653e-01	9.030653e-01	1.483314e+00	2.492640e-01	NaN	NaN	7.679647e-01	5.882446e-01	8.783841e-01	8.391530e-01	NaN	NaN
5.000000e-01	5	2599	1.443070e+03	1132	NaN	NaN	NaN	NaN	4.395997e-01	4.395997e-01	NaN	NaN	NaN	NaN	6.857582e-01	7.656904e-01
6.000000e-01	6	1189	5.603770e+03	1180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	2863	1.397590e+03	1046	3.793049e-01	3.793049e-01	1.951126e-01	1.951126e-01	NaN	NaN	4.200471e-01	5.882446e-01	8.145701e-01	8.391530e-01	NaN	NaN
8.000000e-01	8	1161	5.852730e+03	1474	NaN	NaN	NaN	NaN	2.011812e-01	2.011812e-01	NaN	NaN	NaN	NaN	8.584607e-01	7.656904e-01
9.000000e-01	9	3140	1.420200e+03	1208	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1238	4.497340e+03	1162	8.620729e-01	8.620729e-01	2.473078e+00	1.951126e-01	NaN	NaN	7.375186e-01	5.882446e-01	8.287741e-01	8.391530e-01	NaN	NaN
1.100000e+00	11	2975	1.426750e+03	1028	NaN	NaN	NaN	NaN	4.187799e-01	4.187799e-01	NaN	NaN	NaN	NaN	6.327083e-01	7.656904e-01
1.200000e+00	12	1191	6.223630e+03	1425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	3052	1.506360e+03	1147	3.750845e-01	3.750845e-01	2.120821e-01	2.120821e-01	NaN	NaN	4.476274e-01	5.882446e-01	8.497251e-01	8.391530e-01	NaN	NaN
1.400000e+00	14	1294	5.789420e+03	1251	NaN	NaN	NaN	NaN	1.776883e-01	1.776883e-01	NaN	NaN	NaN	NaN	8.746494e-01	7.656904e-01
1.500000e+00	15	2522	1.758460e+03	1009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1176	6.433680e+03	1143	8.989179e-01	8.989179e-01	1.689562e+00	2.120821e-01	NaN	NaN	7.522981e-01	5.882446e-01	8.741596e-01	8.391530e-01	NaN	NaN
1.700000e+00	17	2687	1.772910e+03	1109	NaN	NaN	NaN	NaN	3.848142e-01	3.848142e-01	NaN	NaN	NaN	NaN	6.957925e-01	7.656904e-01
1.800000e+00	18	1300	5521	1260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
