timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	5444	2.348920e+03	1138	3.610161e-01	3.610161e-01	7.021914e-02	7.021914e-02	NaN	NaN	6.357911e-01	6.469149e-01	8.988518e-01	8.720931e-01	NaN	NaN
2.000000e-01	2	1314	3.907020e+03	1209	NaN	NaN	NaN	NaN	2.363165e-01	2.363165e-01	NaN	NaN	NaN	NaN	8.358117e-01	7.852819e-01
3.000000e-01	3	5788	2.398840e+03	1005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1144	4.315920e+03	1026	8.448131e-01	8.448131e-01	-3.431329e+00	7.021914e-02	NaN	NaN	6.744680e-01	6.469149e-01	8.472878e-01	8.720931e-01	NaN	NaN
5.000000e-01	5	5751	2.169430e+03	961	NaN	NaN	NaN	NaN	3.069866e-01	3.069866e-01	NaN	NaN	NaN	NaN	7.281035e-01	7.852819e-01
6.000000e-01	6	1226	5.110180e+03	1169	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	5384	2.417120e+03	965	3.624710e-01	3.624710e-01	5.626881e-02	5.626881e-02	NaN	NaN	5.948633e-01	6.469149e-01	8.829587e-01	8.720931e-01	NaN	NaN
8.000000e-01	8	1268	4.714240e+03	1256	NaN	NaN	NaN	NaN	2.103768e-01	2.103768e-01	NaN	NaN	NaN	NaN	8.370778e-01	7.852819e-01
9.000000e-01	9	5361	2.544730e+03	1162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1341	4.191130e+03	1187	8.366829e-01	8.366829e-01	9.887147e+00	5.626881e-02	NaN	NaN	6.871274e-01	6.469149e-01	8.665227e-01	8.720931e-01	NaN	NaN
1.100000e+00	11	5365	1.866450e+03	1193	NaN	NaN	NaN	NaN	3.899394e-01	3.899394e-01	NaN	NaN	NaN	NaN	7.472188e-01	7.852819e-01
1.200000e+00	12	1131	4.088830e+03	1035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	5935	2.230550e+03	1100	3.180787e-01	3.180787e-01	8.652960e-02	8.652960e-02	NaN	NaN	6.153837e-01	6.469149e-01	8.863544e-01	8.720931e-01	NaN	NaN
1.400000e+00	14	1143	4.665990e+03	1125	NaN	NaN	NaN	NaN	1.942673e-01	1.942673e-01	NaN	NaN	NaN	NaN	8.297748e-01	7.852819e-01
1.500000e+00	15	5386	2.487980e+03	1188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1298	4.667140e+03	997	8.400098e-01	8.400098e-01	-7.821363e+00	8.652960e-02	NaN	NaN	6.738561e-01	6.469149e-01	8.505829e-01	8.720931e-01	NaN	NaN
1.700000e+00	17	6605	2.307650e+03	1062	NaN	NaN	NaN	NaN	3.151663e-01	3.151663e-01	NaN	NaN	NaN	NaN	7.337049e-01	7.852819e-01
1.800000e+00	18	1263	4.853590e+03	1223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
