timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	5836	1.243480e+03	1080	2.653613e-01	2.653613e-01	3.560135e-02	3.560135e-02	NaN	NaN	7.440748e-01	6.923295e-01	8.812980e-01	8.289626e-01	NaN	NaN
2.000000e-01	2	1122	1.655460e+03	1151	NaN	NaN	NaN	NaN	4.101252e-01	4.101252e-01	NaN	NaN	NaN	NaN	7.185991e-01	6.890938e-01
3.000000e-01	3	7347	1.511710e+03	1099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1142	1.412060e+03	1141	7.020743e-01	7.020743e-01	-1.375757e-01	-1.375757e-01	NaN	NaN	6.267296e-01	6.923295e-01	7.632750e-01	8.289626e-01	NaN	NaN
5.000000e-01	5	6304	1.154720e+03	1046	NaN	NaN	NaN	NaN	4.752990e-01	4.752990e-01	NaN	NaN	NaN	NaN	6.575752e-01	6.890938e-01
6.000000e-01	6	1286	1.659980e+03	1146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	6176	1.327680e+03	1141	2.581535e-01	2.581535e-01	4.918899e-02	4.918899e-02	NaN	NaN	7.639478e-01	6.923295e-01	8.821390e-01	8.289626e-01	NaN	NaN
8.000000e-01	8	1284	1.650120e+03	1021	NaN	NaN	NaN	NaN	3.822367e-01	3.822367e-01	NaN	NaN	NaN	NaN	6.981276e-01	6.890938e-01
9.000000e-01	9	6307	1.278510e+03	1155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1145	1.496850e+03	1189	7.122153e-01	7.122153e-01	-1.482371e-01	-1.482371e-01	NaN	NaN	6.358521e-01	6.923295e-01	7.657335e-01	8.289626e-01	NaN	NaN
1.100000e+00	11	8130	1.158900e+03	1035	NaN	NaN	NaN	NaN	4.717626e-01	4.717626e-01	NaN	NaN	NaN	NaN	6.518019e-01	6.890938e-01
1.200000e+00	12	1185	1.502050e+03	1172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	6351	1.384430e+03	1128	2.857246e-01	2.857246e-01	-4.443873e-03	-4.443873e-03	NaN	NaN	7.729194e-01	6.923295e-01	8.864822e-01	8.289626e-01	NaN	NaN
1.400000e+00	14	1328	1.419040e+03	1185	NaN	NaN	NaN	NaN	4.550621e-01	4.550621e-01	NaN	NaN	NaN	NaN	6.964461e-01	6.890938e-01
1.500000e+00	15	6349	1.486570e+03	1135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1212	1.643160e+03	1151	7.015494e-01	7.015494e-01	-4.736758e-02	-4.736758e-02	NaN	NaN	6.104532e-01	6.923295e-01	7.948478e-01	8.289626e-01	NaN	NaN
1.700000e+00	17	7008	1.474440e+03	1082	NaN	NaN	NaN	NaN	4.232448e-01	4.232448e-01	NaN	NaN	NaN	NaN	7.120130e-01	6.890938e-01
1.800000e+00	18	1402	1.511860e+03	1034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
