timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	2221	1.142530e+03	1121	3.854962e-01	3.854962e-01	2.815162e-01	2.815162e-01	NaN	NaN	3.869039e-01	5.871918e-01	8.232226e-01	8.442305e-01	NaN	NaN
2.000000e-01	2	1096	5.827280e+03	1279	NaN	NaN	NaN	NaN	1.799817e-01	1.799817e-01	NaN	NaN	NaN	NaN	8.806585e-01	7.640787e-01
3.000000e-01	3	2078	1.320540e+03	963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1219	5.474670e+03	1398	8.898533e-01	8.898533e-01	1.694038e+00	2.815162e-01	NaN	NaN	7.912538e-01	5.871918e-01	8.636025e-01	8.442305e-01	NaN	NaN
5.000000e-01	5	2104	1.186720e+03	948	NaN	NaN	NaN	NaN	4.440863e-01	4.440863e-01	NaN	NaN	NaN	NaN	6.255186e-01	7.640787e-01
6.000000e-01	6	1287	5.867910e+03	1278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	2080	1.349400e+03	1029	4.354028e-01	4.354028e-01	2.712896e-01	2.712896e-01	NaN	NaN	3.755217e-01	5.871918e-01	8.164970e-01	8.442305e-01	NaN	NaN
8.000000e-01	8	1155	6.237150e+03	1177	NaN	NaN	NaN	NaN	1.587505e-01	1.587505e-01	NaN	NaN	NaN	NaN	8.809432e-01	7.640787e-01
9.000000e-01	9	2302	1.118860e+03	1002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1164	5.639520e+03	1167	9.015222e-01	9.015222e-01	1.433455e+00	2.712896e-01	NaN	NaN	7.777878e-01	5.871918e-01	8.719985e-01	8.442305e-01	NaN	NaN
1.100000e+00	11	4512	1.205160e+03	1072	NaN	NaN	NaN	NaN	4.707618e-01	4.707618e-01	NaN	NaN	NaN	NaN	6.605902e-01	7.640787e-01
1.200000e+00	12	1060	6.058800e+03	1170	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	2089	1.278770e+03	948	4.322158e-01	4.322158e-01	2.335507e-01	2.335507e-01	NaN	NaN	4.140836e-01	5.871918e-01	8.086858e-01	8.442305e-01	NaN	NaN
1.400000e+00	14	1333	4.910690e+03	1196	NaN	NaN	NaN	NaN	1.958508e-01	1.958508e-01	NaN	NaN	NaN	NaN	8.567558e-01	7.640787e-01
1.500000e+00	15	2102	1.302860e+03	1021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1125	5.327250e+03	1275	8.968962e-01	8.968962e-01	1.546361e+00	2.335507e-01	NaN	NaN	7.775998e-01	5.871918e-01	8.813767e-01	8.442305e-01	NaN	NaN
1.700000e+00	17	2442	1.203060e+03	1007	NaN	NaN	NaN	NaN	4.556437e-01	4.556437e-01	NaN	NaN	NaN	NaN	6.800059e-01	7.640787e-01
1.800000e+00	18	1384	5.149120e+03	1040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
