coordinates 	30.12	88.39	158.12	88.39
time(s)	frame	Idon noise(photons)	Iacc noise(photons)	Idon ideal(photons)	Iacc ideal(photons)	FRET	FRET ideal	state sequence
1.000000e-01	1	1.578947e+01	4.105263e+01	8.813250e+00	2.643975e+01	7.222222e-01	7.500000e-01	4
2.000000e-01	2	5.263158e+00	2.105263e+01	8.813250e+00	2.643975e+01	8.000000e-01	7.500000e-01	4
3.000000e-01	3	1.157895e+01	2.210526e+01	8.813250e+00	2.643975e+01	6.562500e-01	7.500000e-01	4
4.000000e-01	4	2.105263e+01	2.947368e+01	8.813250e+00	2.643975e+01	5.833333e-01	7.500000e-01	4
5.000000e-01	5	7.368421e+00	2.526316e+01	8.813250e+00	2.643975e+01	7.741935e-01	7.500000e-01	4
6.000000e-01	6	9.473684e+00	2.736842e+01	8.813250e+00	2.643975e+01	7.428571e-01	7.500000e-01	4
7.000000e-01	7	2.105263e+01	2.631579e+01	8.813250e+00	2.643975e+01	5.555556e-01	7.500000e-01	4
8.000000e-01	8	4.210526e+00	2.315789e+01	8.813250e+00	2.643975e+01	8.461538e-01	7.500000e-01	4
9.000000e-01	9	20	2.842105e+01	8.813250e+00	2.643975e+01	5.869565e-01	7.500000e-01	4
1	10	8.421053e+00	3.263158e+01	8.813250e+00	2.643975e+01	7.948718e-01	7.500000e-01	4
1.100000e+00	11	9.473684e+00	2.947368e+01	8.813250e+00	2.643975e+01	7.567568e-01	7.500000e-01	4
1.200000e+00	12	8.421053e+00	1.473684e+01	8.813250e+00	2.643975e+01	6.363636e-01	7.500000e-01	4
1.300000e+00	13	5.263158e+00	2.526316e+01	8.813250e+00	2.643975e+01	8.275862e-01	7.500000e-01	4
1.400000e+00	14	5.263158e+00	2.947368e+01	8.813250e+00	2.643975e+01	8.484848e-01	7.500000e-01	4
1.500000e+00	15	2.105263e+01	3.157895e+01	8.813250e+00	2.643975e+01	6.000000e-01	7.500000e-01	4
1.600000e+00	16	1.578947e+01	1.473684e+01	8.813250e+00	2.643975e+01	4.827586e-01	7.500000e-01	4
1.700000e+00	17	1.368421e+01	3.894737e+01	8.813250e+00	2.643975e+01	7.400000e-01	7.500000e-01	4
1.800000e+00	18	1.894737e+01	2.631579e+01	8.813250e+00	2.643975e+01	5.813953e-01	7.500000e-01	4
1.900000e+00	19	1.789474e+01	3.368421e+01	8.813250e+00	2.643975e+01	6.530612e-01	7.500000e-01	4
2	20	1.578947e+01	4.210526e+01	8.813250e+00	2.643975e+01	7.272727e-01	7.500000e-01	4
2.100000e+00	21	1.368421e+01	3.263158e+01	8.813250e+00	2.643975e+01	7.045455e-01	7.500000e-01	4
2.200000e+00	22	20	2.526316e+01	8.813250e+00	2.643975e+01	5.581395e-01	7.500000e-01	4
2.300000e+00	23	1.052632e+01	2.736842e+01	8.813250e+00	2.643975e+01	7.222222e-01	7.500000e-01	4
2.400000e+00	24	1.263158e+01	3.263158e+01	8.813250e+00	2.643975e+01	7.209302e-01	7.500000e-01	4
2.500000e+00	25	1.157895e+01	3.894737e+01	8.813250e+00	2.643975e+01	7.708333e-01	7.500000e-01	4
2.600000e+00	26	1.052632e+01	2.526316e+01	8.813250e+00	2.643975e+01	7.058824e-01	7.500000e-01	4
2.700000e+00	27	5.263158e+00	2.947368e+01	8.813250e+00	2.643975e+01	8.484848e-01	7.500000e-01	4
2.800000e+00	28	1.578947e+01	3.789474e+01	8.813250e+00	2.643975e+01	7.058824e-01	7.500000e-01	4
2.900000e+00	29	1.473684e+01	1.789474e+01	8.813250e+00	2.643975e+01	5.483871e-01	7.500000e-01	4
3	30	1.894737e+01	2.947368e+01	8.813250e+00	2.643975e+01	6.086957e-01	7.500000e-01	4
3.100000e+00	31	1.263158e+01	5.263158e+01	8.813250e+00	2.643975e+01	8.064516e-01	7.500000e-01	4
3.200000e+00	32	1.263158e+01	2.842105e+01	8.813250e+00	2.643975e+01	6.923077e-01	7.500000e-01	4
3.300000e+00	33	1.263158e+01	2.736842e+01	8.813250e+00	2.643975e+01	6.842105e-01	7.500000e-01	4
3.400000e+00	34	9.473684e+00	1.473684e+01	8.813250e+00	2.643975e+01	6.086957e-01	7.500000e-01	4
3.500000e+00	35	2.315789e+01	2.210526e+01	8.813250e+00	2.643975e+01	4.883721e-01	7.500000e-01	4
3.600000e+00	36	9.473684e+00	3.052632e+01	8.813250e+00	2.643975e+01	7.631579e-01	7.500000e-01	4
3.700000e+00	37	1.578947e+01	2.736842e+01	8.813250e+00	2.643975e+01	6.341463e-01	7.500000e-01	4
3.800000e+00	38	1.894737e+01	2.736842e+01	8.813250e+00	2.643975e+01	5.909091e-01	7.500000e-01	4
3.900000e+00	39	8.421053e+00	1.894737e+01	8.813250e+00	2.643975e+01	6.923077e-01	7.500000e-01	4
4	40	1.052632e+01	2.736842e+01	8.813250e+00	2.643975e+01	7.222222e-01	7.500000e-01	4
4.100000e+00	41	1.789474e+01	3.368421e+01	8.813250e+00	2.643975e+01	6.530612e-01	7.500000e-01	4
4.200000e+00	42	2.421053e+01	4.736842e+01	8.813250e+00	2.643975e+01	6.617647e-01	7.500000e-01	4
4.300000e+00	43	1.052632e+01	2.736842e+01	8.813250e+00	2.643975e+01	7.222222e-01	7.500000e-01	4
4.400000e+00	44	1.157895e+01	2.526316e+01	8.813250e+00	2.643975e+01	6.857143e-01	7.500000e-01	4
4.500000e+00	45	8.421053e+00	3.157895e+01	8.813250e+00	2.643975e+01	7.894737e-01	7.500000e-01	4
4.600000e+00	46	2.210526e+01	2.526316e+01	8.813250e+00	2.643975e+01	5.333333e-01	7.500000e-01	4
4.700000e+00	47	1.789474e+01	2.526316e+01	8.813250e+00	2.643975e+01	5.853659e-01	7.500000e-01	4
4.800000e+00	48	1.052632e+01	3.368421e+01	8.813250e+00	2.643975e+01	7.619048e-01	7.500000e-01	4
4.900000e+00	49	9.473684e+00	3.263158e+01	8.813250e+00	2.643975e+01	7.750000e-01	7.500000e-01	4
5	50	1.684211e+01	2.315789e+01	8.813250e+00	2.643975e+01	5.789474e-01	7.500000e-01	4
5.100000e+00	51	1.368421e+01	2.736842e+01	8.813250e+00	2.643975e+01	6.666667e-01	7.500000e-01	4
5.200000e+00	52	0	2.421053e+01	4.179977e-01	3.483500e+01	1	9.881429e-01	5
5.300000e+00	53	1.052632e+01	2.842105e+01	8.544535e+00	2.670847e+01	7.297297e-01	7.576225e-01	4
5.400000e+00	54	1.894737e+01	2.315789e+01	8.813250e+00	2.643975e+01	5.500000e-01	7.500000e-01	4
5.500000e+00	55	7.368421e+00	2.947368e+01	8.813250e+00	2.643975e+01	8.000000e-01	7.500000e-01	4
5.600000e+00	56	9.473684e+00	40	8.813250e+00	2.643975e+01	8.085106e-01	7.500000e-01	4
5.700000e+00	57	7.368421e+00	3.578947e+01	8.813250e+00	2.643975e+01	8.292683e-01	7.500000e-01	4
5.800000e+00	58	1.684211e+01	1.789474e+01	8.813250e+00	2.643975e+01	5.151515e-01	7.500000e-01	4
5.900000e+00	59	1.684211e+01	2.736842e+01	8.813250e+00	2.643975e+01	6.190476e-01	7.500000e-01	4
6	60	1.263158e+01	2.210526e+01	8.813250e+00	2.643975e+01	6.363636e-01	7.500000e-01	4
6.100000e+00	61	1.263158e+01	2.947368e+01	8.813250e+00	2.643975e+01	7.000000e-01	7.500000e-01	4
6.200000e+00	62	1.578947e+01	2.105263e+01	8.813250e+00	2.643975e+01	5.714286e-01	7.500000e-01	4
